"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Independiente","Banfield",1.8,3.2,3.45,"2004-02-27",0,1,"2003/2004","ARG"
"2","Racing Club","Gimnasia L.P.",1.8,3.2,3.45,"2004-02-28",1,0,"2003/2004","ARG"
"3","Atl. Rafaela","Olimpo Bahia Blanca",2.1,3.1,2.8,"2004-02-28",0,2,"2003/2004","ARG"
"4","Lanus","San Lorenzo",2.35,3.1,2.35,"2004-02-28",0,4,"2003/2004","ARG"
"5","Talleres Cordoba","Colon Santa FE",1.8,3.2,3.45,"2004-02-29",4,0,"2003/2004","ARG"
"6","Boca Juniors","Velez Sarsfield",1.6,3.3,4.3,"2004-02-29",3,3,"2003/2004","ARG"
"7","Chacarita Juniors","Rosario Central",2.35,3.1,2.35,"2004-02-29",1,1,"2003/2004","ARG"
"8","Estudiantes L.P.","Quilmes",2.29,3.1,2.45,"2004-02-29",1,0,"2003/2004","ARG"
"9","Nueva Chicago","Arsenal Sarandi",2.35,3.1,2.35,"2004-02-29",2,1,"2003/2004","ARG"
"10","Newells Old Boys","River Plate",2.45,3.1,2.29,"2004-02-29",2,3,"2003/2004","ARG"
"11","Atl. Rafaela","River Plate",3.45,3.2,1.8,"2004-03-03",1,2,"2003/2004","ARG"
"12","Velez Sarsfield","Chacarita Juniors",1.55,3.4,4.65,"2004-03-05",2,2,"2003/2004","ARG"
"13","Rosario Central","Racing Club",2.1,3.1,2.8,"2004-03-06",3,1,"2003/2004","ARG"
"14","San Lorenzo","Talleres Cordoba",1.8,3.2,3.45,"2004-03-06",0,0,"2003/2004","ARG"
"15","Banfield","Boca Juniors",2.6,3.1,2.2,"2004-03-07",1,2,"2003/2004","ARG"
"16","Arsenal Sarandi","Estudiantes L.P.",1.8,3.2,3.45,"2004-03-07",0,0,"2003/2004","ARG"
"17","Colon Santa FE","Atl. Rafaela",1.5,3.45,4.9,"2004-03-07",2,1,"2003/2004","ARG"
"18","Gimnasia L.P.","Lanus",1.9,3.2,3.2,"2004-03-07",0,0,"2003/2004","ARG"
"19","Quilmes","Newells Old Boys",2,3.1,3,"2004-03-07",3,3,"2003/2004","ARG"
"20","River Plate","Independiente",1.6,3.3,4.3,"2004-03-07",4,1,"2003/2004","ARG"
"21","Olimpo Bahia Blanca","Nueva Chicago",2,3.1,3,"2004-03-07",2,2,"2003/2004","ARG"
"22","San Lorenzo","Nueva Chicago",1.85,3.2,3.3,"2004-03-19",2,2,"2003/2004","ARG"
"23","Arsenal Sarandi","Independiente",2.1,3.1,2.8,"2004-03-20",0,0,"2003/2004","ARG"
"24","Rosario Central","Talleres Cordoba",2.29,3.1,2.29,"2004-03-20",0,2,"2003/2004","ARG"
"25","Quilmes","River Plate",3.2,3.2,1.9,"2004-03-21",2,1,"2003/2004","ARG"
"26","Boca Juniors","Racing Club",1.65,3.3,4.15,"2004-03-21",4,1,"2003/2004","ARG"
"27","Banfield","Chacarita Juniors",1.65,3.3,4.15,"2004-03-21",0,0,"2003/2004","ARG"
"28","Gimnasia L.P.","Atl. Rafaela",1.75,3.2,3.65,"2004-03-21",3,4,"2003/2004","ARG"
"29","Olimpo Bahia Blanca","Newells Old Boys",2.2,3.1,2.6,"2004-03-21",1,1,"2003/2004","ARG"
"30","Velez Sarsfield","Lanus",1.8,3.2,3.45,"2004-03-21",2,1,"2003/2004","ARG"
"31","Racing Club","Chacarita Juniors",1.55,3.4,4.65,"2004-03-26",2,1,"2003/2004","ARG"
"32","Lanus","Boca Juniors",2.8,3.1,2.1,"2004-03-27",0,3,"2003/2004","ARG"
"33","River Plate","Arsenal Sarandi",1.45,3.6,5.4,"2004-03-27",5,0,"2003/2004","ARG"
"34","Atl. Rafaela","Rosario Central",2.25,3.1,2.54,"2004-03-27",3,1,"2003/2004","ARG"
"35","Newells Old Boys","Colon Santa FE",2.1,3.1,2.8,"2004-03-27",0,1,"2003/2004","ARG"
"36","Nueva Chicago","Gimnasia L.P.",1.8,3.2,3.45,"2004-03-27",1,2,"2003/2004","ARG"
"37","Quilmes","Banfield",2.2,3.1,2.6,"2004-03-27",1,0,"2003/2004","ARG"
"38","Independiente","Olimpo Bahia Blanca",1.7,3.2,3.9,"2004-03-27",1,0,"2003/2004","ARG"
"39","Velez Sarsfield","Atl. Rafaela",1.7,3.2,3.9,"2004-04-02",2,0,"2003/2004","ARG"
"40","Banfield","Racing Club",2.2,3.1,2.6,"2004-04-03",3,1,"2003/2004","ARG"
"41","Colon Santa FE","Independiente",2.1,3.1,2.8,"2004-04-03",2,0,"2003/2004","ARG"
"42","Olimpo Bahia Blanca","River Plate",3.65,3.2,1.75,"2004-04-04",1,3,"2003/2004","ARG"
"43","Arsenal Sarandi","Quilmes",2.1,3.1,2.8,"2004-04-04",0,0,"2003/2004","ARG"
"44","Chacarita Juniors","Lanus",2.29,3.1,2.45,"2004-04-04",2,3,"2003/2004","ARG"
"45","Rosario Central","Nueva Chicago",2.1,3.1,2.8,"2004-04-04",1,1,"2003/2004","ARG"
"46","San Lorenzo","Newells Old Boys",1.8,3.2,3.45,"2004-04-04",0,1,"2003/2004","ARG"
"47","Lanus","Racing Club",2.04,3.1,2.9,"2004-04-09",1,2,"2003/2004","ARG"
"48","Talleres Cordoba","Chacarita Juniors",1.4,3.8,5.7,"2004-04-10",2,2,"2003/2004","ARG"
"49","Independiente","San Lorenzo",2.2,3.1,2.6,"2004-04-10",1,1,"2003/2004","ARG"
"50","Atl. Rafaela","Boca Juniors",4.15,3.3,1.65,"2004-04-11",0,1,"2003/2004","ARG"
"51","River Plate","Colon Santa FE",1.6,3.3,4.3,"2004-04-11",4,1,"2003/2004","ARG"
"52","Banfield","Arsenal Sarandi",1.7,3.2,3.9,"2004-04-11",1,1,"2003/2004","ARG"
"53","Nueva Chicago","Velez Sarsfield",2.2,3.1,2.6,"2004-04-11",0,3,"2003/2004","ARG"
"54","Quilmes","Olimpo Bahia Blanca",1.65,3.3,4.15,"2004-04-11",0,1,"2003/2004","ARG"
"55","Chacarita Juniors","Boca Juniors",4.9,3.6,1.45,"2004-04-14",0,2,"2003/2004","ARG"
"56","Racing Club","Talleres Cordoba",2.2,3.2,2.54,"2004-04-17",3,1,"2003/2004","ARG"
"57","San Lorenzo","River Plate",2.7,3.2,2.1,"2004-04-18",1,2,"2003/2004","ARG"
"58","Chacarita Juniors","Atl. Rafaela",2.1,3.2,2.7,"2004-04-18",1,3,"2003/2004","ARG"
"59","Colon Santa FE","Quilmes",1.7,3.3,3.65,"2004-04-18",3,3,"2003/2004","ARG"
"60","Lanus","Banfield",2.15,3.2,2.6,"2004-04-18",1,0,"2003/2004","ARG"
"61","Olimpo Bahia Blanca","Arsenal Sarandi",2.1,3.2,2.7,"2004-04-18",0,0,"2003/2004","ARG"
"62","Rosario Central","Newells Old Boys",2.35,3.1,2.35,"2004-04-18",0,0,"2003/2004","ARG"
"63","Boca Juniors","Nueva Chicago",1.35,4,6,"2004-04-18",2,0,"2003/2004","ARG"
"64","Arsenal Sarandi","Colon Santa FE",2.2,3.2,2.54,"2004-04-23",1,0,"2003/2004","ARG"
"65","Banfield","Olimpo Bahia Blanca",1.7,3.3,3.65,"2004-04-23",2,0,"2003/2004","ARG"
"66","Quilmes","San Lorenzo",2.2,3.1,2.6,"2004-04-23",1,1,"2003/2004","ARG"
"67","Independiente","Rosario Central",1.7,3.3,3.65,"2004-04-24",3,2,"2003/2004","ARG"
"68","Talleres Cordoba","Lanus",1.6,3.4,4.15,"2004-04-24",1,0,"2003/2004","ARG"
"69","Atl. Rafaela","Racing Club",2.45,3.2,2.25,"2004-04-24",1,2,"2003/2004","ARG"
"70","Nueva Chicago","Chacarita Juniors",1.65,3.4,3.9,"2004-04-24",1,1,"2003/2004","ARG"
"71","Newells Old Boys","Velez Sarsfield",2.29,3.2,2.29,"2004-04-25",2,2,"2003/2004","ARG"
"72","Boca Juniors","Newells Old Boys",1.35,3.8,6,"2004-04-29",1,1,"2003/2004","ARG"
"73","Racing Club","Nueva Chicago",1.5,3.45,4.65,"2004-04-30",1,1,"2003/2004","ARG"
"74","Rosario Central","River Plate",3.3,3.2,1.8,"2004-04-30",1,2,"2003/2004","ARG"
"75","San Lorenzo","Arsenal Sarandi",1.9,3.2,3.2,"2004-05-02",0,0,"2003/2004","ARG"
"76","Colon Santa FE","Olimpo Bahia Blanca",1.45,3.6,4.9,"2004-05-02",2,0,"2003/2004","ARG"
"77","Lanus","Atl. Rafaela",1.95,3.15,3.1,"2004-05-02",1,1,"2003/2004","ARG"
"78","Talleres Cordoba","Banfield",1.6,3.4,4.3,"2004-05-02",2,2,"2003/2004","ARG"
"79","Atl. Rafaela","Talleres Cordoba",2.6,3.1,2.2,"2004-05-09",1,0,"2003/2004","ARG"
"80","Independiente","Boca Juniors",3,3.1,2,"2004-05-09",1,4,"2003/2004","ARG"
"81","Newells Old Boys","Chacarita Juniors",1.5,3.45,4.9,"2004-05-09",4,1,"2003/2004","ARG"
"82","Nueva Chicago","Lanus",2,3.1,3,"2004-05-09",0,0,"2003/2004","ARG"
