"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","AUS",2008-08-29,"Melbourne Victory","Newcastle Jets",5,0,1.78,3.35,4.03,"2009"
"2","AUS",2008-08-30,"Adelaide Utd","Wellington Phoenix",3,0,1.75,3.34,4.22,"2009"
"3","AUS",2008-08-31,"Brisbane Roar","Central Coast Mariners",2,4,2.22,3.14,2.94,"2009"
"4","AUS",2008-08-31,"Sydney FC","Perth Glory",5,2,1.66,3.4,4.66,"2009"
"5","AUS",2008-09-12,"Melbourne Victory","Adelaide Utd",1,0,1.92,3.2,3.61,"2009"
"6","AUS",2008-09-13,"Newcastle Jets","Sydney FC",0,0,2.84,3.2,2.26,"2009"
"7","AUS",2008-09-14,"Perth Glory","Brisbane Roar",0,3,2.59,3.19,2.45,"2009"
"8","AUS",2008-09-14,"Wellington Phoenix","Central Coast Mariners",0,0,2.57,3.19,2.47,"2009"
"9","AUS",2008-09-19,"Brisbane Roar","Newcastle Jets",0,1,2.13,3.16,3.1,"2009"
"10","AUS",2008-09-20,"Sydney FC","Adelaide Utd",3,0,1.76,3.32,4.15,"2009"
"11","AUS",2008-09-21,"Perth Glory","Wellington Phoenix",1,0,2.16,3.11,3.07,"2009"
"12","AUS",2008-09-26,"Central Coast Mariners","Perth Glory",4,1,1.61,3.42,5.06,"2009"
"13","AUS",2008-09-27,"Adelaide Utd","Newcastle Jets",2,0,2.11,3.15,3.15,"2009"
"14","AUS",2008-09-28,"Melbourne Victory","Brisbane Roar",0,2,1.78,3.26,4.17,"2009"
"15","AUS",2008-09-28,"Wellington Phoenix","Sydney FC",2,1,4.05,3.24,1.81,"2009"
"16","AUS",2008-10-03,"Adelaide Utd","Central Coast Mariners",3,3,2.07,3.2,3.2,"2009"
"17","AUS",2008-10-04,"Sydney FC","Brisbane Roar",1,1,1.89,3.22,3.72,"2009"
"18","AUS",2008-10-04,"Melbourne Victory","Perth Glory",4,0,1.48,3.68,6.48,"2009"
"19","AUS",2008-10-06,"Newcastle Jets","Wellington Phoenix",2,2,1.94,3.24,3.55,"2009"
"20","AUS",2008-10-17,"Brisbane Roar","Adelaide Utd",0,1,2.22,3.13,2.97,"2009"
"21","AUS",2008-10-18,"Newcastle Jets","Melbourne Victory",1,0,3.1,3.2,2.1,"2009"
"22","AUS",2008-10-19,"Perth Glory","Sydney FC",2,1,3.59,3.27,1.92,"2009"
"23","AUS",2008-10-19,"Central Coast Mariners","Wellington Phoenix",0,1,1.68,3.38,4.53,"2009"
"24","AUS",2008-10-24,"Central Coast Mariners","Newcastle Jets",1,0,2.18,3.19,2.99,"2009"
"25","AUS",2008-10-25,"Melbourne Victory","Sydney FC",0,2,1.98,3.22,3.4,"2009"
"26","AUS",2008-10-26,"Adelaide Utd","Perth Glory",2,1,1.77,3.29,4.12,"2009"
"27","AUS",2008-10-26,"Wellington Phoenix","Brisbane Roar",0,1,2.47,3.13,2.6,"2009"
"28","AUS",2008-10-31,"Adelaide Utd","Melbourne Victory",2,3,2.05,3.18,3.28,"2009"
"29","AUS",2008-11-01,"Sydney FC","Central Coast Mariners",3,3,1.98,3.27,3.34,"2009"
"30","AUS",2008-11-02,"Perth Glory","Wellington Phoenix",2,0,2.14,3.18,3.06,"2009"
"31","AUS",2008-11-02,"Newcastle Jets","Brisbane Roar",1,2,2.29,3.18,2.8,"2009"
"32","AUS",2008-11-07,"Sydney FC","Wellington Phoenix",1,2,1.45,3.75,6.4,"2009"
"33","AUS",2008-11-08,"Brisbane Roar","Melbourne Victory",0,1,2.74,3.16,2.34,"2009"
"34","AUS",2008-11-09,"Perth Glory","Newcastle Jets",2,2,2.25,3.18,2.83,"2009"
"35","AUS",2008-11-15,"Central Coast Mariners","Adelaide Utd",3,0,2.17,3.22,3.04,"2009"
"36","AUS",2008-11-21,"Melbourne Victory","Central Coast Mariners",2,1,1.98,3.26,3.43,"2009"
"37","AUS",2008-11-22,"Adelaide Utd","Sydney FC",2,0,2.27,3.23,2.88,"2009"
"38","AUS",2008-11-23,"Brisbane Roar","Perth Glory",4,1,1.69,3.41,4.73,"2009"
"39","AUS",2008-11-23,"Wellington Phoenix","Newcastle Jets",2,0,2.18,3.25,3.05,"2009"
"40","AUS",2008-11-28,"Sydney FC","Brisbane Roar",1,1,2.38,3.18,2.75,"2009"
"41","AUS",2008-11-28,"Wellington Phoenix","Melbourne Victory",2,1,3.45,3.25,1.99,"2009"
"42","AUS",2008-11-29,"Perth Glory","Central Coast Mariners",2,2,3.3,3.23,2.06,"2009"
"43","AUS",2008-11-30,"Newcastle Jets","Adelaide Utd",1,1,3.41,3.25,2.01,"2009"
"44","AUS",2008-12-05,"Adelaide Utd","Wellington Phoenix",6,1,1.7,3.38,4.68,"2009"
"45","AUS",2008-12-06,"Perth Glory","Melbourne Victory",3,1,3.29,3.23,2.04,"2009"
