"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Athletico-PR","Cruzeiro",2.25,3.1,2.54,"2004-05-30",3,1,2004,"BRA"
"2","Gremio","Sao Caetano",2.1,3.1,2.8,"2004-05-30",1,2,2004,"BRA"
"3","Goias","Flamengo RJ",1.6,3.3,4.3,"2004-05-30",2,2,2004,"BRA"
"4","Guarani","Parana",2,3.1,3,"2004-05-30",1,0,2004,"BRA"
"5","Sao Paulo","Corinthians",1.5,3.45,4.9,"2004-05-30",1,1,2004,"BRA"
"6","Vasco","Botafogo RJ",1.9,3.2,3.2,"2004-05-30",4,0,2004,"BRA"
"7","Figueirense","Cruzeiro",2.04,3.1,2.9,"2004-06-19",0,0,2004,"BRA"
"8","Vasco","Parana",1.8,3.2,3.45,"2004-06-19",0,0,2004,"BRA"
"9","Athletico-PR","Vitoria",1.75,3.2,3.65,"2004-06-19",1,3,2004,"BRA"
"10","Gremio","Coritiba",1.8,3.2,3.45,"2004-06-19",1,1,2004,"BRA"
"11","Santos","Internacional",1.9,3.2,3.2,"2004-06-20",3,0,2004,"BRA"
"12","Botafogo RJ","Ponte Preta",2.35,3.1,2.35,"2004-06-20",0,1,2004,"BRA"
"13","Corinthians","Flamengo RJ",1.9,3.2,3.2,"2004-06-20",1,1,2004,"BRA"
"14","Juventude","Goias",1.8,3.2,3.45,"2004-06-20",1,1,2004,"BRA"
"15","Guarani","Criciuma",2.29,3.1,2.45,"2004-06-20",2,1,2004,"BRA"
"16","Paysandu PA","Sao Paulo",3,3.1,2,"2004-06-20",1,0,2004,"BRA"
"17","Sao Caetano","Palmeiras",1.95,3.15,3.1,"2004-06-20",1,1,2004,"BRA"
"18","Sao Caetano","Juventude",1.6,3.3,4.3,"2004-06-24",1,0,2004,"BRA"
"19","Flamengo RJ","Figueirense",2.29,3.1,2.29,"2004-06-26",0,3,2004,"BRA"
"20","Santos","Guarani",1.5,3.45,4.9,"2004-06-26",2,1,2004,"BRA"
"21","Coritiba","Parana",2,3.1,3,"2004-06-26",1,1,2004,"BRA"
"22","Criciuma","Gremio",1.45,3.6,5.4,"2004-06-26",1,2,2004,"BRA"
"23","Ponte Preta","Cruzeiro",2.25,3.1,2.54,"2004-06-27",1,0,2004,"BRA"
"24","Goias","Sao Caetano",2.04,3.1,2.9,"2004-06-27",3,2,2004,"BRA"
"25","Botafogo RJ","Fluminense",3.2,3.2,1.9,"2004-06-27",3,3,2004,"BRA"
"26","Juventude","Corinthians",1.8,3.2,3.45,"2004-06-27",1,0,2004,"BRA"
"27","Internacional","Vasco",1.55,3.4,4.65,"2004-06-27",1,3,2004,"BRA"
"28","Palmeiras","Sao Paulo",2.25,3.1,2.54,"2004-06-27",2,1,2004,"BRA"
