"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Henan Jianye","Guangzhou Evergrande",2.1,3,3.1,"2009-03-21",2,1,2009,"CHN"
"2","Shanghai Shenhua","Jiangsu Suning",1.25,4.5,5,"2009-03-22",2,1,2009,"CHN"
"3","Beijing Guoan","Chongqing Lifan",1.35,4,7,"2009-03-22",3,1,2009,"CHN"
"4","Tianjin Teda","Dalian Shide",1.55,3.5,5,"2009-03-22",4,1,2009,"CHN"
"5","Zhejiang Greentown","Qingdao Jonoon",3.35,3.1,1.95,"2009-03-22",2,1,2009,"CHN"
"6","Beijing Renhe","Chengdu Tiancheng",1.8,3.2,4.3,"2009-03-22",2,0,2009,"CHN"
"7","Guangzhou R&F","Changchun Yatai",2.54,3.1,2.4,"2009-03-22",0,0,2009,"CHN"
"8","Shandong Luneng","Shenzhen",1.35,4,7,"2009-03-22",1,1,2009,"CHN"
"9","Zhejiang Greentown","Tianjin Teda",3.3,3.3,1.9,"2009-03-28",0,2,2009,"CHN"
"10","Chengdu Tiancheng","Shanghai Shenhua",4,3.4,1.7,"2009-03-28",1,0,2009,"CHN"
"11","Chongqing Lifan","Qingdao Jonoon",2.5,3.1,2.45,"2009-03-28",1,1,2009,"CHN"
"12","Jiangsu Suning","Changchun Yatai",1.9,3.3,3.3,"2009-03-28",0,1,2009,"CHN"
"13","Shenzhen","Guangzhou Evergrande",1.95,3.2,3.25,"2009-03-28",1,2,2009,"CHN"
"14","Shandong Luneng","Beijing Renhe",1.4,4,6,"2009-03-28",1,0,2009,"CHN"
"15","Dalian Shide","Henan Jianye",1.85,3.25,3.5,"2009-03-28",1,0,2009,"CHN"
"16","Guangzhou R&F","Beijing Guoan",4,3.4,1.7,"2009-03-29",0,0,2009,"CHN"
"17","Shanghai Shenhua","Shandong Luneng",1.9,3.15,3.45,"2009-04-03",4,1,2009,"CHN"
"18","Beijing Guoan","Jiangsu Suning",1.25,4.25,8.5,"2009-04-03",1,1,2009,"CHN"
"19","Tianjin Teda","Chongqing Lifan",1.25,4.5,9,"2009-04-03",2,0,2009,"CHN"
"20","Changchun Yatai","Chengdu Tiancheng",1.6,3.6,4.8,"2009-04-05",2,0,2009,"CHN"
"21","Henan Jianye","Zhejiang Greentown",2,3.25,3.3,"2009-04-05",2,0,2009,"CHN"
"22","Guangzhou Evergrande","Dalian Shide",1.55,3.8,4.84,"2009-04-06",3,1,2009,"CHN"
"23","Zhejiang Greentown","Guangzhou Evergrande",1.95,3.25,3.2,"2009-04-11",3,2,2009,"CHN"
"24","Jiangsu Suning","Qingdao Jonoon",2.4,3,2.6,"2009-04-11",2,0,2009,"CHN"
"25","Shenzhen","Dalian Shide",2.15,3.1,2.9,"2009-04-11",0,2,2009,"CHN"
"26","Guangzhou R&F","Tianjin Teda",3.9,3.45,1.7,"2009-04-12",2,1,2009,"CHN"
"27","Shandong Luneng","Changchun Yatai",1.5,3.5,5.5,"2009-04-12",3,2,2009,"CHN"
"28","Chengdu Tiancheng","Beijing Guoan",3.4,3.35,1.85,"2009-04-12",0,2,2009,"CHN"
"29","Beijing Renhe","Shanghai Shenhua",3.4,3.35,1.85,"2009-04-12",0,0,2009,"CHN"
"30","Chongqing Lifan","Henan Jianye",2.75,3.35,2.15,"2009-04-12",1,2,2009,"CHN"
"31","Shanghai Shenhua","Shenzhen",1.1,7.2,12,"2009-04-17",4,1,2009,"CHN"
"32","Shandong Luneng","Beijing Guoan",1.8,3.3,3.65,"2009-04-17",2,2,2009,"CHN"
"33","Tianjin Teda","Jiangsu Suning",1.3,4.34,7.5,"2009-04-17",0,2,2009,"CHN"
"34","Guangzhou Evergrande","Chongqing Lifan",1.3,4.25,9,"2009-04-18",3,1,2009,"CHN"
"35","Henan Jianye","Guangzhou R&F",1.6,3.5,4.5,"2009-04-18",2,0,2009,"CHN"
"36","Changchun Yatai","Beijing Renhe",1.8,3.15,3.9,"2009-04-18",0,0,2009,"CHN"
"37","Dalian Shide","Zhejiang Greentown",2.25,3,2.8,"2009-04-18",3,1,2009,"CHN"
