"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","D1",2002-08-10,"Cottbus","Leverkusen",1,1,3,3.2,2.1,2003
"2","D1",2002-08-10,"M'gladbach","Bayern Munich",0,0,4,3.5,1.727,2003
"3","D1",2002-08-10,"Nurnberg","Bochum",1,3,1.909,3.25,3.4,2003
"4","D1",2002-08-10,"Schalke 04","Wolfsburg",1,0,1.571,3.5,5,2003
"5","D1",2002-08-10,"Stuttgart","Kaiserslautern",1,1,2.1,3.2,3,2003
"6","D1",2002-08-11,"Bielefeld","Werder Bremen",3,0,2.625,3.2,2.3,2003
"7","D1",2002-08-11,"Hamburg","Hannover",2,1,1.667,3.4,4.333,2003
"8","D1",2002-08-14,"Munich 1860","Hansa Rostock",0,2,1.727,3.2,4.333,2003
"9","D1",2002-08-17,"Bayern Munich","Bielefeld",6,2,1.222,5,9,2003
"10","D1",2002-08-17,"Bochum","Cottbus",5,0,1.833,3.2,3.75,2003
"11","D1",2002-08-17,"Hannover","Munich 1860",1,3,2.1,3.2,3,2003
"12","D1",2002-08-17,"Hansa Rostock","Nurnberg",2,0,1.833,3.2,3.75,2003
"13","D1",2002-08-17,"Hertha","Stuttgart",1,1,1.615,3.5,4.5,2003
"14","D1",2002-08-17,"Kaiserslautern","Schalke 04",1,3,2.25,3.2,2.75,2003
"15","D1",2002-08-17,"Leverkusen","Dortmund",1,1,2.1,3,3.2,2003
"16","D1",2002-08-18,"Werder Bremen","Hamburg",2,1,2.1,3,3.2,2003
"17","D1",2002-08-18,"Wolfsburg","M'gladbach",1,0,1.833,3.2,3.75,2003
"18","D1",2002-08-24,"Bielefeld","Wolfsburg",1,0,2.3,3.2,2.625,2003
"19","D1",2002-08-24,"Cottbus","Hansa Rostock",0,4,2.2,3,3,2003
"20","D1",2002-08-24,"Dortmund","Stuttgart",3,1,1.5,3.4,6,2003
"21","D1",2002-08-24,"Hamburg","Bayern Munich",0,3,3.5,3.2,1.909,2003
"22","D1",2002-08-24,"Leverkusen","Bochum",2,4,1.444,3.6,6.5,2003
"23","D1",2002-08-24,"M'gladbach","Kaiserslautern",3,0,2.375,3.1,2.625,2003
"24","D1",2002-08-24,"Munich 1860","Werder Bremen",3,0,2.2,3.2,2.8,2003
