"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","AC Allianssi","Inter Turku",1.9,3.2,3.2,"2004-05-06",1,0,2004,"FIN"
"2","KooTeePee","MyPa",3.2,3.2,1.9,"2004-05-07",2,0,2004,"FIN"
"3","Haka","Jaro",1.45,3.6,5.4,"2004-05-07",2,0,2004,"FIN"
"4","Hameenlinna","Rovaniemi",2.15,3.1,2.7,"2004-05-07",2,2,2004,"FIN"
"5","Jazz Pori","Tampere Utd",3.45,3.2,1.8,"2004-05-07",3,1,2004,"FIN"
"6","Lahti","TP-47",1.55,3.4,4.65,"2004-05-07",1,1,2004,"FIN"
"7","TPS","HJK",3.3,3.2,1.85,"2004-05-07",2,2,2004,"FIN"
"8","HJK","Jazz Pori",1.3,4.2,6.6,"2004-05-10",4,1,2004,"FIN"
"9","Inter Turku","Lahti",2,3.1,3,"2004-05-10",4,2,2004,"FIN"
"10","Jaro","KooTeePee",1.7,3.2,3.9,"2004-05-10",3,1,2004,"FIN"
"11","MyPa","Hameenlinna",1.45,3.6,5.4,"2004-05-10",3,1,2004,"FIN"
"12","Rovaniemi","Haka",3.45,3.2,1.8,"2004-05-10",1,3,2004,"FIN"
"13","Tampere Utd","AC Allianssi",2,3.1,3,"2004-05-10",1,0,2004,"FIN"
"14","KooTeePee","HJK",3.9,3.2,1.7,"2004-05-13",2,2,2004,"FIN"
"15","Haka","Tampere Utd",1.9,3.2,3.2,"2004-05-13",0,1,2004,"FIN"
"16","Jazz Pori","TP-47",1.9,3.2,3.2,"2004-05-13",2,2,2004,"FIN"
"17","Lahti","MyPa",2.2,3.1,2.6,"2004-05-13",1,1,2004,"FIN"
"18","TPS","Inter Turku",2.45,3.1,2.29,"2004-05-13",2,0,2004,"FIN"
"19","AC Allianssi","Rovaniemi",1.55,3.45,4.3,"2004-05-16",1,0,2004,"FIN"
"20","Hameenlinna","Jaro",2.29,3.2,2.4,"2004-05-16",2,1,2004,"FIN"
"21","Jaro","MyPa",2.54,3.1,2.25,"2004-05-20",1,1,2004,"FIN"
"22","Lahti","KooTeePee",1.6,3.3,4.3,"2004-05-20",1,1,2004,"FIN"
"23","TP-47","Inter Turku",2.45,3.1,2.29,"2004-05-20",0,1,2004,"FIN"
"24","TPS","AC Allianssi",2.35,3.15,2.35,"2004-05-20",3,1,2004,"FIN"
"25","Jazz Pori","Hameenlinna",1.85,3.2,3.3,"2004-05-20",5,1,2004,"FIN"
"26","HJK","Haka",2.04,3.1,2.9,"2004-05-20",0,0,2004,"FIN"
"27","AC Allianssi","Jaro",1.55,3.4,4.65,"2004-05-23",4,0,2004,"FIN"
"28","Hameenlinna","KooTeePee",2.1,3.2,2.7,"2004-05-23",0,1,2004,"FIN"
"29","Inter Turku","Haka",2.35,3.15,2.35,"2004-05-23",0,0,2004,"FIN"
"30","MyPa","Jazz Pori",1.5,3.45,4.9,"2004-05-23",2,1,2004,"FIN"
"31","Rovaniemi","TPS",2.35,3.15,2.35,"2004-05-23",0,2,2004,"FIN"
"32","Tampere Utd","Lahti",1.6,3.3,4.3,"2004-05-23",0,0,2004,"FIN"
"33","HJK","TP-47",1.3,4.2,6.6,"2004-05-24",1,1,2004,"FIN"
"34","Jaro","Rovaniemi",1.65,3.3,4.15,"2004-05-27",1,2,2004,"FIN"
"35","MyPa","AC Allianssi",2.2,3.2,2.54,"2004-05-27",0,1,2004,"FIN"
"36","KooTeePee","TPS",2.29,3.1,2.45,"2004-05-30",3,0,2004,"FIN"
"37","Haka","Hameenlinna",1.3,4.2,6.6,"2004-05-30",1,1,2004,"FIN"
"38","Inter Turku","HJK",2.6,3.1,2.2,"2004-05-30",1,4,2004,"FIN"
"39","Jazz Pori","Lahti",2.2,3.1,2.6,"2004-05-30",0,1,2004,"FIN"
"40","Tampere Utd","Rovaniemi",1.4,3.8,5.7,"2004-05-30",5,1,2004,"FIN"
"41","AC Allianssi","HJK",2.45,3.1,2.29,"2004-06-03",1,0,2004,"FIN"
"42","KooTeePee","Inter Turku",2.15,3.1,2.7,"2004-06-03",0,1,2004,"FIN"
"43","Lahti","Hameenlinna",1.65,3.3,4.15,"2004-06-03",1,0,2004,"FIN"
"44","Rovaniemi","MyPa",3,3.1,2,"2004-06-03",1,2,2004,"FIN"
"45","TPS","Tampere Utd",2.35,3.1,2.35,"2004-06-03",0,1,2004,"FIN"
"46","Haka","TP-47",1.45,3.6,5.4,"2004-06-03",4,2,2004,"FIN"
"47","Hameenlinna","TPS",2.54,3.1,2.29,"2004-06-06",2,2,2004,"FIN"
"48","Inter Turku","Rovaniemi",1.4,3.8,6,"2004-06-06",4,0,2004,"FIN"
"49","Jazz Pori","Haka",3.45,3.2,1.85,"2004-06-06",0,2,2004,"FIN"
"50","Lahti","AC Allianssi",2.45,3.2,2.35,"2004-06-06",3,3,2004,"FIN"
"51","Tampere Utd","KooTeePee",1.45,3.6,5.7,"2004-06-06",2,0,2004,"FIN"
"52","TP-47","MyPa",2.8,3.2,2.1,"2004-06-06",2,0,2004,"FIN"
"53","HJK","Jaro",1.3,4.2,7.5,"2004-06-06",2,1,2004,"FIN"
"54","Haka","Lahti",1.6,3.3,4.65,"2004-06-10",2,0,2004,"FIN"
"55","Hameenlinna","Tampere Utd",3.65,3.2,1.8,"2004-06-10",0,1,2004,"FIN"
"56","Jazz Pori","Inter Turku",2.7,3.1,2.2,"2004-06-10",3,4,2004,"FIN"
