"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","N1",2003-08-15,"Roda JC","PSV Eindhoven",2,2,3.4,3.5,1.833,2004
"2","N1",2003-08-16,"Twente","Roosendaal",3,1,1.8,3.4,3.6,2004
"3","N1",2003-08-16,"Waalwijk","Den Haag",1,0,1.571,3.5,5,2004
"4","N1",2003-08-16,"Willem II","AZ Alkmaar",1,0,1.909,3.4,3.25,2004
"5","N1",2003-08-17,"Feyenoord","Nijmegen",2,1,1.333,4,8,2004
"6","N1",2003-08-17,"Groningen","NAC Breda",1,0,2.4,3.4,2.4,2004
"7","N1",2003-08-17,"Utrecht","Zwolle",1,0,1.533,3.4,5.5,2004
"8","N1",2003-08-17,"Vitesse","Ajax",1,2,4,3.4,1.727,2004
"9","N1",2003-08-17,"Volendam","Heerenveen",0,1,3.6,3.4,1.8,2004
"10","N1",2003-08-22,"AZ Alkmaar","Twente",3,0,1.909,3.4,3.25,2004
"11","N1",2003-08-23,"Den Haag","Utrecht",1,1,2.375,3.5,2.375,2004
"12","N1",2003-08-23,"Heerenveen","Feyenoord",1,0,2.6,3.4,2.25,2004
"13","N1",2003-08-23,"NAC Breda","Vitesse",2,0,1.667,3.4,4.333,2004
"14","N1",2003-08-23,"PSV Eindhoven","Willem II",6,1,1.167,5.5,11,2004
"15","N1",2003-08-23,"Roosendaal","Ajax",0,1,6,3.75,1.444,2004
"16","N1",2003-08-24,"Nijmegen","Roda JC",1,3,2.2,3.4,2.625,2004
"17","N1",2003-08-24,"Volendam","Groningen",3,0,2.25,3.4,2.6,2004
"18","N1",2003-08-24,"Zwolle","Waalwijk",0,3,2.375,3.5,2.375,2004
"19","N1",2003-08-29,"Vitesse","AZ Alkmaar",1,2,2,3.4,3,2004
"20","N1",2003-08-29,"Willem II","Heerenveen",2,0,2.375,3.25,2.5,2004
"21","N1",2003-08-30,"Roda JC","Roosendaal",0,2,1.4,3.75,7,2004
"22","N1",2003-08-30,"Twente","PSV Eindhoven",0,2,5,3.6,1.533,2004
"23","N1",2003-08-31,"Ajax","Zwolle",1,0,1.1,7,13,2004
"24","N1",2003-08-31,"Feyenoord","NAC Breda",2,1,1.364,4,7,2004
"25","N1",2003-08-31,"Groningen","Den Haag",2,0,1.833,3.2,3.75,2004
"26","N1",2003-08-31,"Utrecht","Nijmegen",0,1,2.1,3.2,3,2004
"27","N1",2003-08-31,"Waalwijk","Volendam",3,0,1.5,3.75,5,2004
"28","N1",2003-09-12,"Den Haag","Volendam",1,1,1.72,3.6,3.75,2004
"29","N1",2003-09-13,"Ajax","Waalwijk",4,1,1.28,4.5,8,2004
