"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","P1",2003-08-16,"Academica","Sp Lisbon",1,2,3.4,3.25,1.9,2004
"2","P1",2003-08-17,"Boavista","Benfica",0,0,2.75,3.2,2.25,2004
"3","P1",2003-08-17,"Gil Vicente","Alverca",0,1,1.667,3.4,4.333,2004
"4","P1",2003-08-17,"Maritimo","Beira Mar",1,0,1.571,3.5,5,2004
"5","P1",2003-08-17,"Moreirense","Rio Ave",1,0,1.8,3.3,3.75,2004
"6","P1",2003-08-17,"Nacional","Pacos Ferreira",2,0,2,3.2,3.2,2004
"7","P1",2003-08-17,"Porto","Sp Braga",2,0,1.167,5.5,11,2004
"8","P1",2003-08-18,"Guimaraes","Leiria",1,0,1.727,3.4,4,2004
"9","P1",2003-08-22,"Alverca","Maritimo",0,1,2.25,3.2,2.75,2004
"10","P1",2003-08-23,"Benfica","Guimaraes",2,0,1.4,3.75,7,2004
"11","P1",2003-08-23,"Leiria","Academica",0,2,1.727,3.4,4,2004
"12","P1",2003-08-23,"Sp Lisbon","Belenenses",4,2,1.364,4,7,2004
"13","P1",2003-08-24,"Pacos Ferreira","Moreirense",1,0,1.727,3.4,4,2004
"14","P1",2003-08-24,"Rio Ave","Gil Vicente",1,1,2.1,3.2,3,2004
"15","P1",2003-08-24,"Sp Braga","Nacional",1,0,1.833,3.2,3.75,2004
"16","P1",2003-08-25,"Beira Mar","Boavista",0,2,2.5,3.25,2.4,2004
"17","P1",2003-08-30,"Boavista","Guimaraes",1,0,1.667,3.4,4.333,2004
"18","P1",2003-08-30,"Moreirense","Sp Braga",0,2,1.833,3.4,3.5,2004
"19","P1",2003-08-31,"Beira Mar","Alverca",1,0,1.909,3.25,3.4,2004
"20","P1",2003-08-31,"Maritimo","Rio Ave",1,0,1.444,3.75,6,2004
"21","P1",2003-08-31,"Nacional","Est Amadora",4,0,1.727,3.4,4,2004
"22","P1",2003-09-01,"Belenenses","Leiria",1,1,1.727,3.4,4,2004
"23","P1",2003-09-02,"Porto","Sp Lisbon",4,1,1.66,3.3,4.5,2004
"24","P1",2003-09-03,"Gil Vicente","Pacos Ferreira",2,0,2,3.2,3.2,2004
"25","P1",2003-09-12,"Sp Braga","Gil Vicente",2,1,1.83,3.4,3.5,2004
"26","P1",2003-09-13,"Est Amadora","Moreirense",1,2,2.1,3.2,3,2004
"27","P1",2003-09-13,"Guimaraes","Academica",1,2,1.61,3.5,4.5,2004
"28","P1",2003-09-13,"Leiria","Porto",1,3,4.5,3.5,1.61,2004
"29","P1",2003-09-13,"Pacos Ferreira","Maritimo",0,1,2.2,3.2,2.8,2004
"30","P1",2003-09-14,"Benfica","Belenenses",3,3,1.28,4.5,8,2004
"31","P1",2003-09-14,"Rio Ave","Beira Mar",1,1,2,3.2,3.2,2004
"32","P1",2003-09-14,"Sp Lisbon","Nacional",2,0,1.33,4,8,2004
"33","P1",2003-09-15,"Alverca","Boavista",1,1,2.7,3.25,2.25,2004
"34","P1",2003-09-19,"Maritimo","Sp Braga",1,1,1.66,3.25,4.5,2004
"35","P1",2003-09-20,"Boavista","Academica",0,0,1.5,3.4,6,2004
"36","P1",2003-09-20,"Moreirense","Sp Lisbon",1,0,4,3.4,1.72,2004
"37","P1",2003-09-21,"Alverca","Rio Ave",1,0,1.83,3.2,3.75,2004
"38","P1",2003-09-21,"Beira Mar","Pacos Ferreira",4,1,2,3.2,3.2,2004
"39","P1",2003-09-21,"Gil Vicente","Est Amadora",5,1,1.66,3.25,4.5,2004
"40","P1",2003-09-21,"Nacional","Leiria",0,2,1.8,3.25,3.75,2004
"41","P1",2003-09-21,"Porto","Benfica",2,0,1.72,3.2,4.33,2004
"42","P1",2003-09-22,"Belenenses","Guimaraes",2,0,1.9,3.2,3.5,2004
"43","P1",2003-09-26,"Rio Ave","Boavista",1,2,3,3.2,2.1,2004
"44","P1",2003-09-27,"Guimaraes","Porto",1,2,4.33,3.4,1.66,2004
"45","P1",2003-09-28,"Academica","Belenenses",0,1,2.1,3.2,3,2004
"46","P1",2003-09-28,"Benfica","Nacional",1,0,1.25,5,8.5,2004
"47","P1",2003-09-28,"Est Amadora","Maritimo",1,0,3,3.2,2.1,2004
"48","P1",2003-09-28,"Leiria","Moreirense",2,1,2,3.2,3.2,2004
"49","P1",2003-09-28,"Pacos Ferreira","Alverca",0,3,1.83,3.25,3.75,2004
"50","P1",2003-09-28,"Sp Braga","Beira Mar",0,2,1.66,3.4,4.33,2004
"51","P1",2003-09-29,"Sp Lisbon","Gil Vicente",1,0,1.33,4.33,7,2004
"52","P1",2003-10-03,"Boavista","Belenenses",1,1,1.72,3.25,4.33,2004
"53","P1",2003-10-04,"Maritimo","Sp Lisbon",2,1,2.75,3.25,2.2,2004
"54","P1",2003-10-04,"Moreirense","Benfica",1,4,3.75,3.25,1.83,2004
"55","P1",2003-10-05,"Beira Mar","Est Amadora",3,0,1.66,3.4,4.5,2004
"56","P1",2003-10-05,"Gil Vicente","Leiria",2,0,2,3.2,3.2,2004
"57","P1",2003-10-05,"Nacional","Guimaraes",4,2,2.1,3.2,3,2004
"58","P1",2003-10-05,"Porto","Academica",4,1,1.16,5.5,13,2004
"59","P1",2003-10-05,"Rio Ave","Pacos Ferreira",2,1,2.1,3.2,3,2004
"60","P1",2003-10-06,"Alverca","Sp Braga",1,2,2.2,3.25,2.75,2004
"61","P1",2003-10-17,"Guimaraes","Moreirense",3,0,1.9,3.25,3.4,2004
"62","P1",2003-10-18,"Academica","Nacional",0,1,2,3.2,3.2,2004
"63","P1",2003-10-18,"Belenenses","Porto",1,4,4.2,3.5,1.66,2004
"64","P1",2003-10-18,"Pacos Ferreira","Boavista",0,3,3.4,3.25,1.9,2004
"65","P1",2003-10-19,"Benfica","Gil Vicente",2,1,1.33,4.33,7,2004
"66","P1",2003-10-19,"Est Amadora","Alverca",0,3,2.1,3.25,3,2004
"67","P1",2003-10-19,"Leiria","Maritimo",2,2,2.37,3.25,2.5,2004
"68","P1",2003-10-19,"Sp Braga","Rio Ave",1,1,1.5,3.5,6,2004
"69","P1",2003-10-20,"Sp Lisbon","Beira Mar",3,1,1.4,3.75,7,2004
"70","P1",2003-10-24,"Pacos Ferreira","Sp Braga",0,1,2.5,3.25,2.37,2004
"71","P1",2003-10-25,"Gil Vicente","Guimaraes",1,1,1.72,3.4,4,2004
"72","P1",2003-10-26,"Alverca","Sp Lisbon",1,2,3.5,3.2,1.9,2004
"73","P1",2003-10-26,"Beira Mar","Leiria",4,2,1.83,3.25,3.75,2004
"74","P1",2003-10-26,"Moreirense","Academica",1,1,2,3.2,3.2,2004
"75","P1",2003-10-26,"Nacional","Belenenses",4,0,2,3.2,3.2,2004
"76","P1",2003-10-26,"Rio Ave","Est Amadora",3,1,1.8,3.2,4,2004
"77","P1",2003-10-27,"Boavista","Porto",0,1,3.2,3.2,2,2004
"78","P1",2003-10-29,"Academica","Benfica",1,3,4,3.4,1.72,2004
"79","P1",2003-10-31,"Porto","Nacional",1,0,1.2,5,11,2004
"80","P1",2003-11-01,"Est Amadora","Pacos Ferreira",0,1,2,3.2,3.2,2004
"81","P1",2003-11-01,"Guimaraes","Maritimo",1,1,2.4,3.25,2.5,2004
"82","P1",2003-11-01,"Sp Lisbon","Rio Ave",1,1,1.22,5,9.5,2004
"83","P1",2003-11-02,"Academica","Gil Vicente",2,1,2.2,3.2,2.8,2004
"84","P1",2003-11-02,"Belenenses","Moreirense",0,0,1.8,3.3,3.75,2004
"85","P1",2003-11-02,"Benfica","Beira Mar",1,2,1.4,3.75,7,2004
"86","P1",2003-11-02,"Leiria","Alverca",2,1,2.1,3.2,3,2004
