"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Lech Poznan","GKS Belchatow",1.36,4,8.5,"2008-08-08",2,3,"2008/2009","POL"
"2","Legia","Polonia Warszawa",1.67,3.4,5.5,"2008-08-08",2,2,"2008/2009","POL"
"3","Slask Wroclaw","Lechia Gdansk",1.7,3.6,5,"2008-08-09",1,1,"2008/2009","POL"
"4","Wisla","Polonia Bytom",1.22,5.5,10,"2008-08-09",1,0,"2008/2009","POL"
"5","Piast Gliwice","Cracovia",2.54,3.2,2.6,"2008-08-09",2,0,"2008/2009","POL"
"6","LKS Lodz","Odra Wodzislaw",2.54,3.2,2.75,"2008-08-09",0,0,"2008/2009","POL"
"7","Arka Gdynia","Jagiellonia",2.25,3.2,3,"2008-08-10",1,1,"2008/2009","POL"
"8","Gornik Z.","Ruch Chorzow",2,3.25,3.75,"2008-08-10",0,0,"2008/2009","POL"
"9","Arka Gdynia","Gornik Z.",2.63,3.2,2.5,"2008-08-15",1,0,"2008/2009","POL"
"10","Cracovia","LKS Lodz",1.55,3.6,6,"2008-08-15",2,0,"2008/2009","POL"
"11","Polonia Warszawa","Wisla",3.4,3.2,2.1,"2008-08-16",0,2,"2008/2009","POL"
"12","Ruch Chorzow","Lechia Gdansk",1.67,3.4,4.75,"2008-08-16",2,1,"2008/2009","POL"
"13","Polonia Bytom","Slask Wroclaw",2.63,3.2,2.54,"2008-08-16",1,1,"2008/2009","POL"
"14","GKS Belchatow","Piast Gliwice",1.4,3.75,9,"2008-08-16",0,0,"2008/2009","POL"
"15","Jagiellonia","Lech Poznan",3.6,3.25,1.95,"2008-08-17",0,3,"2008/2009","POL"
"16","Odra Wodzislaw","Legia",4,3.25,1.85,"2008-08-17",2,0,"2008/2009","POL"
"17","Ruch Chorzow","Polonia Bytom",1.5,3.6,6.5,"2008-08-22",2,1,"2008/2009","POL"
"18","Wisla","GKS Belchatow",1.3,4.75,8.5,"2008-08-22",2,1,"2008/2009","POL"
"19","LKS Lodz","Polonia Warszawa",4.33,3.25,1.8,"2008-08-23",1,2,"2008/2009","POL"
"20","Lech Poznan","Gornik Z.",1.33,4.75,8.5,"2008-08-23",3,0,"2008/2009","POL"
"21","Slask Wroclaw","Odra Wodzislaw",1.85,3.3,4,"2008-08-23",4,0,"2008/2009","POL"
"22","Piast Gliwice","Arka Gdynia",3.1,3.2,2.2,"2008-08-23",1,2,"2008/2009","POL"
"23","Legia","Jagiellonia",1.36,4.5,8.5,"2008-08-24",2,0,"2008/2009","POL"
"24","Lechia Gdansk","Cracovia",2,3.3,3.4,"2008-08-24",2,0,"2008/2009","POL"
"25","Polonia Warszawa","Slask Wroclaw",1.73,3.5,5,"2008-08-29",3,0,"2008/2009","POL"
"26","GKS Belchatow","LKS Lodz",1.5,3.6,6.5,"2008-08-29",0,2,"2008/2009","POL"
"27","Jagiellonia","Piast Gliwice",2.1,3.2,3.6,"2008-08-30",2,0,"2008/2009","POL"
"28","Odra Wodzislaw","Ruch Chorzow",2.5,3.1,2.9,"2008-08-30",3,0,"2008/2009","POL"
"29","Polonia Bytom","Lechia Gdansk",2.6,3.1,2.65,"2008-08-30",4,1,"2008/2009","POL"
"30","Cracovia","Wisla",5.5,3.6,1.67,"2008-08-31",1,1,"2008/2009","POL"
"31","Gornik Z.","Legia",2.9,3.1,2.6,"2008-08-31",0,3,"2008/2009","POL"
"32","Arka Gdynia","Lech Poznan",3,3.2,2.25,"2008-08-31",2,1,"2008/2009","POL"
"33","Ruch Chorzow","Cracovia",2.2,3.2,3.4,"2008-09-12",2,0,"2008/2009","POL"
"34","LKS Lodz","Jagiellonia",2.4,3.1,2.9,"2008-09-12",1,0,"2008/2009","POL"
"35","Polonia Bytom","Polonia Warszawa",3.75,3.2,1.95,"2008-09-13",0,4,"2008/2009","POL"
"36","Legia","Arka Gdynia",1.6,3.75,5.75,"2008-09-13",2,0,"2008/2009","POL"
"37","Lechia Gdansk","Odra Wodzislaw",1.91,3.1,4,"2008-09-13",3,1,"2008/2009","POL"
"38","Slask Wroclaw","GKS Belchatow",2.04,3.3,3.3,"2008-09-13",2,1,"2008/2009","POL"
"39","Wisla","Lech Poznan",1.67,3.5,5.25,"2008-09-14",1,4,"2008/2009","POL"
"40","Gornik Z.","Piast Gliwice",1.62,3.6,4.5,"2008-09-14",1,0,"2008/2009","POL"
"41","Cracovia","Legia",3.8,3.3,2,"2008-09-19",0,3,"2008/2009","POL"
"42","Gornik Z.","Slask Wroclaw",1.91,3.25,3.8,"2008-09-19",1,2,"2008/2009","POL"
"43","Polonia Warszawa","Ruch Chorzow",1.5,3.8,6.5,"2008-09-20",3,0,"2008/2009","POL"
"44","GKS Belchatow","Lechia Gdansk",1.8,3.4,4,"2008-09-20",1,0,"2008/2009","POL"
"45","Odra Wodzislaw","Polonia Bytom",1.85,3.3,3.8,"2008-09-20",4,1,"2008/2009","POL"
"46","Jagiellonia","Wisla",6.5,3.6,1.5,"2008-09-21",0,2,"2008/2009","POL"
"47","Arka Gdynia","LKS Lodz",1.55,3.6,5.5,"2008-09-21",4,0,"2008/2009","POL"
"48","Lech Poznan","Piast Gliwice",1.25,5,10,"2008-09-21",1,0,"2008/2009","POL"
"49","Lechia Gdansk","Polonia Warszawa",3.75,3.4,2,"2008-09-26",0,0,"2008/2009","POL"
"50","Polonia Bytom","Gornik Z.",3.2,3.3,2.04,"2008-09-26",2,0,"2008/2009","POL"
"51","Ruch Chorzow","Jagiellonia",1.53,3.6,6,"2008-09-27",0,0,"2008/2009","POL"
"52","Wisla","Arka Gdynia",1.44,4.2,7.5,"2008-09-27",4,0,"2008/2009","POL"
"53","Legia","Piast Gliwice",1.18,5.5,15,"2008-09-27",3,1,"2008/2009","POL"
"54","Odra Wodzislaw","GKS Belchatow",2.2,3.2,3.1,"2008-09-27",0,2,"2008/2009","POL"
"55","LKS Lodz","Lech Poznan",5.75,3.6,1.62,"2008-09-28",0,3,"2008/2009","POL"
"56","Slask Wroclaw","Cracovia",1.55,3.5,5.75,"2008-09-28",1,1,"2008/2009","POL"
"57","Arka Gdynia","Lechia Gdansk",1.85,3.3,4.2,"2008-10-03",0,1,"2008/2009","POL"
"58","Cracovia","Polonia Bytom",1.8,3.4,4.33,"2008-10-03",0,1,"2008/2009","POL"
"59","Jagiellonia","Slask Wroclaw",2.63,3.2,2.63,"2008-10-03",2,2,"2008/2009","POL"
"60","Polonia Warszawa","Odra Wodzislaw",1.36,4.33,9,"2008-10-04",2,0,"2008/2009","POL"
"61","GKS Belchatow","Ruch Chorzow",1.83,3.3,4.33,"2008-10-04",1,0,"2008/2009","POL"
"62","Piast Gliwice","LKS Lodz",2.25,3.25,3.1,"2008-10-04",2,1,"2008/2009","POL"
"63","Lech Poznan","Legia",2.25,3.2,3.1,"2008-10-05",0,0,"2008/2009","POL"
"64","Gornik Z.","Wisla",6,3.6,1.57,"2008-10-05",1,1,"2008/2009","POL"
"65","Polonia Warszawa","Cracovia",1.25,5.5,12,"2008-10-17",1,1,"2008/2009","POL"
"66","Odra Wodzislaw","Jagiellonia",2,3.4,3.75,"2008-10-17",1,1,"2008/2009","POL"
"67","Wisla","Piast Gliwice",1.17,6.5,19,"2008-10-18",2,0,"2008/2009","POL"
"68","LKS Lodz","Legia",7,3.75,1.53,"2008-10-18",0,0,"2008/2009","POL"
"69","Slask Wroclaw","Arka Gdynia",1.83,3.4,4.33,"2008-10-18",2,1,"2008/2009","POL"
"70","Polonia Bytom","GKS Belchatow",2.88,3.1,2.54,"2008-10-18",1,2,"2008/2009","POL"
"71","Ruch Chorzow","Lech Poznan",3.8,3.3,2,"2008-10-19",2,0,"2008/2009","POL"
"72","Lechia Gdansk","Gornik Z.",2.2,3.25,3.3,"2008-10-19",1,0,"2008/2009","POL"
"73","GKS Belchatow","Polonia Warszawa",2.6,3.2,2.75,"2008-10-24",1,2,"2008/2009","POL"
"74","Jagiellonia","Lechia Gdansk",2.29,3.3,2.9,"2008-10-24",2,0,"2008/2009","POL"
"75","Piast Gliwice","Ruch Chorzow",2.63,3.1,2.75,"2008-10-24",0,0,"2008/2009","POL"
"76","Arka Gdynia","Polonia Bytom",1.62,3.4,5.25,"2008-10-25",1,3,"2008/2009","POL"
"77","Lech Poznan","Slask Wroclaw",1.36,4.33,9.5,"2008-10-25",1,1,"2008/2009","POL"
"78","Gornik Z.","LKS Lodz",1.57,3.75,6.25,"2008-10-25",2,0,"2008/2009","POL"
"79","Cracovia","Odra Wodzislaw",1.95,3.3,4,"2008-10-25",0,0,"2008/2009","POL"
"80","Legia","Wisla",2.4,3.2,3,"2008-10-26",2,1,"2008/2009","POL"
"81","Lech Poznan","Odra Wodzislaw",1.3,4.5,9,"2008-10-31",3,1,"2008/2009","POL"
"82","LKS Lodz","Slask Wroclaw",3.2,3.4,2.2,"2008-10-31",0,0,"2008/2009","POL"
"83","Arka Gdynia","Polonia Warszawa",2.8,3.2,2.29,"2008-10-31",0,1,"2008/2009","POL"
"84","Piast Gliwice","Polonia Bytom",2.6,3.3,2.63,"2008-10-31",1,0,"2008/2009","POL"
