"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Spartak Moscow","FK Rostov",1.55,3.4,4.65,"2004-07-28",1,0,"2004","RUS"
"2","Kuban","Spartak Moscow",2.8,3.1,2.1,"2004-08-04",1,2,"2004","RUS"
"3","Lokomotiv Moscow","Spartak Moscow",1.65,3.3,4.15,"2004-08-07",0,0,"2004","RUS"
"4","Alania Vladikavkaz","FK Krylya Sovetov Samara",2.29,3.15,2.29,"2004-08-14",1,4,"2004","RUS"
"5","Shinnik Yaroslavl","CSKA Moscow",3.35,3.3,1.8,"2004-08-14",2,1,"2004","RUS"
"6","Spartak Moscow","Lokomotiv Moscow",2.8,3.1,2.1,"2004-08-14",1,3,"2004","RUS"
"7","Zenit","FK Rostov",1.4,3.8,5.7,"2004-08-15",0,1,"2004","RUS"
"8","Amkar","R. Volgograd",1.55,3.4,4.65,"2004-08-15",1,1,"2004","RUS"
"9","Dynamo Moscow","Kuban",1.55,3.4,4.65,"2004-08-15",0,1,"2004","RUS"
"10","CSKA Moscow","R. Volgograd",1.2,5,9,"2004-08-20",3,0,"2004","RUS"
"11","FK Krylya Sovetov Samara","Dynamo Moscow",1.5,3.45,4.9,"2004-08-21",4,1,"2004","RUS"
"12","Shinnik Yaroslavl","Amkar",1.8,3.2,3.45,"2004-08-21",2,1,"2004","RUS"
"13","Rubin Kazan","T. Moscow",2.54,3,2.29,"2004-08-21",2,0,"2004","RUS"
"14","Zenit","Spartak Moscow",1.7,3.2,3.9,"2004-08-21",2,0,"2004","RUS"
"15","Alania Vladikavkaz","Kuban",1.85,3.2,3.3,"2004-08-22",2,0,"2004","RUS"
"16","Lokomotiv Moscow","FK Rostov",1.3,4.2,6.6,"2004-08-22",1,1,"2004","RUS"
"17","R. Volgograd","Shinnik Yaroslavl",2.29,3.15,2.29,"2004-08-25",0,2,"2004","RUS"
"18","Spartak Moscow","FK Krylya Sovetov Samara",2.1,3.2,2.7,"2004-08-28",3,1,"2004","RUS"
