"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","SP1",2002-08-31,"Santander","Valladolid",0,1,1.909,3.25,3.4,2003
"2","SP1",2002-09-01,"Barcelona","Ath Madrid",2,2,1.5,3.4,6,2003
"3","SP1",2002-09-01,"La Coruna","Betis",2,4,1.5,3.4,6,2003
"4","SP1",2002-09-01,"Mallorca","Valencia",0,2,2.875,3,2.25,2003
"5","SP1",2002-09-01,"Recreativo","Malaga",2,3,2.5,3.1,2.5,2003
"6","SP1",2002-09-01,"Sevilla","Celta",0,1,2.375,3.1,2.625,2003
"7","SP1",2002-09-01,"Sociedad","Ath Bilbao",4,2,2.2,3,3,2003
"8","SP1",2002-09-01,"Vallecano","Alaves",2,2,2.2,3,3,2003
"9","SP1",2002-09-01,"Villarreal","Osasuna",2,2,1.727,3.2,4.333,2003
"10","SP1",2002-09-02,"Real Madrid","Espanol",2,0,1.25,4.5,10,2003
"11","SP1",2002-09-14,"Ath Bilbao","Barcelona",0,2,3,3,2.2,2003
"12","SP1",2002-09-14,"Malaga","Vallecano",2,1,1.727,3.2,4.333,2003
"13","SP1",2002-09-14,"Osasuna","La Coruna",1,2,2.875,3,2.25,2003
"14","SP1",2002-09-14,"Valencia","Recreativo",3,0,1.25,4.5,10,2003
"15","SP1",2002-09-15,"Alaves","Santander",0,1,1.667,3.25,4.5,2003
"16","SP1",2002-09-15,"Ath Madrid","Sevilla",1,1,1.615,3.25,5,2003
"17","SP1",2002-09-15,"Celta","Mallorca",3,1,1.571,3.5,5,2003
"18","SP1",2002-09-15,"Espanol","Sociedad",1,3,1.909,3.2,3.5,2003
"19","SP1",2002-09-15,"Valladolid","Villarreal",1,0,1.909,3.2,3.5,2003
"20","SP1",2002-09-21,"Barcelona","Espanol",2,0,1.364,3.75,8,2003
"21","SP1",2002-09-21,"La Coruna","Valladolid",2,0,1.364,3.75,8,2003
"22","SP1",2002-09-21,"Real Madrid","Osasuna",4,1,1.2,5,11,2003
"23","SP1",2002-09-22,"Malaga","Valencia",2,2,2.7,3,2.4,2003
"24","SP1",2002-09-22,"Mallorca","Ath Madrid",0,4,2.375,3.1,2.625,2003
"25","SP1",2002-09-22,"Recreativo","Celta",0,3,3,3,2.2,2003
"26","SP1",2002-09-22,"Sevilla","Ath Bilbao",1,1,1.909,3.25,3.4,2003
"27","SP1",2002-09-22,"Sociedad","Betis",3,3,2.25,3.2,2.75,2003
"28","SP1",2002-09-22,"Vallecano","Santander",3,1,1.909,3.25,3.4,2003
"29","SP1",2002-09-22,"Villarreal","Alaves",0,1,2.1,3,3.2,2003
"30","SP1",2002-09-28,"Alaves","La Coruna",1,2,2.625,3.1,2.375,2003
"31","SP1",2002-09-28,"Betis","Barcelona",3,0,2.75,3.25,2.2,2003
"32","SP1",2002-09-28,"Valladolid","Real Madrid",1,1,4.5,3.3,1.667,2003
"33","SP1",2002-09-29,"Ath Bilbao","Mallorca",0,2,1.727,3.2,4.333,2003
"34","SP1",2002-09-29,"Ath Madrid","Recreativo",1,1,1.364,3.75,8,2003
"35","SP1",2002-09-29,"Celta","Malaga",2,2,1.615,3.25,5,2003
"36","SP1",2002-09-29,"Espanol","Sevilla",0,0,2.1,3,3.2,2003
"37","SP1",2002-09-29,"Osasuna","Sociedad",2,3,2.3,3.2,2.625,2003
"38","SP1",2002-09-29,"Santander","Villarreal",1,1,1.833,3.2,3.75,2003
"39","SP1",2002-09-29,"Valencia","Vallecano",3,0,1.286,4.5,8,2003
"40","SP1",2002-10-05,"Recreativo","Ath Bilbao",1,2,2.5,3,2.625,2003
"41","SP1",2002-10-06,"Barcelona","Osasuna",2,2,1.286,4.5,8,2003
"42","SP1",2002-10-06,"La Coruna","Santander",0,2,1.333,4,8,2003
"43","SP1",2002-10-06,"Malaga","Ath Madrid",3,1,2.1,3.2,3,2003
"44","SP1",2002-10-06,"Mallorca","Espanol",2,0,1.909,3.2,3.5,2003
"45","SP1",2002-10-06,"Real Madrid","Alaves",5,2,1.25,4.5,10,2003
