"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Landskrona","Helsingborg",2.35,3.1,2.35,"2004-04-03",1,1,2004,"SWE"
"2","AIK","Sundsvall",1.65,3.3,4.15,"2004-04-04",1,0,2004,"SWE"
"3","Kalmar","Goteborg",2.45,3.1,2.29,"2004-04-04",0,0,2004,"SWE"
"4","Elfsborg","Orgryte",2.2,3.1,2.6,"2004-04-05",1,2,2004,"SWE"
"5","Trelleborgs","Djurgarden",3.3,3.2,1.85,"2004-04-05",2,2,2004,"SWE"
"6","Hammarby","Malmo FF",2.1,3.1,2.8,"2004-04-06",0,0,2004,"SWE"
"7","Halmstad","Trelleborgs",1.55,3.4,4.65,"2004-04-09",1,0,2004,"SWE"
"8","Goteborg","Elfsborg",1.85,3.3,3.2,"2004-04-09",3,0,2004,"SWE"
"9","Helsingborg","Kalmar",1.55,3.4,4.65,"2004-04-12",1,2,2004,"SWE"
"10","Orgryte","Hammarby",2.35,3.2,2.35,"2004-04-12",0,0,2004,"SWE"
"11","Sundsvall","Landskrona",2.29,3.1,2.45,"2004-04-12",0,0,2004,"SWE"
"12","Djurgarden","AIK",2.1,3.2,2.7,"2004-04-13",3,1,2004,"SWE"
"13","AIK","Trelleborgs",1.6,3.4,4.15,"2004-04-18",0,0,2004,"SWE"
"14","Landskrona","Orebro",1.8,3.3,3.3,"2004-04-18",0,1,2004,"SWE"
"15","Sundsvall","Orgryte",2.35,3.2,2.35,"2004-04-18",3,0,2004,"SWE"
"16","Elfsborg","Malmo FF",3.1,3.3,1.9,"2004-04-19",1,5,2004,"SWE"
"17","Helsingborg","Djurgarden",2.35,3.2,2.35,"2004-04-19",1,1,2004,"SWE"
"18","Kalmar","Hammarby",2.9,3.2,2,"2004-04-20",1,2,2004,"SWE"
"19","Orgryte","AIK",2.2,3.2,2.54,"2004-04-22",1,1,2004,"SWE"
"20","Hammarby","Elfsborg",1.5,3.6,4.9,"2004-04-24",1,0,2004,"SWE"
"21","Djurgarden","Sundsvall",1.35,4,6.6,"2004-04-25",3,1,2004,"SWE"
"22","Halmstad","Helsingborg",2.15,3.1,2.7,"2004-04-25",3,2,2004,"SWE"
"23","Trelleborgs","Landskrona",2.25,3.1,2.54,"2004-04-25",2,1,2004,"SWE"
"24","Kalmar","Sundsvall",1.9,3.2,3.2,"2004-05-02",2,1,2004,"SWE"
"25","Landskrona","Djurgarden",3.2,3.2,1.9,"2004-05-02",2,0,2004,"SWE"
"26","Orebro","Hammarby",2.7,3.1,2.15,"2004-05-02",1,2,2004,"SWE"
"27","AIK","Halmstad",2.1,3.1,2.8,"2004-05-03",0,2,2004,"SWE"
"28","Elfsborg","Helsingborg",2.35,3.15,2.35,"2004-05-03",1,1,2004,"SWE"
"29","Trelleborgs","Malmo FF",3.9,3.2,1.7,"2004-05-03",1,1,2004,"SWE"
"30","Orgryte","Goteborg",2.45,3.1,2.29,"2004-05-04",1,2,2004,"SWE"
