"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Columbus Crew","New York Red Bulls",2.1,3.1,2.8,"2004-04-03",1,3,2004,"USA"
"2","FC Dallas","Colorado Rapids",2.29,3.1,2.45,"2004-04-03",1,1,2004,"USA"
"3","Los Angeles Galaxy","New England Revolution",1.7,3.2,3.9,"2004-04-03",3,2,2004,"USA"
"4","Sporting Kansas City","Chicago Fire",2.2,3.1,2.6,"2004-04-03",0,0,2004,"USA"
"5","DC United","Houston Dynamo",2.35,3.1,2.35,"2004-04-03",2,1,2004,"USA"
"6","Los Angeles Galaxy","DC United",1.9,3.2,3.2,"2004-04-10",1,1,2004,"USA"
"7","Houston Dynamo","Chicago Fire",2.29,3.2,2.29,"2004-04-10",0,0,2004,"USA"
"8","Sporting Kansas City","Columbus Crew",1.8,3.3,3.3,"2004-04-17",1,0,2004,"USA"
"9","Chicago Fire","FC Dallas",1.55,3.5,4.3,"2004-04-17",0,2,2004,"USA"
"10","Colorado Rapids","Los Angeles Galaxy",2.04,3.2,2.8,"2004-04-17",1,1,2004,"USA"
"11","New York Red Bulls","DC United",2,3.2,2.9,"2004-04-17",3,2,2004,"USA"
"12","FC Dallas","Sporting Kansas City",2.25,3,2.65,"2004-04-24",1,0,2004,"USA"
"13","Los Angeles Galaxy","Columbus Crew",1.7,3.2,3.9,"2004-04-24",2,0,2004,"USA"
"14","DC United","Chicago Fire",2.15,3.1,2.7,"2004-04-24",0,1,2004,"USA"
"15","New York Red Bulls","New England Revolution",1.9,3.2,3.2,"2004-04-25",1,1,2004,"USA"
"16","Chicago Fire","New York Red Bulls",2.1,3.1,2.8,"2004-05-01",3,0,2004,"USA"
"17","Columbus Crew","FC Dallas",2.1,3.1,2.8,"2004-05-01",0,0,2004,"USA"
"18","New England Revolution","Los Angeles Galaxy",2.35,3.15,2.35,"2004-05-01",2,1,2004,"USA"
"19","Sporting Kansas City","Colorado Rapids",2,3.1,3,"2004-05-01",2,0,2004,"USA"
"20","Houston Dynamo","DC United",1.8,3.2,3.45,"2004-05-01",1,1,2004,"USA"
"21","DC United","Columbus Crew",1.75,3.2,3.65,"2004-05-08",1,1,2004,"USA"
"22","Houston Dynamo","New York Red Bulls",2.2,3,2.7,"2004-05-08",5,5,2004,"USA"
"23","Sporting Kansas City","Chicago Fire",2.29,3,2.54,"2004-05-08",2,2,2004,"USA"
"24","FC Dallas","Los Angeles Galaxy",2.2,3,2.7,"2004-05-08",1,3,2004,"USA"
"25","DC United","Sporting Kansas City",2.1,3.1,2.8,"2004-05-15",1,0,2004,"USA"
"26","FC Dallas","Houston Dynamo",2.15,3.1,2.7,"2004-05-15",1,2,2004,"USA"
"27","Los Angeles Galaxy","Colorado Rapids",1.8,3.2,3.45,"2004-05-15",1,1,2004,"USA"
"28","New York Red Bulls","Chicago Fire",2.15,3.1,2.7,"2004-05-15",1,1,2004,"USA"
"29","Columbus Crew","New England Revolution",2.35,3.1,2.35,"2004-05-15",1,0,2004,"USA"
"30","DC United","Los Angeles Galaxy",2.2,3.1,2.6,"2004-05-19",2,4,2004,"USA"
"31","Colorado Rapids","DC United",2.1,3,2.9,"2004-05-22",2,1,2004,"USA"
"32","Houston Dynamo","Los Angeles Galaxy",2,3,3.1,"2004-05-22",4,2,2004,"USA"
"33","Sporting Kansas City","FC Dallas",1.9,3.1,3.3,"2004-05-22",2,0,2004,"USA"
"34","New England Revolution","New York Red Bulls",2.29,3,2.54,"2004-05-22",1,1,2004,"USA"
"35","Chicago Fire","Columbus Crew",1.6,3.3,4.65,"2004-05-23",1,3,2004,"USA"
"36","Chicago Fire","Colorado Rapids",1.9,3.2,3.2,"2004-05-29",1,0,2004,"USA"
"37","Columbus Crew","Houston Dynamo",2.4,3,2.4,"2004-05-29",1,0,2004,"USA"
"38","Los Angeles Galaxy","FC Dallas",1.65,3.3,4.15,"2004-05-29",4,1,2004,"USA"
"39","New York Red Bulls","Sporting Kansas City",2,3.1,3,"2004-05-30",1,0,2004,"USA"
"40","Sporting Kansas City","New England Revolution",1.7,3.2,3.9,"2004-06-02",2,3,2004,"USA"
"41","New York Red Bulls","FC Dallas",1.85,3.1,3.45,"2004-06-05",0,2,2004,"USA"
"42","Chicago Fire","DC United",1.9,3.1,3.3,"2004-06-05",3,0,2004,"USA"
"43","New England Revolution","Columbus Crew",2.15,3,2.8,"2004-06-06",1,2,2004,"USA"
"44","Colorado Rapids","Sporting Kansas City",2.1,3,2.9,"2004-06-09",0,1,2004,"USA"
"45","Columbus Crew","Sporting Kansas City",2.04,3.1,2.9,"2004-06-12",2,2,2004,"USA"
"46","DC United","Colorado Rapids",2,3.1,3,"2004-06-12",0,0,2004,"USA"
"47","FC Dallas","New England Revolution",1.9,3.2,3.2,"2004-06-12",3,1,2004,"USA"
"48","Houston Dynamo","New York Red Bulls",2.1,3.1,2.8,"2004-06-12",3,1,2004,"USA"
"49","Los Angeles Galaxy","Chicago Fire",2,3.1,3,"2004-06-12",3,2,2004,"USA"
"50","Chicago Fire","Houston Dynamo",2,3.1,3,"2004-06-19",1,1,2004,"USA"
"51","Colorado Rapids","FC Dallas",2.15,3,2.8,"2004-06-19",1,1,2004,"USA"
"52","DC United","Columbus Crew",2.15,3,2.8,"2004-06-19",3,1,2004,"USA"
"53","New York Red Bulls","Los Angeles Galaxy",2.4,2.9,2.54,"2004-06-19",2,1,2004,"USA"
"54","Los Angeles Galaxy","New York Red Bulls",1.8,3,3.65,"2004-06-23",0,3,2004,"USA"
"55","Columbus Crew","Colorado Rapids",2,3,3.1,"2004-06-26",1,2,2004,"USA"
"56","New England Revolution","New York Red Bulls",2.4,2.9,2.5,"2004-06-26",2,1,2004,"USA"
"57","FC Dallas","DC United",2.1,3,2.9,"2004-06-26",1,1,2004,"USA"
"58","Chicago Fire","Los Angeles Galaxy",2.2,2.9,2.9,"2004-06-27",0,1,2004,"USA"
"59","New York Red Bulls","Colorado Rapids",1.85,3,3.65,"2004-06-30",2,3,2004,"USA"
"60","Columbus Crew","Chicago Fire",2.29,2.9,2.65,"2004-07-03",2,0,2004,"USA"
"61","DC United","New York Red Bulls",2.29,2.9,2.65,"2004-07-03",6,2,2004,"USA"
"62","Los Angeles Galaxy","Houston Dynamo",1.9,2.9,3.5,"2004-07-04",2,1,2004,"USA"
"63","Houston Dynamo","FC Dallas",1.9,2.9,3.5,"2004-07-07",1,2,2004,"USA"
"64","FC Dallas","Columbus Crew",2.1,3,2.9,"2004-07-10",0,0,2004,"USA"
"65","Los Angeles Galaxy","Colorado Rapids",1.75,3.05,3.9,"2004-07-10",2,0,2004,"USA"
"66","New York Red Bulls","Houston Dynamo",2.1,3,2.9,"2004-07-10",2,0,2004,"USA"
"67","Colorado Rapids","Los Angeles Galaxy",2.29,2.9,2.65,"2004-07-14",0,0,2004,"USA"
"68","Chicago Fire","New York Red Bulls",2.2,3,2.7,"2004-07-17",1,1,2004,"USA"
"69","DC United","Los Angeles Galaxy",2.25,3.1,2.54,"2004-07-17",1,1,2004,"USA"
"70","FC Dallas","Sporting Kansas City",2.2,3,2.7,"2004-07-17",0,1,2004,"USA"
"71","Houston Dynamo","Colorado Rapids",2.1,3,2.9,"2004-07-17",3,1,2004,"USA"
"72","Colorado Rapids","Columbus Crew",2,3,3.1,"2004-07-24",0,0,2004,"USA"
"73","FC Dallas","DC United",2.15,3,2.8,"2004-07-24",5,1,2004,"USA"
"74","New York Red Bulls","Chicago Fire",1.9,3.05,3.3,"2004-07-24",2,1,2004,"USA"
"75","Sporting Kansas City","Los Angeles Galaxy",2.1,3,2.9,"2004-07-24",2,2,2004,"USA"
"76","Colorado Rapids","Chicago Fire",2,3,3.1,"2004-07-28",2,0,2004,"USA"
"77","Columbus Crew","FC Dallas",2.2,3.1,2.7,"2004-07-28",2,1,2004,"USA"
"78","FC Dallas","Colorado Rapids",2.2,2.9,2.8,"2004-08-07",1,0,2004,"USA"
"79","Houston Dynamo","DC United",1.9,3,3.4,"2004-08-07",2,0,2004,"USA"
"80","New York Red Bulls","Los Angeles Galaxy",2.29,2.9,2.65,"2004-08-08",3,0,2004,"USA"
"81","Chicago Fire","Houston Dynamo",2.29,2.9,2.65,"2004-08-11",2,1,2004,"USA"
"82","DC United","Colorado Rapids",2.1,3,2.9,"2004-08-11",3,1,2004,"USA"
"83","FC Dallas","New England Revolution",1.9,3.05,3.3,"2004-08-11",0,3,2004,"USA"
"84","Chicago Fire","Colorado Rapids",2.35,3.1,2.35,"2004-08-14",0,3,2004,"USA"
"85","Los Angeles Galaxy","Columbus Crew",1.75,3.1,3.8,"2004-08-14",0,0,2004,"USA"
"86","Sporting Kansas City","Houston Dynamo",1.7,3.2,3.9,"2004-08-14",0,2,2004,"USA"
"87","New York Red Bulls","FC Dallas",1.8,3.1,3.55,"2004-08-15",0,1,2004,"USA"
"88","Columbus Crew","Sporting Kansas City",2.4,2.9,2.5,"2004-08-18",2,1,2004,"USA"
"89","Colorado Rapids","New York Red Bulls",2.2,3,2.7,"2004-08-21",1,0,2004,"USA"
"90","Columbus Crew","DC United",2,3,3.1,"2004-08-21",2,2,2004,"USA"
"91","Houston Dynamo","FC Dallas",2.15,3,2.8,"2004-08-21",3,0,2004,"USA"
"92","Los Angeles Galaxy","Chicago Fire",1.65,3.3,4.15,"2004-08-21",1,1,2004,"USA"
"93","FC Dallas","Chicago Fire",1.9,3.1,3.3,"2004-08-28",4,1,2004,"USA"
"94","Houston Dynamo","Colorado Rapids",2,3,3.1,"2004-08-28",0,0,2004,"USA"
"95","New York Red Bulls","Columbus Crew",1.9,3.1,3.3,"2004-08-29",1,1,2004,"USA"
"96","Chicago Fire","Sporting Kansas City",2.54,2.9,2.35,"2004-09-01",3,1,2004,"USA"
"97","Chicago Fire","DC United",2.2,2.9,2.8,"2004-09-04",3,1,2004,"USA"
"98","Colorado Rapids","FC Dallas",2.04,3,3.1,"2004-09-04",2,1,2004,"USA"
"99","Columbus Crew","Los Angeles Galaxy",2.25,2.9,2.7,"2004-09-04",3,1,2004,"USA"
"100","New England Revolution","Houston Dynamo",2.35,2.9,2.54,"2004-09-04",0,1,2004,"USA"
"101","Sporting Kansas City","New York Red Bulls",2,3,3.2,"2004-09-04",1,0,2004,"USA"
"102","Houston Dynamo","Columbus Crew",2,3,3.1,"2004-09-08",0,1,2004,"USA"
"103","Los Angeles Galaxy","Houston Dynamo",2,2.9,3.2,"2004-09-11",2,1,2004,"USA"
"104","DC United","FC Dallas",2.2,2.9,2.8,"2004-09-11",3,0,2004,"USA"
"105","Columbus Crew","New York Red Bulls",2.1,3,2.9,"2004-09-18",4,2,2004,"USA"
"106","DC United","Chicago Fire",2.04,2.9,3.1,"2004-09-18",3,1,2004,"USA"
"107","FC Dallas","Los Angeles Galaxy",2.29,3,2.54,"2004-09-18",2,0,2004,"USA"
"108","Colorado Rapids","Houston Dynamo",1.95,3.05,3.2,"2004-10-02",1,1,2004,"USA"
"109","Columbus Crew","Chicago Fire",1.75,3.1,3.9,"2004-10-02",3,3,2004,"USA"
"110","Los Angeles Galaxy","Sporting Kansas City",2.2,3,2.7,"2004-10-02",1,1,2004,"USA"
"111","New England Revolution","FC Dallas",2.2,3,2.7,"2004-10-02",2,0,2004,"USA"
"112","New York Red Bulls","DC United",1.9,3.1,3.3,"2004-10-02",0,1,2004,"USA"
"113","Chicago Fire","Columbus Crew",2.6,3,2.29,"2004-10-06",0,1,2004,"USA"
"114","DC United","New England Revolution",1.85,3.1,3.65,"2004-10-09",1,0,2004,"USA"
"115","Houston Dynamo","Sporting Kansas City",2.29,3,2.6,"2004-10-09",0,0,2004,"USA"
"116","Los Angeles Galaxy","FC Dallas",1.9,3.1,3.45,"2004-10-09",2,0,2004,"USA"
