MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,BetJoe_H,BetJoe_A
1,2015,Rakuten Monkeys,Chinatrust Brothers,2015-10-25,11,0,1.72,2.19,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2,2015,Rakuten Monkeys,Chinatrust Brothers,2015-10-24,5,4,1.67,2.26,1.65,2.02,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3,2015,Chinatrust Brothers,Rakuten Monkeys,2015-10-22,2,9,1.92,1.92,1.81,1.81,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4,2015,Chinatrust Brothers,Rakuten Monkeys,2015-10-21,12,7,2.17,1.72,2.01,1.65,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5,2015,Chinatrust Brothers,Rakuten Monkeys,2015-10-20,9,8,1.93,1.91,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6,2015,Rakuten Monkeys,Chinatrust Brothers,2015-10-18,5,6,2.04,1.82,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7,2015,Rakuten Monkeys,Chinatrust Brothers,2015-10-17,8,6,1.72,2.18,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8,2015,Eda Rhinos,Uni Lions,2015-10-13,5,2,1.89,1.92,1.65,2.01,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9,2015,Chinatrust Brothers,Eda Rhinos,2015-10-12,4,11,2.12,1.72,1.95,1.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10,2015,Rakuten Monkeys,Uni Lions,2015-10-12,6,5,1.36,3.15,1.4,2.6,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11,2015,Chinatrust Brothers,Uni Lions,2015-10-11,7,3,1.62,2.3,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12,2015,Rakuten Monkeys,Eda Rhinos,2015-10-11,11,2,1.69,2.17,1.6,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13,2015,Chinatrust Brothers,Rakuten Monkeys,2015-10-10,9,6,1.82,1.99,1.75,1.88,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14,2015,Eda Rhinos,Uni Lions,2015-10-10,12,3,1.72,2.12,1.65,2.01,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15,2015,Chinatrust Brothers,Eda Rhinos,2015-10-08,10,7,1.72,2.12,1.65,2.01,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
16,2015,Uni Lions,Rakuten Monkeys,2015-10-08,6,5,2.07,1.77,1.95,1.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17,2015,Eda Rhinos,Chinatrust Brothers,2015-10-03,6,2,1.82,1.99,1.77,1.86,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18,2015,Chinatrust Brothers,Rakuten Monkeys,2015-10-02,6,5,1.95,1.86,1.86,1.77,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19,2015,Eda Rhinos,Uni Lions,2015-10-02,8,6,1.99,1.82,1.86,1.77,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20,2015,Rakuten Monkeys,Chinatrust Brothers,2015-10-01,10,7,1.72,2.12,1.65,2.01,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21,2015,Rakuten Monkeys,Chinatrust Brothers,2015-09-30,3,12,1.67,2.21,1.6,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22,2015,Uni Lions,Eda Rhinos,2015-09-30,0,2,1.87,1.94,1.77,1.86,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
23,2015,Chinatrust Brothers,Rakuten Monkeys,2015-09-27,6,11,2.06,1.77,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24,2015,Eda Rhinos,Uni Lions,2015-09-27,5,2,1.72,2.12,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25,2015,Chinatrust Brothers,Rakuten Monkeys,2015-09-26,7,9,1.83,1.98,1.77,1.86,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26,2015,Eda Rhinos,Uni Lions,2015-09-26,5,16,1.99,1.82,1.86,1.77,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27,2015,Chinatrust Brothers,Rakuten Monkeys,2015-09-25,1,9,1.72,2.12,1.7,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
28,2015,Eda Rhinos,Uni Lions,2015-09-25,5,10,1.87,1.93,1.77,1.86,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
29,2015,Eda Rhinos,Chinatrust Brothers,2015-09-24,4,6,1.67,2.21,1.6,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
30,2015,Rakuten Monkeys,Uni Lions,2015-09-24,13,2,1.87,1.93,1.77,1.86,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
31,2015,Eda Rhinos,Chinatrust Brothers,2015-09-23,3,9,1.77,2.06,1.7,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
32,2015,Rakuten Monkeys,Uni Lions,2015-09-22,8,1,1.64,2.27,1.6,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
33,2015,Rakuten Monkeys,Eda Rhinos,2015-09-20,10,9,1.67,2.22,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
34,2015,Uni Lions,Chinatrust Brothers,2015-09-20,4,13,1.82,1.99,1.95,1.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
35,2015,Rakuten Monkeys,Eda Rhinos,2015-09-19,8,12,1.72,2.12,1.65,2.01,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
