MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,1xBet_H,1xBet_A,Bethard_H,Bethard_A,Coolbet_H,Coolbet_A,Asianodds_H,Asianodds_A,BetJoe_H,BetJoe_A,Betago_H,Betago_A
1,2008-2009,Oldenburg,Bonn,2009-06-25,71,70,1.4,2.7,1.44,2.62,1.4,2.7,1.46,2.94,1.4,2.75,1.45,2.54,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2,2008-2009,Bonn,Oldenburg,2009-06-23,66,82,1.45,2.5,1.44,2.62,1.5,2.4,1.57,2.6,1.5,2.4,1.5,2.4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3,2008-2009,Oldenburg,Bonn,2009-06-21,78,81,1.4,2.7,1.36,2.87,1.4,2.72,Na,Na,1.4,2.75,1.45,2.54,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4,2008-2009,Bonn,Oldenburg,2009-06-18,70,79,1.45,2.5,1.44,2.62,1.45,2.54,1.51,2.77,1.4,2.75,1.5,2.4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5,2008-2009,Oldenburg,Bonn,2009-06-14,72,74,1.45,2.5,1.44,2.62,1.41,2.7,Na,Na,1.4,2.75,1.45,2.54,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6,2008-2009,Alba Berlin,Bonn,2009-06-11,71,82,1.1,6.2,1.13,5.0,1.14,4.75,Na,Na,1.14,5.25,1.14,4.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7,2008-2009,Bonn,Alba Berlin,2009-06-09,52,62,2.2,1.55,2.2,1.61,2.1,1.65,2.39,1.67,2.1,1.65,2.0,1.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8,2008-2009,Oldenburg,Bamberg,2009-06-07,88,85,1.3,3.2,1.3,3.0,1.3,3.2,Na,Na,1.4,2.75,1.35,2.9,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9,2008-2009,Alba Berlin,Bonn,2009-06-06,65,39,1.2,4.2,1.2,4.0,1.2,4.0,1.25,4.38,1.25,3.55,1.25,3.5,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10,2008-2009,Bamberg,Oldenburg,2009-06-04,58,66,1.55,2.2,1.57,2.25,1.55,2.29,1.64,2.41,1.5,2.4,1.57,2.25,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11,2008-2009,Bonn,Alba Berlin,2009-06-03,75,72,1.75,1.85,1.83,1.8,1.75,1.95,1.94,1.97,1.75,1.95,1.75,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12,2008-2009,Alba Berlin,Bonn,2009-05-31,71,73,1.2,4.2,1.22,3.75,1.2,4.0,1.27,4.3,1.2,4.0,1.2,4.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13,2008-2009,Oldenburg,Bamberg,2009-05-31,82,74,1.4,2.7,1.4,2.75,1.4,2.72,1.44,2.98,1.4,2.75,1.45,2.54,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14,2008-2009,Alba Berlin,Paderborn,2009-05-28,66,58,1.1,6.2,1.08,7.0,1.1,5.75,1.11,8.6,1.07,6.1,1.1,5.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15,2008-2009,Bamberg,Gottingen,2009-05-26,84,68,1.35,2.9,1.33,3.0,1.36,2.9,1.46,2.99,1.4,2.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
16,2008-2009,Paderborn,Alba Berlin,2009-05-26,85,80,2.7,1.4,2.87,1.36,2.95,1.35,3.5,1.36,2.75,1.4,2.8,1.38,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17,2008-2009,Frankfurt,Oldenburg,2009-05-26,69,72,1.6,2.1,1.57,2.25,1.55,2.29,1.61,2.52,Na,Na,1.62,2.15,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18,2008-2009,Oldenburg,Frankfurt,2009-05-24,61,50,1.3,3.2,1.3,3.2,1.35,2.95,1.34,3.6,1.3,3.2,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19,2008-2009,Gottingen,Bamberg,2009-05-24,60,72,1.5,2.35,1.5,2.5,1.5,2.4,1.53,2.79,1.5,2.4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20,2008-2009,Alba Berlin,Paderborn,2009-05-24,77,67,1.07,8.5,1.08,7.0,1.07,6.85,1.12,8.6,1.08,6.5,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21,2008-2009,Bonn,Ulm,2009-05-24,82,68,1.25,3.6,1.25,3.5,1.22,3.8,1.33,3.77,1.25,3.55,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22,2008-2009,Paderborn,Alba Berlin,2009-05-21,71,68,2.9,1.35,3.0,1.36,3.2,1.3,3.38,1.41,2.75,1.4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
23,2008-2009,Bamberg,Gottingen,2009-05-21,76,69,1.45,2.5,1.44,2.62,1.45,2.54,1.48,2.9,1.4,2.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24,2008-2009,Frankfurt,Oldenburg,2009-05-21,79,77,1.6,2.1,1.57,2.25,1.6,2.2,1.68,2.42,1.6,2.2,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25,2008-2009,Ulm,Bonn,2009-05-21,69,71,1.6,2.1,1.61,2.2,1.55,2.29,1.61,2.54,1.65,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26,2008-2009,Oldenburg,Frankfurt,2009-05-17,79,69,1.4,2.7,1.4,2.75,1.4,2.72,1.4,3.16,1.4,2.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27,2008-2009,Alba Berlin,Paderborn,2009-05-17,78,71,1.05,8.5,1.08,8.5,1.05,7.75,1.07,12.5,1.05,7.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
