MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,Unibet_H,Unibet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,William Hill_H,William Hill_A,Marathonbet_H,Marathonbet_A,1xBet_H,1xBet_A,Coolbet_H,Coolbet_A,Betago_H,Betago_A
1,2007-2008,Fenerbahce,Turk Telekom,2008-04-06,90,79,1.28,4.272363150867824,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2,2007-2008,Turk Telekom,Fenerbahce,2008-01-06,94,96,1.6,2.4922118380062304,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3,2007-2008,Turk Telekom,Fenerbahce,2008-05-30,87,75,1.72,2.2326064382139146,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4,2007-2008,Fenerbahce,Turk Telekom,2008-05-27,99,87,1.33,3.7666383460775976,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5,2007-2008,Fenerbahce,Turk Telekom,2008-05-25,100,72,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6,2007-2008,Turk Telekom,Besiktas,2008-05-21,75,71,1.62,2.441965631594814,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7,2007-2008,Fenerbahce,Anadolu Efes,2008-05-20,82,75,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8,2007-2008,Turk Telekom,Besiktas,2008-05-19,79,74,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9,2007-2008,Anadolu Efes,Fenerbahce,2008-05-17,65,76,1.6,2.4922118380062304,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10,2007-2008,Besiktas,Turk Telekom,2008-05-16,87,77,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11,2007-2008,Galatasaray,Turk Telekom,2008-11-05,86,88,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12,2007-2008,Antalya BB,Fenerbahce,2008-10-05,88,82,2.2,1.7133956386292837,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
13,2007-2008,Bandirma,Besiktas,2008-10-05,96,102,2.65,1.5009912206173888,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
14,2007-2008,Pinar Karsiyaka,Anadolu Efes,2008-10-05,82,95,2.5,1.557632398753894,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
15,2007-2008,Bandirma,Besiktas,2008-08-05,90,89,3.0,1.4018691588785044,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
