"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Wacker Innsbruck","Grazer",2.7,3.1,2.2,"2004-07-13",1,0,"2004/2005","AUT"
"2","Austria Vienna","Admira",1.35,4,6.6,"2004-07-14",2,1,"2004/2005","AUT"
"3","Bregenz","Rapid Vienna",2.6,3.1,2.25,"2004-07-14",1,5,"2004/2005","AUT"
"4","Salzburg","FC Juniors",2.2,3.1,2.7,"2004-07-14",1,1,"2004/2005","AUT"
"5","Sturm Graz","Mattersburg",1.7,3.2,4.15,"2004-07-14",3,1,"2004/2005","AUT"
"6","FC Juniors","Sturm Graz",1.7,3.2,4.3,"2004-07-20",3,0,"2004/2005","AUT"
"7","Admira","Bregenz",1.9,3.2,3.45,"2004-07-21",3,0,"2004/2005","AUT"
"8","Grazer","Salzburg",1.45,3.6,6,"2004-07-21",1,0,"2004/2005","AUT"
"9","Mattersburg","Austria Vienna",3.9,3.2,1.8,"2004-07-21",0,0,"2004/2005","AUT"
"10","Rapid Vienna","Wacker Innsbruck",1.6,3.3,4.9,"2004-07-21",4,1,"2004/2005","AUT"
"11","Bregenz","Grazer",4.15,3.2,1.75,"2004-07-31",1,3,"2004/2005","AUT"
"12","Mattersburg","FC Juniors",2.65,3.1,2.29,"2004-07-31",3,0,"2004/2005","AUT"
"13","Salzburg","Wacker Innsbruck",2,3.1,3.2,"2004-07-31",0,0,"2004/2005","AUT"
"14","Sturm Graz","Admira",1.65,3.3,4.65,"2004-07-31",1,0,"2004/2005","AUT"
"15","Austria Vienna","Rapid Vienna",2.15,3.1,2.9,"2004-08-01",1,1,"2004/2005","AUT"
"16","Grazer","Sturm Graz",1.8,3.2,3.9,"2004-08-06",1,0,"2004/2005","AUT"
"17","Admira","Mattersburg",2,3.1,3.2,"2004-08-07",3,1,"2004/2005","AUT"
"18","FC Juniors","Austria Vienna",2.4,3.1,2.54,"2004-08-07",2,1,"2004/2005","AUT"
"19","Rapid Vienna","Salzburg",1.5,3.45,5.7,"2004-08-07",0,0,"2004/2005","AUT"
"20","Wacker Innsbruck","Bregenz",1.6,3.3,4.9,"2004-08-08",1,1,"2004/2005","AUT"
"21","FC Juniors","Admira",1.5,3.45,5.7,"2004-08-14",0,3,"2004/2005","AUT"
"22","Mattersburg","Grazer",3,3.1,2.1,"2004-08-14",0,1,"2004/2005","AUT"
"23","Salzburg","Bregenz",1.7,3.2,4.3,"2004-08-14",4,2,"2004/2005","AUT"
"24","Austria Vienna","Wacker Innsbruck",1.4,3.8,6.6,"2004-08-15",2,2,"2004/2005","AUT"
"25","Sturm Graz","Rapid Vienna",2.4,3.1,2.54,"2004-08-15",0,1,"2004/2005","AUT"
"26","Salzburg","Admira",2,3.1,3.2,"2004-08-21",4,2,"2004/2005","AUT"
"27","Wacker Innsbruck","Sturm Graz",2,3.1,3.2,"2004-08-21",2,1,"2004/2005","AUT"
"28","Grazer","FC Juniors",1.7,3.2,4.3,"2004-08-21",2,1,"2004/2005","AUT"
"29","Rapid Vienna","Mattersburg",1.4,3.8,6.6,"2004-08-21",3,0,"2004/2005","AUT"
"30","Bregenz","Austria Vienna",4.65,3.3,1.65,"2004-08-22",0,9,"2004/2005","AUT"
"31","Admira","Grazer",2.9,3.1,2.15,"2004-08-28",2,0,"2004/2005","AUT"
"32","Mattersburg","Wacker Innsbruck",2.15,3.1,2.9,"2004-08-28",2,1,"2004/2005","AUT"
"33","Sturm Graz","Bregenz",1.45,3.6,6,"2004-08-28",0,0,"2004/2005","AUT"
"34","Austria Vienna","Salzburg",1.4,3.8,6.6,"2004-08-29",2,0,"2004/2005","AUT"
"35","FC Juniors","Rapid Vienna",2.2,3.1,2.8,"2004-08-29",2,1,"2004/2005","AUT"
"36","Bregenz","Mattersburg",2.1,3.1,3,"2004-09-11",2,1,"2004/2005","AUT"
"37","Rapid Vienna","Admira",1.5,3.45,5.7,"2004-09-11",2,1,"2004/2005","AUT"
"38","Salzburg","Sturm Graz",1.8,3.2,3.9,"2004-09-11",1,0,"2004/2005","AUT"
"39","Wacker Innsbruck","FC Juniors",2,3.1,3.2,"2004-09-11",2,1,"2004/2005","AUT"
"40","Grazer","Austria Vienna",2.25,3.1,2.7,"2004-09-12",0,1,"2004/2005","AUT"
"41","FC Juniors","Bregenz",1.45,3.6,6,"2004-09-18",4,0,"2004/2005","AUT"
"42","Mattersburg","Salzburg",2.1,3.1,3,"2004-09-18",5,3,"2004/2005","AUT"
"43","Rapid Vienna","Grazer",2.45,3.2,2.4,"2004-09-19",2,1,"2004/2005","AUT"
"44","Sturm Graz","Austria Vienna",3.65,3.2,1.85,"2004-09-19",0,2,"2004/2005","AUT"
"45","Mattersburg","Sturm Graz",1.85,3.2,3.65,"2004-10-02",1,1,"2004/2005","AUT"
"46","Rapid Vienna","Bregenz",1.25,4.4,9.99,"2004-10-03",2,1,"2004/2005","AUT"
"47","Bregenz","Admira",2.25,3.1,2.8,"2004-10-16",1,1,"2004/2005","AUT"
