MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet-at-home_H,bet-at-home_D,bet-at-home_A,bet365_H,bet365_D,bet365_A,bwin_H,bwin_D,bwin_A,Pinnacle_H,Pinnacle_D,Pinnacle_A,William Hill_H,William Hill_D,William Hill_A,Unibet_H,Unibet_D,Unibet_A,1xBet_H,1xBet_D,1xBet_A,Coolbet_H,Coolbet_D,Coolbet_A,Asianodds_H,Asianodds_D,Asianodds_A,BetJoe_H,BetJoe_D,BetJoe_A,Betago_H,Betago_D,Betago_A
1,2004-2005,AC Milan,Liverpool,2005-05-25,3,4,2.04,3.25,3.8,2.1,3.0,3.75,2.2,3.35,3.35,2.19,3.01,3.68,2.0,2.87,3.6,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2,2004-2005,PSV,AC Milan,2005-05-04,3,1,Na,Na,Na,2.7,3.0,2.7,Na,Na,Na,2.7,3.05,2.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3,2004-2005,Liverpool,Chelsea,2005-05-03,1,0,Na,Na,Na,3.39,3.1,2.2,Na,Na,Na,3.56,2.99,2.2,2.75,3.2,2.25,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4,2004-2005,Chelsea,Liverpool,2005-04-27,0,0,Na,Na,Na,1.57,3.5,6.5,Na,Na,Na,1.48,3.57,6.77,1.57,3.3,5.5,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5,2004-2005,AC Milan,PSV,2005-04-26,2,0,Na,Na,Na,1.44,3.75,8.5,Na,Na,Na,1.4,3.75,8.5,1.4,3.6,7.5,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6,2004-2005,Juventus,Liverpool,2005-04-13,0,0,Na,Na,Na,1.44,4.0,7.5,Na,Na,Na,1.44,4.05,7.91,1.44,3.5,7.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7,2004-2005,PSV,Lyon,2005-04-13,2,1,Na,Na,Na,2.37,3.2,2.89,Na,Na,Na,2.39,3.21,2.96,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8,2004-2005,Bayern Munich,Chelsea,2005-04-12,3,2,Na,Na,Na,2.25,3.5,2.89,Na,Na,Na,2.14,3.35,3.3,2.25,3.25,2.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9,2004-2005,AC Milan,Inter,2005-04-06,2,0,Na,Na,Na,2.1,2.89,4.0,Na,Na,Na,2.04,2.95,4.15,2.2,2.8,3.2,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10,2004-2005,Chelsea,Bayern Munich,2005-04-06,4,2,Na,Na,Na,1.66,3.5,5.5,Na,Na,Na,1.69,3.45,5.35,1.66,3.3,4.5,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
