"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","B1",2003-08-08,"Club Brugge","Genk",1,0,1.4,3.75,7,2004
"2","B1",2003-08-09,"Anderlecht","Antwerp",3,1,1.167,6,10,2004
"3","B1",2003-08-09,"Charleroi","Lierse",0,1,2.5,3.5,2.25,2004
"4","B1",2003-08-09,"Germinal","Bergen",1,0,1.909,3.5,3.2,2004
"5","B1",2003-08-09,"Lokeren","St Truiden",0,0,1.727,3.6,3.75,2004
"6","B1",2003-08-09,"Westerlo","Louvieroise",0,0,1.8,3.5,3.5,2004
"7","B1",2003-08-10,"Beveren","Gent",2,4,2.25,3.5,2.5,2004
"8","B1",2003-08-10,"Heusden Zolder","Cercle Brugge",0,0,2.1,3.5,2.75,2004
"9","B1",2003-08-10,"Mouscron","Standard",2,2,2.5,3.5,2.25,2004
"10","B1",2003-08-16,"Antwerp","Westerlo",2,1,2.1,3.5,2.75,2004
"11","B1",2003-08-16,"Beveren","St Truiden",1,4,2.5,3.4,2.3,2004
"12","B1",2003-08-16,"Genk","Charleroi",2,0,1.333,4.333,7,2004
"13","B1",2003-08-16,"Gent","Anderlecht",1,3,3.5,3.5,1.8,2004
"14","B1",2003-08-16,"Louvieroise","Heusden Zolder",2,0,1.8,3.5,3.5,2004
"15","B1",2003-08-17,"Bergen","Mouscron",3,3,2.1,3.5,2.75,2004
"16","B1",2003-08-17,"Cercle Brugge","Club Brugge",0,2,7,4,1.364,2004
"17","B1",2003-08-17,"Standard","Lokeren",1,0,1.727,3.6,3.75,2004
"18","B1",2003-08-18,"Lierse","Germinal",0,0,1.5,3.6,5.5,2004
"19","B1",2003-08-22,"Heusden Zolder","Antwerp",0,0,2.2,3.5,2.625,2004
"20","B1",2003-08-23,"Anderlecht","St Truiden",3,0,1.286,4.5,8,2004
"21","B1",2003-08-23,"Club Brugge","Louvieroise",3,3,1.167,5.5,11,2004
"22","B1",2003-08-23,"Lokeren","Beveren",1,2,1.533,3.6,5,2004
