"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1554","DNK",2004-07-24,"Silkeborg","FC Copenhagen",2,2,3.3,3.2,1.85,"2004/2005"
"1555","DNK",2004-07-25,"Brondby","Odense",1,2,1.85,3.2,3.45,"2004/2005"
"1556","DNK",2004-07-25,"Aalborg","Midtjylland",1,2,2.2,3.1,2.7,"2004/2005"
"1557","DNK",2004-07-25,"Herfolge","Viborg",0,0,2.25,3.1,2.6,"2004/2005"
"1558","DNK",2004-07-25,"Nordsjaelland","Aarhus",2,2,2.15,3.1,2.8,"2004/2005"
"1559","DNK",2004-07-31,"Midtjylland","Odense",2,1,2.04,3.2,2.9,"2004/2005"
"1560","DNK",2004-08-01,"FC Copenhagen","Esbjerg",2,2,1.7,3.2,4.15,"2004/2005"
"1561","DNK",2004-08-01,"Aalborg","Nordsjaelland",2,0,1.65,3.3,4.3,"2004/2005"
"1562","DNK",2004-08-01,"Brondby","Viborg",2,0,1.45,3.6,5.7,"2004/2005"
"1563","DNK",2004-08-01,"Randers FC","Herfolge",0,1,2.35,3.2,2.35,"2004/2005"
"1564","DNK",2004-08-01,"Silkeborg","Aarhus",3,1,2.29,3.15,2.5,"2004/2005"
"1565","DNK",2004-08-07,"Viborg","FC Copenhagen",3,2,3.65,3.2,1.8,"2004/2005"
"1566","DNK",2004-08-08,"Aarhus","Brondby",0,0,3.45,3.2,1.85,"2004/2005"
"1567","DNK",2004-08-08,"Esbjerg","Midtjylland",3,0,1.95,3.2,3.15,"2004/2005"
"1568","DNK",2004-08-08,"Herfolge","Aalborg",2,1,2.9,3.3,2,"2004/2005"
"1569","DNK",2004-08-08,"Nordsjaelland","Silkeborg",2,3,2.1,3.2,2.8,"2004/2005"
"1570","DNK",2004-08-08,"Odense","Randers FC",5,1,1.3,4.2,7.5,"2004/2005"
"1571","DNK",2004-08-14,"Randers FC","Aarhus",0,3,2.8,3.1,2.15,"2004/2005"
"1572","DNK",2004-08-15,"FC Copenhagen","Odense",1,1,1.85,3.3,3.35,"2004/2005"
"1573","DNK",2004-08-15,"Aalborg","Viborg",1,2,1.7,3.2,4.15,"2004/2005"
"1574","DNK",2004-08-15,"Brondby","Midtjylland",2,1,1.7,3.2,4.15,"2004/2005"
"1575","DNK",2004-08-15,"Herfolge","Nordsjaelland",0,2,2.04,3.1,3,"2004/2005"
"1576","DNK",2004-08-15,"Silkeborg","Esbjerg",2,1,2.7,3.2,2.15,"2004/2005"
"1577","DNK",2004-08-29,"Brondby","Silkeborg",1,0,1.55,3.4,4.9,"2004/2005"
"1578","DNK",2004-08-29,"Esbjerg","Herfolge",7,2,1.45,3.6,5.7,"2004/2005"
"1579","DNK",2004-08-29,"FC Copenhagen","Aalborg",3,2,1.8,3.3,3.55,"2004/2005"
"1580","DNK",2004-08-29,"Midtjylland","Randers FC",3,1,1.25,4.4,9,"2004/2005"
"1581","DNK",2004-08-29,"Odense","Aarhus",0,2,1.65,3.3,4.3,"2004/2005"
"1582","DNK",2004-08-29,"Viborg","Nordsjaelland",0,1,2.1,3.2,2.8,"2004/2005"
"1583","DNK",2004-09-11,"Randers FC","FC Copenhagen",0,0,6,3.8,1.4,"2004/2005"
"1584","DNK",2004-09-12,"Aalborg","Brondby",1,1,2.54,3.1,2.29,"2004/2005"
"1585","DNK",2004-09-12,"Aarhus","Viborg",1,2,1.85,3.2,3.45,"2004/2005"
"1586","DNK",2004-09-12,"Herfolge","Midtjylland",0,1,3,3.2,2,"2004/2005"
"1587","DNK",2004-09-12,"Nordsjaelland","Esbjerg",2,1,3,3.2,2,"2004/2005"
"1588","DNK",2004-09-12,"Silkeborg","Odense",1,2,2.35,3.25,2.35,"2004/2005"
"1589","DNK",2004-09-18,"Midtjylland","Silkeborg",2,1,1.55,3.4,4.9,"2004/2005"
"1590","DNK",2004-09-19,"FC Copenhagen","Brondby",1,3,2.29,3.1,2.54,"2004/2005"
"1591","DNK",2004-09-19,"Aarhus","Herfolge",2,0,1.75,3.2,3.9,"2004/2005"
"1592","DNK",2004-09-19,"Esbjerg","Aalborg",1,0,1.85,3.2,3.45,"2004/2005"
"1593","DNK",2004-09-19,"Odense","Nordsjaelland",4,0,1.65,3.3,4.3,"2004/2005"
"1594","DNK",2004-09-19,"Viborg","Randers FC",0,1,1.5,3.45,5.4,"2004/2005"
"1595","DNK",2004-09-22,"Aalborg","Randers FC",3,0,1.5,3.45,5.4,"2004/2005"
"1596","DNK",2004-09-22,"Brondby","Nordsjaelland",0,0,1.45,3.6,5.7,"2004/2005"
"1597","DNK",2004-09-22,"Esbjerg","Odense",2,4,2.1,3.1,2.9,"2004/2005"
"1598","DNK",2004-09-22,"FC Copenhagen","Aarhus",2,1,1.65,3.3,4.3,"2004/2005"
"1599","DNK",2004-09-22,"Midtjylland","Viborg",1,1,1.6,3.3,4.65,"2004/2005"
"1600","DNK",2004-09-22,"Silkeborg","Herfolge",2,4,1.7,3.2,4.15,"2004/2005"
"1601","DNK",2004-10-03,"Brondby","Randers FC",2,0,1.25,4.4,9,"2004/2005"
"1602","DNK",2004-10-03,"Esbjerg","Aarhus",1,2,1.85,3.2,3.45,"2004/2005"
"1603","DNK",2004-10-03,"Midtjylland","Nordsjaelland",1,1,1.7,3.2,4.15,"2004/2005"
"1604","DNK",2004-10-03,"Odense","Viborg",0,2,1.6,3.3,4.65,"2004/2005"
"1605","DNK",2004-10-16,"Brondby","Odense",2,1,1.7,3.3,4,"2004/2005"
"1606","DNK",2004-10-17,"Silkeborg","FC Copenhagen",4,1,4,3.3,1.7,"2004/2005"
"1607","DNK",2004-10-17,"Aarhus","Aalborg",2,2,2.1,3.2,2.8,"2004/2005"
"1608","DNK",2004-10-17,"Herfolge","Randers FC",3,2,1.85,3.2,3.45,"2004/2005"
"1609","DNK",2004-10-17,"Nordsjaelland","Esbjerg",2,3,2.54,3.1,2.29,"2004/2005"
"1610","DNK",2004-10-17,"Viborg","Midtjylland",2,1,2.4,3.1,2.4,"2004/2005"
"1611","DNK",2004-10-20,"Randers FC","Esbjerg",1,1,4,3.3,1.7,"2004/2005"
"1612","DNK",2004-10-23,"Randers FC","Brondby",0,2,4.7,3.6,1.5,"2004/2005"
"1613","DNK",2004-10-24,"FC Copenhagen","Viborg",0,0,1.6,3.5,4.4,"2004/2005"
"1614","DNK",2004-10-24,"Aalborg","Herfolge",3,0,1.6,3.5,4.4,"2004/2005"
"1615","DNK",2004-10-24,"Esbjerg","Aarhus",3,1,1.9,3.3,3.2,"2004/2005"
"1616","DNK",2004-10-24,"Midtjylland","Nordsjaelland",2,0,1.6,3.5,4.4,"2004/2005"
"1617","DNK",2004-10-24,"Odense","Silkeborg",3,0,1.6,3.5,4.4,"2004/2005"
"1618","DNK",2004-10-30,"Nordsjaelland","FC Copenhagen",2,3,3.65,3.3,1.75,"2004/2005"
"1619","DNK",2004-10-30,"Aarhus","Midtjylland",2,2,2.15,3.2,2.7,"2004/2005"
"1620","DNK",2004-10-31,"Silkeborg","Brondby",0,1,4.15,3.4,1.65,"2004/2005"
"1621","DNK",2004-10-31,"Aalborg","Randers FC",1,1,1.4,4,5.7,"2004/2005"
"1622","DNK",2004-10-31,"Herfolge","Esbjerg",1,1,3.85,3.4,1.7,"2004/2005"
"1623","DNK",2004-10-31,"Viborg","Odense",1,0,2.29,3.2,2.45,"2004/2005"
"1624","DNK",2004-11-03,"Esbjerg","Brondby",2,2,2.35,3.1,2.45,"2004/2005"
"1625","DNK",2004-11-03,"Midtjylland","FC Copenhagen",2,0,2.45,3.1,2.35,"2004/2005"
"1626","DNK",2004-11-03,"Nordsjaelland","Randers FC",2,2,1.7,3.3,3.9,"2004/2005"
"1627","DNK",2004-11-03,"Odense","Herfolge",5,0,1.5,3.6,4.9,"2004/2005"
"1628","DNK",2004-11-03,"Viborg","Silkeborg",1,1,1.7,3.3,4,"2004/2005"
"1629","DNK",2004-11-03,"Aarhus","Aalborg",2,1,2.1,3.2,2.8,"2004/2005"
"1630","DNK",2004-11-06,"Esbjerg","Aalborg",2,3,1.95,3.15,3.1,"2004/2005"
"1631","DNK",2004-11-07,"Randers FC","Silkeborg",4,0,2.4,3.1,2.4,"2004/2005"
"1632","DNK",2004-11-13,"Viborg","Silkeborg",1,1,1.8,3.3,3.9,"2004/2005"
"1633","DNK",2004-11-13,"Aalborg","Midtjylland",2,1,2.29,3.2,2.7,"2004/2005"
"1634","DNK",2004-11-14,"Nordsjaelland","Brondby",0,1,5.8,3.6,1.5,"2004/2005"
"1635","DNK",2004-11-14,"Aarhus","Odense",3,3,2.29,3.2,2.7,"2004/2005"
"1636","DNK",2004-11-14,"Esbjerg","Randers FC",1,0,1.45,3.8,6.2,"2004/2005"
