"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","E1",2004-08-07,"Burnley","Sheffield United",1,1,2.6,3.4,2.4,2005
"2","E1",2004-08-07,"Coventry","Sunderland",2,0,2.4,3.2,2.7,2005
"3","E1",2004-08-07,"Crewe","Cardiff",2,2,2.5,3.3,2.5,2005
"4","E1",2004-08-07,"Ipswich","Gillingham",2,1,1.57,3.6,5.5,2005
"5","E1",2004-08-07,"Leeds","Derby",1,0,1.8,3.4,4,2005
"6","E1",2004-08-07,"Leicester","West Ham",0,0,2.2,3.2,3,2005
"7","E1",2004-08-07,"Plymouth","Millwall",0,0,2.3,3.25,2.8,2005
"8","E1",2004-08-07,"Preston","Watford",2,1,1.9,3.25,3.75,2005
"9","E1",2004-08-07,"QPR","Rotherham",1,1,1.83,3.25,4,2005
"10","E1",2004-08-07,"Reading","Brighton",3,2,1.66,3.6,4.5,2005
"11","E1",2004-08-07,"Wigan","Nott'm Forest",1,1,1.9,3.25,3.75,2005
"12","E1",2004-08-08,"Stoke","Wolves",2,1,2.75,3.2,2.37,2005
"13","E1",2004-08-09,"Watford","QPR",3,0,2.37,3.2,2.9,2005
"14","E1",2004-08-10,"Brighton","Plymouth",0,2,2.25,3.4,2.75,2005
"15","E1",2004-08-10,"Cardiff","Coventry",2,1,2.2,3.2,3,2005
"16","E1",2004-08-10,"Gillingham","Leeds",2,1,2.75,3.4,2.25,2005
"17","E1",2004-08-10,"Millwall","Wigan",0,2,2.2,3.4,2.87,2005
"18","E1",2004-08-10,"Rotherham","Burnley",0,0,2.1,3.5,3,2005
"19","E1",2004-08-10,"Sheffield United","Stoke",0,0,1.8,3.2,4.33,2005
"20","E1",2004-08-10,"Sunderland","Crewe",3,1,1.53,3.6,6,2005
"21","E1",2004-08-10,"West Ham","Reading",1,0,1.72,3.4,4.5,2005
"22","E1",2004-08-11,"Derby","Leicester",1,2,2.6,3.2,2.5,2005
"23","E1",2004-08-11,"Nott'm Forest","Ipswich",1,1,2.25,3.4,2.62,2005
"24","E1",2004-08-11,"Wolves","Preston",2,2,1.57,3.6,5.5,2005
"25","E1",2004-08-13,"Cardiff","Plymouth",0,1,1.9,3.3,4,2005
"26","E1",2004-08-14,"Brighton","Coventry",1,1,2.5,3.3,2.5,2005
"27","E1",2004-08-14,"Derby","Ipswich",3,2,2.5,3.3,2.5,2005
"28","E1",2004-08-14,"Gillingham","Preston",2,1,2.3,3.4,2.7,2005
"29","E1",2004-08-14,"Millwall","Leicester",2,0,2.62,3.3,2.37,2005
"30","E1",2004-08-14,"Nott'm Forest","Crewe",2,2,1.66,3.6,4.5,2005
"31","E1",2004-08-14,"Rotherham","Stoke",1,1,2.5,3.2,2.6,2005
"32","E1",2004-08-14,"Sheffield United","Reading",0,1,1.9,3.25,3.75,2005
"33","E1",2004-08-14,"Sunderland","QPR",2,2,1.57,3.6,5.5,2005
"34","E1",2004-08-14,"Watford","Burnley",0,1,2,3.25,3.4,2005
"35","E1",2004-08-14,"Wolves","Leeds",0,0,2.1,3.2,3.2,2005
"36","E1",2004-08-15,"West Ham","Wigan",1,3,2,3.25,3.4,2005
"37","E1",2004-08-20,"Preston","Sheffield United",0,1,2.37,3.25,2.87,2005
"38","E1",2004-08-21,"Burnley","Wolves",1,1,2.5,3.2,2.5,2005
"39","E1",2004-08-21,"Coventry","Millwall",0,1,2.1,3.25,3,2005
"40","E1",2004-08-21,"Crewe","West Ham",2,3,2.75,3.25,2.25,2005
"41","E1",2004-08-21,"Ipswich","Cardiff",3,1,1.83,3.25,3.75,2005
"42","E1",2004-08-21,"Leeds","Nott'm Forest",1,1,1.9,3.25,3.5,2005
"43","E1",2004-08-21,"Leicester","Watford",0,1,1.57,3.4,5.5,2005
"44","E1",2004-08-21,"Plymouth","Sunderland",2,1,2.3,3.2,2.7,2005
"45","E1",2004-08-21,"QPR","Derby",0,2,2.25,3.25,2.75,2005
"46","E1",2004-08-21,"Reading","Rotherham",1,0,1.61,3.4,5,2005
"47","E1",2004-08-21,"Stoke","Gillingham",2,0,1.8,3.25,4,2005
"48","E1",2004-08-21,"Wigan","Brighton",3,0,1.4,3.75,7.5,2005
"49","E1",2004-08-27,"Gillingham","QPR",0,1,2,3.2,3.75,2005
"50","E1",2004-08-28,"Brighton","Preston",1,0,2.4,3.2,2.6,2005
"51","E1",2004-08-28,"Cardiff","Stoke",0,1,2.2,3.25,2.8,2005
"52","E1",2004-08-28,"Derby","Crewe",2,4,1.66,3.4,4.5,2005
"53","E1",2004-08-28,"Millwall","Reading",1,0,2.2,3.25,2.8,2005
"54","E1",2004-08-28,"Nott'm Forest","Coventry",1,4,1.9,3.25,3.5,2005
"55","E1",2004-08-28,"Rotherham","Ipswich",0,2,2.7,3.2,2.3,2005
"56","E1",2004-08-28,"Sunderland","Wigan",1,1,2.37,3.2,2.62,2005
"57","E1",2004-08-28,"Watford","Plymouth",3,1,2.37,3.2,2.62,2005
"58","E1",2004-08-28,"West Ham","Burnley",1,0,1.61,3.4,5,2005
"59","E1",2004-08-28,"Wolves","Leicester",1,1,2.25,3.25,2.75,2005
"60","E1",2004-08-29,"Sheffield United","Leeds",2,0,2.25,3.25,2.75,2005
"61","E1",2004-08-30,"Burnley","Gillingham",1,2,1.9,3.25,3.5,2005
"62","E1",2004-08-30,"Coventry","West Ham",2,1,2.5,3.4,2.37,2005
"63","E1",2004-08-30,"Ipswich","Wolves",2,1,2.1,3.4,2.87,2005
"64","E1",2004-08-30,"Leicester","Brighton",0,1,1.53,3.6,7,2005
"65","E1",2004-08-30,"Plymouth","Nott'm Forest",3,2,1.9,3.25,3.5,2005
