"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","F2",2002-08-10,"Beauvais","Clermont",1,0,1.727,2.875,5,2003
"2","F2",2002-08-10,"Caen","Chateauroux",4,1,1.909,2.875,4,2003
"3","F2",2002-08-10,"Creteil","Laval",1,1,2.2,2.8,3.2,2003
"4","F2",2002-08-10,"Le Mans","Gueugnon",3,1,1.667,3.1,5,2003
"5","F2",2002-08-10,"Metz","Reims",0,0,1.444,3.5,7,2003
"6","F2",2002-08-10,"Niort","Amiens",2,0,2,2.75,3.8,2003
"7","F2",2002-08-10,"St Etienne","Istres",3,0,1.571,3.25,5.5,2003
"8","F2",2002-08-10,"Valence","Nancy",2,0,2.375,2.875,2.8,2003
"9","F2",2002-08-10,"Wasquehal","Grenoble",1,1,2.1,2.75,3.5,2003
"10","F2",2002-08-11,"Lorient","Toulouse",1,0,1.8,2.9,4.5,2003
"11","F2",2002-08-16,"Nancy","Caen",0,0,2.25,2.875,3,2003
"12","F2",2002-08-17,"Amiens","St Etienne",1,0,2.25,2.875,3,2003
"13","F2",2002-08-17,"Chateauroux","Creteil",2,0,1.8,2.9,4.5,2003
"14","F2",2002-08-17,"Clermont","Valence",1,0,1.909,2.875,4,2003
"15","F2",2002-08-17,"Grenoble","Niort",1,0,2,2.875,3.6,2003
"16","F2",2002-08-17,"Gueugnon","Wasquehal",0,2,1.909,2.875,4,2003
"17","F2",2002-08-17,"Istres","Lorient",1,1,2.875,2.875,2.3,2003
"18","F2",2002-08-17,"Laval","Beauvais",2,0,2,2.875,3.6,2003
"19","F2",2002-08-17,"Reims","Le Mans",1,2,2.3,2.875,2.875,2003
"20","F2",2002-08-17,"Toulouse","Metz",3,0,2.4,2.9,2.75,2003
"21","F2",2002-08-24,"Beauvais","Gueugnon",1,0,1.833,2.875,4.333,2003
"22","F2",2002-08-24,"Caen","Laval",0,0,1.8,2.875,4.5,2003
"23","F2",2002-08-24,"Creteil","Grenoble",0,0,2,2.875,3.6,2003
"24","F2",2002-08-24,"Le Mans","Toulouse",2,1,1.909,2.875,4,2003
"25","F2",2002-08-24,"Metz","Lorient",2,1,2.1,2.75,3.5,2003
"26","F2",2002-08-24,"Niort","Istres",1,3,1.727,2.875,5,2003
"27","F2",2002-08-24,"Valence","Chateauroux",4,0,2.25,2.875,3,2003
"28","F2",2002-08-24,"Wasquehal","Clermont",2,0,1.909,2.875,4,2003
"29","F2",2002-08-25,"Nancy","Amiens",1,0,1.909,2.875,4,2003
"30","F2",2002-08-25,"St Etienne","Reims",0,0,1.727,2.875,5,2003
"31","F2",2002-08-30,"Clermont","Creteil",1,2,2,2.875,3.6,2003
"32","F2",2002-08-30,"Grenoble","Beauvais",0,2,1.833,3,4,2003
"33","F2",2002-08-31,"Amiens","Wasquehal",1,2,2,2.875,3.6,2003
"34","F2",2002-08-31,"Chateauroux","Nancy",1,0,1.833,3,4,2003
"35","F2",2002-08-31,"Gueugnon","St Etienne",0,2,2.4,2.875,2.75,2003
"36","F2",2002-08-31,"Istres","Metz",1,1,2.75,2.875,2.4,2003
"37","F2",2002-08-31,"Laval","Valence",1,2,1.727,3.1,4.5,2003
"38","F2",2002-08-31,"Reims","Niort",1,1,2.2,2.875,3.1,2003
"39","F2",2002-08-31,"Toulouse","Caen",2,0,2,2.875,3.6,2003
"40","F2",2002-09-01,"Lorient","Le Mans",3,4,1.909,3,3.75,2003
"41","F2",2002-09-10,"Istres","Le Mans",1,0,3,2.875,2.25,2003
"42","F2",2002-09-11,"Amiens","Valence",3,0,2.25,2.875,3,2003
"43","F2",2002-09-11,"Clermont","Nancy",3,1,2.2,2.8,3.2,2003
"44","F2",2002-09-11,"Grenoble","Caen",2,2,2.2,2.8,3.2,2003
"45","F2",2002-09-11,"Gueugnon","Creteil",2,2,2.4,2.9,2.75,2003
"46","F2",2002-09-11,"Laval","Chateauroux",1,0,1.909,3,3.75,2003
"47","F2",2002-09-11,"Metz","Wasquehal",2,0,1.8,2.9,4.5,2003
"48","F2",2002-09-11,"Reims","Beauvais",0,0,2.375,2.8,2.875,2003
"49","F2",2002-09-11,"Toulouse","St Etienne",1,0,1.909,2.875,4,2003
