"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"72","Streymur","B36 Torshavn",1.75,3.4,3.75,2009-05-10,0,0,2009,"ILF"
"71","AB Argir","Streymur",4.2,3.5,1.65,2009-05-17,1,1,2009,"ILF"
"70","AB Argir","Vikingur",4.8,3.6,1.55,2009-05-21,0,1,2009,"ILF"
"69","AB Argir","B36 Torshavn",3.5,3.4,1.85,2009-06-01,3,1,2009,"ILF"
"67","AB Argir","Toftir",2.54,3.2,2.45,2009-06-13,0,3,2009,"ILF"
"68","Vikingur","Klaksvik",1.3,4.5,7.2,2009-06-13,4,1,2009,"ILF"
"66","NSI Runavik","07 Vestur Sorvagur",1.35,4.25,6.5,2009-06-14,5,1,2009,"ILF"
"62","Toftir","Streymur",2.75,3.3,2.15,2009-06-17,3,2,2009,"ILF"
"63","07 Vestur Sorvagur","Vikingur",5.85,3.75,1.45,2009-06-17,0,0,2009,"ILF"
"64","IF Fuglafjordur","AB Argir",2,3.25,3.1,2009-06-17,3,0,2009,"ILF"
"65","Klaksvik","B36 Torshavn",3.65,3.3,1.8,2009-06-17,2,2,2009,"ILF"
"60","B36 Torshavn","07 Vestur Sorvagur",1.6,3.6,4.4,2009-06-20,2,1,2009,"ILF"
"61","NSI Runavik","Streymur",2.1,3.2,2.95,2009-06-20,1,2,2009,"ILF"
"58","AB Argir","Klaksvik",1.65,3.5,4.2,2009-06-21,0,2,2009,"ILF"
"59","Toftir","IF Fuglafjordur",1.6,3.55,4.59,2009-06-21,2,1,2009,"ILF"
"55","07 Vestur Sorvagur","AB Argir",2.1,3.25,2.9,2009-06-24,0,0,2009,"ILF"
"56","Streymur","Vikingur",2.2,3.25,2.7,2009-06-24,1,0,2009,"ILF"
"57","Klaksvik","IF Fuglafjordur",1.95,3.3,3.2,2009-06-24,3,2,2009,"ILF"
"54","Toftir","NSI Runavik",2.45,3.25,2.4,2009-06-25,2,2,2009,"ILF"
"53","Vikingur","NSI Runavik",2.2,3.25,2.7,2009-07-18,1,0,2009,"ILF"
