"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Shelbourne","Shamrock Rovers",1.72,3.2,4.33,"2004-03-19",1,0,2004,"IRL"
"2","St. Patricks","Derry City",1.72,3.2,4.33,"2004-03-19",1,1,2004,"IRL"
"3","Waterford","Drogheda",2.1,3,3.2,"2004-03-19",2,1,2004,"IRL"
"4","Longford","Bohemians",2.62,2.9,2.5,"2004-03-22",0,2,2004,"IRL"
"5","Bohemians","Waterford",1.5,3.6,5.5,"2004-03-26",2,2,2004,"IRL"
"6","Drogheda","St. Patricks",2.5,3.1,2.5,"2004-03-26",0,1,2004,"IRL"
"7","Shamrock Rovers","Cork City",2.62,3.1,2.37,"2004-03-26",2,1,2004,"IRL"
"8","Dublin City","Longford",2.7,3.2,2.25,"2004-03-27",0,1,2004,"IRL"
"9","Derry City","Shelbourne",2.9,3.3,2.1,"2004-03-27",0,2,2004,"IRL"
"10","Shelbourne","Drogheda",1.36,3.75,8,"2004-04-02",3,0,2004,"IRL"
"11","St. Patricks","Bohemians",2.62,2.75,2.62,"2004-04-02",0,2,2004,"IRL"
"12","Waterford","Dublin City",1.61,3.1,5.5,"2004-04-02",2,1,2004,"IRL"
"13","Derry City","Shamrock Rovers",2.37,3.1,2.62,"2004-04-03",1,0,2004,"IRL"
"14","Longford","Cork City",2.5,3.1,2.5,"2004-04-03",1,1,2004,"IRL"
"15","Bohemians","Shelbourne",2.37,3.1,2.62,"2004-04-05",1,1,2004,"IRL"
"16","Cork City","Waterford",1.8,3.3,3.75,"2004-04-06",2,3,2004,"IRL"
"17","Drogheda","Derry City",2.37,3.1,2.62,"2004-04-06",2,0,2004,"IRL"
"18","Dublin City","St. Patricks",3.2,3.2,2,"2004-04-06",1,1,2004,"IRL"
"19","Shamrock Rovers","Longford",2.2,3.2,2.8,"2004-04-06",1,1,2004,"IRL"
"20","Drogheda","Shamrock Rovers",2.5,3.1,2.5,"2004-04-09",1,0,2004,"IRL"
"21","Shelbourne","Dublin City",1.3,4,9.5,"2004-04-09",2,1,2004,"IRL"
"22","St. Patricks","Cork City",2.1,3.25,2.9,"2004-04-09",0,2,2004,"IRL"
"23","Waterford","Longford",2,3.2,3.2,"2004-04-09",1,1,2004,"IRL"
"24","Derry City","Bohemians",3.2,3.2,2,"2004-04-10",0,0,2004,"IRL"
"25","Cork City","Shelbourne",2.6,3.1,2.4,"2004-04-12",0,2,2004,"IRL"
"26","Shamrock Rovers","Waterford",2.25,3.1,2.8,"2004-04-12",4,0,2004,"IRL"
"27","Bohemians","Drogheda",1.55,3.4,5.5,"2004-04-13",0,1,2004,"IRL"
"28","Dublin City","Derry City",2.54,3,2.5,"2004-04-13",0,2,2004,"IRL"
"29","Longford","St. Patricks",2.1,3.2,3,"2004-04-13",1,3,2004,"IRL"
"30","Bohemians","Shamrock Rovers",1.72,3.25,4.2,"2004-04-16",2,2,2004,"IRL"
"31","Drogheda","Dublin City",1.66,3.3,4.5,"2004-04-16",2,0,2004,"IRL"
"32","Shelbourne","Longford",1.5,3.4,6,"2004-04-16",1,1,2004,"IRL"
"33","St. Patricks","Waterford",2,3.2,3.2,"2004-04-16",0,1,2004,"IRL"
"34","Derry City","Cork City",2.4,3.25,2.5,"2004-04-17",1,1,2004,"IRL"
"35","Dublin City","Bohemians",6,3.4,1.5,"2004-04-22",2,1,2004,"IRL"
"36","Cork City","Drogheda",1.72,3.25,4.2,"2004-04-23",0,0,2004,"IRL"
"37","St. Patricks","Shamrock Rovers",2.29,3.1,2.7,"2004-04-23",1,2,2004,"IRL"
"38","Waterford","Shelbourne",3.2,3.2,2,"2004-04-23",1,1,2004,"IRL"
"39","Longford","Derry City",2,3.2,3.2,"2004-04-24",1,0,2004,"IRL"
"40","Bohemians","Cork City",2,3,3.4,"2004-04-30",2,3,2004,"IRL"
"41","Drogheda","Longford",2.2,3,3,"2004-04-30",0,1,2004,"IRL"
"42","Shelbourne","St. Patricks",1.61,3.25,5,"2004-04-30",2,0,2004,"IRL"
"43","Shamrock Rovers","Dublin City",1.5,3.4,6,"2004-04-30",0,0,2004,"IRL"
"44","Derry City","Waterford",2.5,2.9,2.62,"2004-05-01",0,1,2004,"IRL"
"45","Dublin City","Cork City",3.4,3.25,1.9,"2004-05-06",0,1,2004,"IRL"
"46","Bohemians","Longford",1.9,3.25,3.4,"2004-05-07",0,0,2004,"IRL"
"47","Drogheda","Waterford",2.37,3.1,2.62,"2004-05-07",0,0,2004,"IRL"
"48","Shamrock Rovers","Shelbourne",3.2,3.2,2,"2004-05-07",3,0,2004,"IRL"
"49","Derry City","St. Patricks",2.2,3.1,2.87,"2004-05-08",0,0,2004,"IRL"
"50","Cork City","Shamrock Rovers",2,3.1,3.3,"2004-05-14",1,1,2004,"IRL"
"51","Shelbourne","Derry City",1.4,3.6,7.5,"2004-05-14",1,0,2004,"IRL"
"52","St. Patricks","Drogheda",2.25,3,2.87,"2004-05-14",0,2,2004,"IRL"
"53","Waterford","Bohemians",2.37,3,2.7,"2004-05-14",0,1,2004,"IRL"
"54","Longford","Dublin City",1.5,3.3,6.5,"2004-05-15",0,0,2004,"IRL"
"55","Cork City","Longford",1.9,3.1,3.6,"2004-05-21",1,0,2004,"IRL"
"56","Shamrock Rovers","Derry City",1.72,3.1,4.5,"2004-05-21",1,0,2004,"IRL"
"57","Shelbourne","Bohemians",1.72,3.1,4.5,"2004-05-28",0,0,2004,"IRL"
"58","St. Patricks","Dublin City",1.8,3.1,4,"2004-05-28",3,1,2004,"IRL"
"59","Waterford","Cork City",2.29,3,2.8,"2004-05-28",1,1,2004,"IRL"
"60","Derry City","Drogheda",2.29,3,2.8,"2004-05-29",0,2,2004,"IRL"
"61","Longford","Shamrock Rovers",2.25,3,2.87,"2004-05-29",1,0,2004,"IRL"
"62","Bohemians","Derry City",1.61,3.3,5,"2004-06-04",3,0,2004,"IRL"
"63","Cork City","St. Patricks",1.72,3.1,4.5,"2004-06-04",2,1,2004,"IRL"
"64","Shamrock Rovers","Drogheda",2,3,3.4,"2004-06-04",1,2,2004,"IRL"
"65","Longford","Waterford",2.2,3,3,"2004-06-04",0,2,2004,"IRL"
"66","Longford","Shelbourne",3.2,3,2.1,"2004-06-11",0,2,2004,"IRL"
"67","Cork City","Derry City",1.53,3.4,5.5,"2004-06-11",2,1,2004,"IRL"
"68","Dublin City","Drogheda",3.4,3,2,"2004-06-11",1,1,2004,"IRL"
"69","Waterford","St. Patricks",2,3,3.4,"2004-06-11",0,1,2004,"IRL"
"70","Shamrock Rovers","Bohemians",2.62,2.9,2.5,"2004-06-12",2,1,2004,"IRL"
"71","Bohemians","Dublin City",1.36,4,7,"2004-06-18",2,4,2004,"IRL"
"72","Shamrock Rovers","St. Patricks",1.9,3,3.75,"2004-06-18",1,2,2004,"IRL"
"73","Shelbourne","Waterford",1.53,3.4,5.5,"2004-06-18",1,0,2004,"IRL"
"74","Derry City","Longford",2.29,3,2.8,"2004-06-19",0,0,2004,"IRL"
"75","Cork City","Bohemians",2.2,3,3,"2004-06-22",0,1,2004,"IRL"
"76","Dublin City","Shamrock Rovers",2.4,3,2.65,"2004-06-24",0,4,2004,"IRL"
"77","St. Patricks","Shelbourne",3.75,3,1.9,"2004-06-25",1,2,2004,"IRL"
"78","Waterford","Derry City",1.57,3.3,5.5,"2004-06-25",0,2,2004,"IRL"
"79","Longford","Drogheda",2.37,3,2.7,"2004-06-26",0,0,2004,"IRL"
"80","St. Patricks","Derry City",1.9,3.1,3.6,"2004-07-02",0,1,2004,"IRL"
"81","Waterford","Drogheda",2.1,3,3.2,"2004-07-02",1,3,2004,"IRL"
"82","Derry City","Shelbourne",4.5,3.1,1.72,"2004-07-08",0,0,2004,"IRL"
"83","Dublin City","Longford",2.62,2.9,2.5,"2004-07-08",2,1,2004,"IRL"
"84","Bohemians","Waterford",1.61,3.1,5.5,"2004-07-09",2,2,2004,"IRL"
"85","Drogheda","St. Patricks",2,3.1,3.3,"2004-07-09",0,2,2004,"IRL"
"86","Waterford","Dublin City",1.57,3.3,5.5,"2004-07-15",3,2,2004,"IRL"
"87","Shelbourne","Drogheda",1.57,3.3,5.5,"2004-07-18",0,2,2004,"IRL"
"88","Dublin City","St. Patricks",2.8,2.9,2.37,"2004-07-29",1,2,2004,"IRL"
"89","Cork City","Waterford",1.8,3.1,4,"2004-07-30",2,0,2004,"IRL"
"90","Drogheda","Derry City",1.8,3.1,4,"2004-07-30",4,0,2004,"IRL"
"91","Shamrock Rovers","Longford",1.83,3,4,"2004-08-02",2,0,2004,"IRL"
"92","Derry City","Bohemians",3,3,2.2,"2004-08-05",0,0,2004,"IRL"
"93","Drogheda","Shamrock Rovers",1.8,3.1,4,"2004-08-06",3,0,2004,"IRL"
