"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1835","Jeonnam","Seoul",3.4,3.1,2.25,2009-03-07,1,6,2009,"KLEAGUE"
"1831","Daegu","Seongnam",5.5,3.25,1.8,2009-03-08,1,1,2009,"KLEAGUE"
"1832","Gyeongnam","Jeonbuk",2.9,2.88,2.5,2009-03-08,1,1,2009,"KLEAGUE"
"1833","Incheon","Busan",2.1,3.1,3.75,2009-03-08,1,0,2009,"KLEAGUE"
"1834","Gangwon","Jeju Utd",2.1,3.1,3.4,2009-03-08,1,0,2009,"KLEAGUE"
"1830","Seoul","Gangwon",1.5,3.75,7.5,2009-03-14,1,2,2009,"KLEAGUE"
"1826","Busan","Jeonnam",2.29,3.1,2.75,2009-03-15,2,2,2009,"KLEAGUE"
"1827","Jeju Utd","Sangju Sangmu",2.1,3.1,3.1,2009-03-15,1,0,2009,"KLEAGUE"
"1828","Jeonbuk","Daegu",1.75,3.2,4.2,2009-03-15,2,0,2009,"KLEAGUE"
"1829","Pohang","Gyeongnam",1.62,3.25,5.25,2009-03-15,1,1,2009,"KLEAGUE"
"1823","Jeonnam","Incheon",2.4,3.1,2.63,2009-03-21,1,1,2009,"KLEAGUE"
"1824","Sangju Sangmu","Seoul",4.33,3.5,1.67,2009-03-21,1,0,2009,"KLEAGUE"
"1825","Gangwon","Busan",2,3.25,3.25,2009-03-21,1,1,2009,"KLEAGUE"
"1821","Daegu","Pohang",3.6,3.3,1.85,2009-03-22,2,2,2009,"KLEAGUE"
"1822","Suwon Bluewings","Jeju Utd",1.5,3.75,5.75,2009-03-22,0,1,2009,"KLEAGUE"
"1818","Busan","Sangju Sangmu",2,3,3.5,2009-04-04,2,3,2009,"KLEAGUE"
"1819","Seoul","Suwon Bluewings",2.5,3.2,2.75,2009-04-04,1,0,2009,"KLEAGUE"
"1820","Jeonbuk","Seongnam",2.63,3.25,2.63,2009-04-04,4,1,2009,"KLEAGUE"
"1816","Incheon","Gangwon",2.1,3,3.3,2009-04-05,2,0,2009,"KLEAGUE"
"1817","Jeju Utd","Gyeongnam",2.29,2.9,3,2009-04-05,1,1,2009,"KLEAGUE"
"1814","Seongnam","Pohang",2.2,3.1,3.4,2009-04-11,3,1,2009,"KLEAGUE"
"1815","Gangwon","Jeonnam",2.29,3.1,3.3,2009-04-11,3,3,2009,"KLEAGUE"
"1810","Gyeongnam","Seoul",3.6,3.25,2.1,2009-04-12,1,1,2009,"KLEAGUE"
"1811","Sangju Sangmu","Incheon",3.1,3.2,2.29,2009-04-12,1,0,2009,"KLEAGUE"
"1812","Daegu","Jeju Utd",2.63,3.1,2.8,2009-04-12,2,1,2009,"KLEAGUE"
"1813","Suwon Bluewings","Busan",1.6,3.6,6,2009-04-12,2,0,2009,"KLEAGUE"
"1809","Pohang","Jeonbuk",2.75,3.1,2.5,2009-04-17,1,1,2009,"KLEAGUE"
"1806","Busan","Gyeongnam",2.9,3.2,2.45,2009-04-18,2,0,2009,"KLEAGUE"
"1807","Jeonnam","Sangju Sangmu",2.04,3.25,3.25,2009-04-18,1,1,2009,"KLEAGUE"
"1808","Seoul","Daegu",1.5,3.75,6.5,2009-04-18,0,0,2009,"KLEAGUE"
"1805","Busan","Daegu",2.29,3.25,3.1,2009-04-25,1,0,2009,"KLEAGUE"
"1802","Gyeongnam","Incheon",2.54,3.1,2.75,2009-04-26,0,2,2009,"KLEAGUE"
"1803","Suwon Bluewings","Jeonnam",1.7,3.4,4.33,2009-04-26,1,4,2009,"KLEAGUE"
"1804","Sangju Sangmu","Gangwon",2.25,3.1,2.8,2009-04-26,3,1,2009,"KLEAGUE"
"1801","Jeonnam","Gyeongnam",2.04,3.2,3.6,2009-05-01,2,0,2009,"KLEAGUE"
"1797","Gangwon","Suwon Bluewings",3.5,3.25,2.1,2009-05-02,1,1,2009,"KLEAGUE"
"1798","Seoul","Seongnam",2.4,3.25,2.88,2009-05-02,1,0,2009,"KLEAGUE"
"1799","Incheon","Daegu",1.8,3.4,4.5,2009-05-02,2,1,2009,"KLEAGUE"
"1800","Jeju Utd","Jeonbuk",4,3.3,1.91,2009-05-02,0,5,2009,"KLEAGUE"
"1794","Seongnam","Busan",1.55,3.5,7,2009-05-09,0,0,2009,"KLEAGUE"
"1795","Jeonbuk","Seoul",2.2,3.1,2.88,2009-05-09,2,0,2009,"KLEAGUE"
"1796","Pohang","Jeju Utd",1.53,3.4,6,2009-05-09,2,2,2009,"KLEAGUE"
"1791","Daegu","Jeonnam",2.63,3.2,2.75,2009-05-10,1,2,2009,"KLEAGUE"
"1792","Gyeongnam","Gangwon",2.2,3.2,3.3,2009-05-10,1,0,2009,"KLEAGUE"
"1793","Suwon Bluewings","Sangju Sangmu",1.91,3.2,4.5,2009-05-10,0,2,2009,"KLEAGUE"
"1788","Sangju Sangmu","Gyeongnam",2.2,3.25,3.25,2009-05-16,0,0,2009,"KLEAGUE"
"1789","Gangwon","Daegu",2.1,3.2,3.5,2009-05-16,2,2,2009,"KLEAGUE"
"1790","Seoul","Pohang",2,3.25,3.8,2009-05-16,1,0,2009,"KLEAGUE"
"1785","Incheon","Seongnam",3.1,3,2.2,2009-05-17,1,0,2009,"KLEAGUE"
"1786","Busan","Jeonbuk",3.5,3.2,1.91,2009-05-17,3,1,2009,"KLEAGUE"
"1787","Jeju Utd","Daejeon",2.25,3.2,2.8,2009-05-17,1,0,2009,"KLEAGUE"
"1783","Seongnam","Jeonnam",1.85,3.4,4.33,2009-05-23,3,1,2009,"KLEAGUE"
"1784","Jeonbuk","Incheon",2.1,3.1,3.2,2009-05-23,0,0,2009,"KLEAGUE"
"1779","Daegu","Sangju Sangmu",2.45,3.25,2.9,2009-05-24,1,3,2009,"KLEAGUE"
"1780","Daejeon","Seoul",4,3.2,2,2009-05-24,0,2,2009,"KLEAGUE"
"1781","Gyeongnam","Suwon Bluewings",3,3.2,2.4,2009-05-24,0,0,2009,"KLEAGUE"
"1782","Pohang","Busan",1.91,3.2,4.5,2009-05-24,1,1,2009,"KLEAGUE"
"1778","Seoul","Sangju Sangmu",1.95,3.5,4,2009-05-30,2,1,2009,"KLEAGUE"
"1774","Seoul","Jeju Utd",1.65,3.6,5.5,2009-06-20,2,1,2009,"KLEAGUE"
"1775","Daejeon","Busan",2.29,3.1,2.75,2009-06-20,3,2,2009,"KLEAGUE"
"1776","Suwon Bluewings","Daegu",1.6,3.6,4.75,2009-06-20,1,0,2009,"KLEAGUE"
"1777","Jeonnam","Jeonbuk",2.8,3.2,2.5,2009-06-20,1,3,2009,"KLEAGUE"
