;Home_id;Away_id;B365_OT_H;B365_OT_D;B365_OT_A;Date;Score_home;Score_away;SEASON;Div
1;Cruz Azul;Monarcas;2.04;3.2;3;30/07/2005;2;1;2005/2006;MEX
2;Dorados de Sinaloa;Atlante;1.8;3.3;3.65;30/07/2005;3;1;2005/2006;MEX
3;Guadalajara Chivas;Chiapas;1.55;3.5;5;30/07/2005;1;1;2005/2006;MEX
4;Monterrey;Pachuca;1.55;3.5;5;30/07/2005;1;2;2005/2006;MEX
5;Necaxa;Toluca;1.8;3.3;3.65;30/07/2005;0;0;2005/2006;MEX
6;Veracruz;Atlas;1.9;3.25;3.35;30/07/2005;2;1;2005/2006;MEX
7;Club America;U.A.N.L.- Tigres;1.65;3.35;4.4;31/07/2005;3;1;2005/2006;MEX
8;Santos Laguna;U.N.A.M.- Pumas;1.8;3.3;3.65;31/07/2005;1;2;2005/2006;MEX
9;Cruz Azul;Estudiantes Tecos;1.5;3.7;4.9;13/08/2005;5;1;2005/2006;MEX
10;Guadalajara Chivas;Atlante;1.6;3.4;4.5;13/08/2005;3;2;2005/2006;MEX
11;Monterrey;Atlas;1.55;3.5;4.8;13/08/2005;1;0;2005/2006;MEX
12;Necaxa;U.N.A.M.- Pumas;2.1;3.15;2.9;13/08/2005;2;0;2005/2006;MEX
13;Veracruz;Toluca;2;3.2;3.05;13/08/2005;2;3;2005/2006;MEX
14;Pachuca;Monarcas;1.8;3.25;3.6;14/08/2005;1;3;2005/2006;MEX
15;Santos Laguna;U.A.N.L.- Tigres;1.8;3.25;3.6;14/08/2005;1;4;2005/2006;MEX
16;Atlas;Pachuca;2.2;3.2;2.65;20/08/2005;3;2;2005/2006;MEX
17;Monarcas;Club America;2.25;3.2;2.6;20/08/2005;1;2;2005/2006;MEX
18;U.A.N.L.- Tigres;Guadalajara Chivas;1.85;3.25;3.4;20/08/2005;1;1;2005/2006;MEX
19;Atlante;Necaxa;1.75;3.35;3.7;20/08/2005;2;1;2005/2006;MEX
20;Chiapas;Veracruz;1.7;3.3;4;20/08/2005;2;2;2005/2006;MEX
21;Toluca;Cruz Azul;2.29;3.2;2.54;20/08/2005;2;1;2005/2006;MEX
22;Estudiantes Tecos;Monterrey;2.1;3.2;2.85;21/08/2005;2;1;2005/2006;MEX
