"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Rosenborg","Brann",1.4,3.8,5.7,"2004-04-12",1,0,2004,"NOR"
"2","Lillestrom","Fredrikstad",1.6,3.4,4.15,"2004-04-12",2,0,2004,"NOR"
"3","Molde","Lyn",2,3.2,2.7,"2004-04-12",2,0,2004,"NOR"
"4","Odd","Stabaek",2,3.2,2.9,"2004-04-12",2,0,2004,"NOR"
"5","Sogndal","Ham-Kam",1.6,3.4,4.15,"2004-04-12",1,1,2004,"NOR"
"6","Tromso","Viking",2.29,3.25,2.29,"2004-04-12",4,0,2004,"NOR"
"7","Valerenga","Bodo/Glimt",2.2,3.2,2.54,"2004-04-13",1,0,2004,"NOR"
"8","Fredrikstad","Rosenborg",5.7,3.8,1.4,"2004-04-18",0,2,2004,"NOR"
"9","Brann","Molde",1.9,3.4,3,"2004-04-18",3,0,2004,"NOR"
"10","Bodo/Glimt","Odd",1.95,3.35,2.9,"2004-04-18",0,2,2004,"NOR"
"11","Ham-Kam","Tromso",2.29,3.3,2.29,"2004-04-18",1,1,2004,"NOR"
"12","Stabaek","Sogndal",2.1,3.3,2.6,"2004-04-18",3,1,2004,"NOR"
"13","Lyn","Valerenga",2.29,3.3,2.29,"2004-04-19",1,1,2004,"NOR"
"14","Valerenga","Brann",2.35,3.1,2.35,"2004-04-25",1,0,2004,"NOR"
"15","Rosenborg","Viking",1.4,3.8,5.7,"2004-04-25",0,0,2004,"NOR"
"16","Ham-Kam","Stabaek",2.35,3.1,2.35,"2004-04-25",0,0,2004,"NOR"
"17","Molde","Fredrikstad",1.4,3.8,5.7,"2004-04-25",0,1,2004,"NOR"
"18","Odd","Lyn",2,3.2,2.9,"2004-04-25",0,0,2004,"NOR"
"19","Sogndal","Bodo/Glimt",2.35,3.1,2.35,"2004-04-25",1,2,2004,"NOR"
"20","Tromso","Lillestrom",2.29,3.2,2.4,"2004-04-25",1,0,2004,"NOR"
"21","Viking","Molde",2.04,3.3,2.7,"2004-05-01",1,1,2004,"NOR"
"22","Lillestrom","Rosenborg",3.2,3.3,1.85,"2004-05-02",2,2,2004,"NOR"
"23","Bodo/Glimt","Ham-Kam",1.55,3.4,4.65,"2004-05-02",0,2,2004,"NOR"
"24","Brann","Odd",1.9,3.3,3.1,"2004-05-02",1,1,2004,"NOR"
"25","Lyn","Sogndal",1.6,3.3,4.3,"2004-05-02",2,0,2004,"NOR"
"26","Stabaek","Tromso",2.29,3.25,2.29,"2004-05-02",1,2,2004,"NOR"
"27","Fredrikstad","Valerenga",2.6,3.2,2.15,"2004-05-03",2,2,2004,"NOR"
"28","Valerenga","Viking",2,3.2,2.9,"2004-05-09",0,0,2004,"NOR"
"29","Sogndal","Brann",2.54,3.2,2.2,"2004-05-09",3,1,2004,"NOR"
"30","Ham-Kam","Lyn",2.25,3.2,2.45,"2004-05-09",1,0,2004,"NOR"
"31","Molde","Lillestrom",2.29,3.2,2.4,"2004-05-09",2,2,2004,"NOR"
"32","Odd","Fredrikstad",1.55,3.45,4.3,"2004-05-09",5,2,2004,"NOR"
"33","Stabaek","Bodo/Glimt",2.04,3.2,2.8,"2004-05-09",2,5,2004,"NOR"
"34","Tromso","Rosenborg",3.45,3.3,1.75,"2004-05-10",4,1,2004,"NOR"
"35","Viking","Lillestrom",2.29,3.2,2.4,"2004-05-12",1,1,2004,"NOR"
"36","Lillestrom","Valerenga",2.04,3.2,2.8,"2004-05-16",0,1,2004,"NOR"
"37","Brann","Ham-Kam",1.7,3.3,3.8,"2004-05-16",2,0,2004,"NOR"
"38","Fredrikstad","Sogndal",2.29,3.2,2.4,"2004-05-16",3,3,2004,"NOR"
"39","Lyn","Stabaek",1.9,3.3,3.1,"2004-05-16",2,0,2004,"NOR"
"40","Rosenborg","Molde",1.4,3.8,5.7,"2004-05-16",0,2,2004,"NOR"
"41","Viking","Odd",2.2,3.2,2.54,"2004-05-16",2,2,2004,"NOR"
"42","Bodo/Glimt","Tromso",2.29,3.2,2.4,"2004-05-16",2,1,2004,"NOR"
