"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","FC Arges","FCSB",3.3,3.25,1.95,"2005-08-06",0,1,"2005/2006","ROU"
"2","Vaslui","FC Rapid Bucuresti",3.3,3.25,1.95,"2005-08-06",0,1,"2005/2006","ROU"
"3","Timisoara","Poli Iasi",1.25,4.5,9,"2005-08-07",3,0,"2005/2006","ROU"
"4","Otelul","Din. Bucuresti",3.3,3.25,1.95,"2005-08-07",1,4,"2005/2006","ROU"
"5","FCSB","Progresul Bucuresti",1.5,3.6,5.4,"2005-08-14",4,0,"2005/2006","ROU"
"6","FC Rapid Bucuresti","FC Arges",1.25,4.5,9,"2005-08-14",1,1,"2005/2006","ROU"
"7","Din. Bucuresti","Pandurii",1.14,5.2,9.99,"2005-08-14",3,0,"2005/2006","ROU"
"8","FC Arges","Bistrita",1.85,3.2,3.6,"2005-08-19",2,0,"2005/2006","ROU"
"9","Jiul Petrosani","Sp. Studentesc",2.35,3.2,2.54,"2005-08-19",1,3,"2005/2006","ROU"
"10","Vaslui","CFR Cluj",2.35,3.2,2.54,"2005-08-19",0,3,"2005/2006","ROU"
"11","Timisoara","FCSB",2.5,3.1,2.45,"2005-08-20",0,0,"2005/2006","ROU"
"12","Progresul Bucuresti","FC Rapid Bucuresti",3.15,3.2,2,"2005-08-20",1,0,"2005/2006","ROU"
"13","Din. Bucuresti","F. Constanta",1.5,3.5,5.5,"2005-08-21",0,1,"2005/2006","ROU"
"14","Otelul","CSM Bacau",1.85,3.3,3.85,"2005-08-21",0,0,"2005/2006","ROU"
"15","Pandurii","Poli Iasi",2.1,3.15,2.95,"2005-08-21",0,1,"2005/2006","ROU"
"16","FC Arges","Sp. Studentesc",2,3.25,3.1,"2005-09-09",2,2,"2005/2006","ROU"
"17","Timisoara","Bistrita",1.35,4.2,6.8,"2005-09-10",4,0,"2005/2006","ROU"
"18","Otelul","FC Rapid Bucuresti",2.8,3.2,2.15,"2005-09-10",3,3,"2005/2006","ROU"
"19","Progresul Bucuresti","CFR Cluj",1.75,3.3,3.9,"2005-09-10",0,4,"2005/2006","ROU"
"20","Vaslui","Jiul Petrosani",1.9,3.25,3.3,"2005-09-10",1,2,"2005/2006","ROU"
"21","Din. Bucuresti","CSM Bacau",1.3,4.3,7.5,"2005-09-11",6,0,"2005/2006","ROU"
"22","Pandurii","FCSB",5,3.5,1.55,"2005-09-11",1,2,"2005/2006","ROU"
"23","Poli Iasi","F. Constanta",2.7,3.2,2.2,"2005-09-11",3,1,"2005/2006","ROU"
"24","FCSB","Din. Bucuresti",2.45,3.1,2.5,"2005-09-18",2,2,"2005/2006","ROU"
"25","FC Rapid Bucuresti","Pandurii",1.25,4.5,9,"2005-09-18",3,0,"2005/2006","ROU"
"26","CFR Cluj","Timisoara",2.4,3.1,2.54,"2005-09-18",2,0,"2005/2006","ROU"
"27","Din. Bucuresti","FC Rapid Bucuresti",1.9,3.2,3.4,"2005-09-25",5,2,"2005/2006","ROU"
"28","Progresul Bucuresti","Jiul Petrosani",1.4,3.8,6.4,"2005-09-25",1,1,"2005/2006","ROU"
"29","Poli Iasi","FCSB",4.15,3.3,1.7,"2005-09-25",0,1,"2005/2006","ROU"
"30","F. Constanta","FC Arges",1.7,3.3,4.15,"2005-10-01",2,0,"2005/2006","ROU"
"31","CFR Cluj","Pandurii",1.35,4,7,"2005-10-01",1,2,"2005/2006","ROU"
"32","Vaslui","Progresul Bucuresti",2.8,3.2,2.15,"2005-10-01",0,0,"2005/2006","ROU"
"33","Bistrita","Din. Bucuresti",4.5,3.5,1.6,"2005-10-02",1,2,"2005/2006","ROU"
"34","FCSB","CSM Bacau",1.2,5,9.99,"2005-10-03",1,0,"2005/2006","ROU"
"35","FC Rapid Bucuresti","Poli Iasi",1.4,3.8,6.4,"2005-10-03",1,0,"2005/2006","ROU"
"36","Din. Bucuresti","CFR Cluj",1.45,3.6,6,"2005-10-15",5,0,"2005/2006","ROU"
"37","CSM Bacau","FC Rapid Bucuresti",2.8,3.1,2.2,"2005-10-15",0,1,"2005/2006","ROU"
"38","Progresul Bucuresti","FC Arges",1.9,3.1,3.5,"2005-10-15",0,1,"2005/2006","ROU"
"39","F. Constanta","FCSB",2.75,3.1,2.25,"2005-10-16",1,4,"2005/2006","ROU"
"40","Otelul","Jiul Petrosani",1.7,3.3,4.15,"2005-10-16",0,0,"2005/2006","ROU"
"41","Pandurii","Sp. Studentesc",2.29,3.1,2.65,"2005-10-16",0,1,"2005/2006","ROU"
"42","Poli Iasi","Bistrita",1.8,3.25,3.7,"2005-10-16",1,1,"2005/2006","ROU"
"43","Bistrita","CSM Bacau",1.9,3.2,3.4,"2005-10-21",2,1,"2005/2006","ROU"
"44","Jiul Petrosani","Pandurii",2.04,3.2,3,"2005-10-22",1,1,"2005/2006","ROU"
"45","Progresul Bucuresti","F. Constanta",2.2,3.2,2.75,"2005-10-22",1,0,"2005/2006","ROU"
"46","Vaslui","Otelul",2.2,3.15,2.8,"2005-10-22",0,0,"2005/2006","ROU"
"47","CFR Cluj","Poli Iasi",1.65,3.35,4.4,"2005-10-22",0,0,"2005/2006","ROU"
"48","FC Rapid Bucuresti","FCSB",2.5,3.1,2.4,"2005-10-23",0,0,"2005/2006","ROU"
"49","Sp. Studentesc","Din. Bucuresti",3.3,3.3,1.9,"2005-10-23",0,2,"2005/2006","ROU"
"50","Din. Bucuresti","Jiul Petrosani",1.2,5,9.99,"2005-10-29",1,1,"2005/2006","ROU"
"51","CSM Bacau","CFR Cluj",2.6,3.1,2.35,"2005-10-29",0,2,"2005/2006","ROU"
"52","Otelul","FC Arges",2.35,3,2.7,"2005-10-29",0,1,"2005/2006","ROU"
"53","Pandurii","Vaslui",2.2,3.1,2.8,"2005-10-29",0,0,"2005/2006","ROU"
"54","Poli Iasi","Sp. Studentesc",2.29,3.1,2.65,"2005-10-29",1,0,"2005/2006","ROU"
"55","FCSB","Bistrita",1.2,5,9,"2005-10-30",0,1,"2005/2006","ROU"
"56","F. Constanta","FC Rapid Bucuresti",2.4,3.1,2.54,"2005-10-30",1,2,"2005/2006","ROU"
"57","FC Arges","Pandurii",1.55,3.4,5,"2005-11-04",0,1,"2005/2006","ROU"
"58","Progresul Bucuresti","Otelul",1.65,3.4,4.2,"2005-11-05",3,2,"2005/2006","ROU"
"59","Sp. Studentesc","CSM Bacau",1.55,3.4,4.9,"2005-11-05",2,1,"2005/2006","ROU"
"60","CFR Cluj","FCSB",2.75,3.2,2.15,"2005-11-06",1,0,"2005/2006","ROU"
"61","Jiul Petrosani","Poli Iasi",2.25,3.2,2.6,"2005-11-06",0,2,"2005/2006","ROU"
"62","Bistrita","FC Rapid Bucuresti",2.7,3.2,2.2,"2005-11-06",2,1,"2005/2006","ROU"
"63","Vaslui","Din. Bucuresti",5.8,3.6,1.45,"2005-11-06",1,2,"2005/2006","ROU"
"64","CSM Bacau","Jiul Petrosani",1.85,3.15,3.65,"2005-11-18",1,2,"2005/2006","ROU"
"65","Din. Bucuresti","FC Arges",1.3,4.2,8,"2005-11-19",1,2,"2005/2006","ROU"
"66","FC Rapid Bucuresti","CFR Cluj",1.7,3.25,4.2,"2005-11-19",1,0,"2005/2006","ROU"
"67","Pandurii","Progresul Bucuresti",2.4,3,2.6,"2005-11-19",1,1,"2005/2006","ROU"
"68","FCSB","Sp. Studentesc",1.3,4.2,8,"2005-11-20",4,1,"2005/2006","ROU"
"69","F. Constanta","Bistrita",1.7,3.25,4.2,"2005-11-20",3,0,"2005/2006","ROU"
"70","Poli Iasi","Vaslui",1.85,3.15,3.7,"2005-11-20",1,0,"2005/2006","ROU"
"71","FC Arges","Poli Iasi",1.75,3.3,3.9,"2005-11-25",3,0,"2005/2006","ROU"
"72","CFR Cluj","Bistrita",1.5,3.45,5.65,"2005-11-26",0,0,"2005/2006","ROU"
"73","Jiul Petrosani","FCSB",5.3,3.35,1.55,"2005-11-26",1,2,"2005/2006","ROU"
"74","Vaslui","CSM Bacau",2,3.15,3.2,"2005-11-26",1,1,"2005/2006","ROU"
"75","Progresul Bucuresti","Din. Bucuresti",3.35,3.25,1.9,"2005-11-27",2,0,"2005/2006","ROU"
"76","Sp. Studentesc","FC Rapid Bucuresti",2.95,3.25,2.04,"2005-11-27",1,0,"2005/2006","ROU"
"77","Otelul","F. Constanta",2.29,3.05,2.7,"2005-11-27",0,1,"2005/2006","ROU"
"78","Pandurii","Otelul",2,3.15,3.2,"2005-12-02",2,2,"2005/2006","ROU"
"79","F. Constanta","CFR Cluj",2.15,3.05,2.95,"2005-12-03",1,2,"2005/2006","ROU"
"80","CSM Bacau","FC Arges",2.6,3,2.4,"2005-12-03",3,2,"2005/2006","ROU"
"81","FCSB","Vaslui",1.14,5.4,9.99,"2005-12-04",2,2,"2005/2006","ROU"
"82","Bistrita","Sp. Studentesc",2.1,3.15,2.95,"2005-12-04",2,0,"2005/2006","ROU"
