"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","SC0",2003-08-09,"Dundee United","Hibernian",1,2,2.1,3.25,3,2003
"2","SC0",2003-08-09,"Dunfermline","Celtic",0,0,9,5,1.25,2003
"3","SC0",2003-08-09,"Hearts","Aberdeen",2,0,1.615,3.6,4.5,2003
"4","SC0",2003-08-09,"Motherwell","Dundee",0,3,2.5,3.2,2.5,2003
"5","SC0",2003-08-09,"Partick","Livingston",1,1,2.3,3.2,2.7,2003
"6","SC0",2003-08-09,"Rangers","Kilmarnock",4,0,1.143,6.5,12,2003
"227","SC0",2003-08-09,"Dundee United","Hibernian",1,2,2.1,3.25,3,2004
"228","SC0",2003-08-09,"Dunfermline","Celtic",0,0,9,5,1.25,2004
"229","SC0",2003-08-09,"Hearts","Aberdeen",2,0,1.615,3.6,4.5,2004
"230","SC0",2003-08-09,"Motherwell","Dundee",0,3,2.5,3.2,2.5,2004
"231","SC0",2003-08-09,"Partick","Livingston",1,1,2.3,3.2,2.7,2004
"232","SC0",2003-08-09,"Rangers","Kilmarnock",4,0,1.143,6.5,12,2004
"7","SC0",2003-08-16,"Aberdeen","Rangers",2,3,9,4.5,1.286,2003
"8","SC0",2003-08-16,"Celtic","Dundee United",5,0,1.167,5.5,13,2003
"9","SC0",2003-08-16,"Kilmarnock","Partick",2,1,1.667,3.4,4.5,2003
"10","SC0",2003-08-16,"Livingston","Motherwell",1,0,1.8,3.4,3.75,2003
"233","SC0",2003-08-16,"Aberdeen","Rangers",2,3,9,4.5,1.286,2004
"234","SC0",2003-08-16,"Celtic","Dundee United",5,0,1.167,5.5,13,2004
"235","SC0",2003-08-16,"Kilmarnock","Partick",2,1,1.667,3.4,4.5,2004
"236","SC0",2003-08-16,"Livingston","Motherwell",1,0,1.8,3.4,3.75,2004
"11","SC0",2003-08-17,"Dundee","Dunfermline",0,2,2.1,3.25,3,2003
"12","SC0",2003-08-17,"Hibernian","Hearts",1,0,2.5,3.2,2.5,2003
"237","SC0",2003-08-17,"Dundee","Dunfermline",0,2,2.1,3.25,3,2004
"238","SC0",2003-08-17,"Hibernian","Hearts",1,0,2.5,3.2,2.5,2004
"13","SC0",2003-08-23,"Aberdeen","Dunfermline",1,2,2.1,3.25,3,2003
"14","SC0",2003-08-23,"Dundee","Livingston",2,1,1.8,3.4,3.75,2003
"15","SC0",2003-08-23,"Hearts","Dundee United",3,0,1.667,3.4,4.5,2003
"16","SC0",2003-08-23,"Motherwell","Kilmarnock",2,1,2.7,3.2,2.3,2003
"17","SC0",2003-08-23,"Partick","Celtic",1,2,10,5.5,1.2,2003
"18","SC0",2003-08-23,"Rangers","Hibernian",5,2,1.143,6.5,12,2003
"239","SC0",2003-08-23,"Aberdeen","Dunfermline",1,2,2.1,3.25,3,2004
"240","SC0",2003-08-23,"Dundee","Livingston",2,1,1.8,3.4,3.75,2004
"241","SC0",2003-08-23,"Hearts","Dundee United",3,0,1.667,3.4,4.5,2004
