"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","SP2",2002-08-31,"Almeria","Salamanca",1,2,2.4,2.9,2.75,2003
"2","SP2",2002-08-31,"Elche","Xerez",0,1,2,3,3.4,2003
"3","SP2",2002-08-31,"Las Palmas","Ferrol",2,0,1.667,3.25,4.5,2003
"4","SP2",2002-08-31,"Terrassa","Albacete",1,1,2.4,2.9,2.75,2003
"5","SP2",2002-09-01,"Badajoz","Leganes",0,0,2,2.875,3.6,2003
"6","SP2",2002-09-01,"Compostela","Tenerife",1,1,2.7,3,2.375,2003
"7","SP2",2002-09-01,"Eibar","Poli Ejido",0,0,1.833,3,4,2003
"8","SP2",2002-09-01,"Numancia","Sp Gijon",1,0,2.25,2.875,3,2003
"9","SP2",2002-09-01,"Oviedo","Murcia",0,1,1.8,3.2,3.8,2003
"10","SP2",2002-09-01,"Zaragoza","Cordoba",0,0,1.667,3.25,4.5,2003
"11","SP2",2002-09-14,"Cordoba","Almeria",3,0,1.727,3.2,4.333,2003
"12","SP2",2002-09-14,"Ferrol","Compostela",1,1,1.909,3,3.75,2003
"13","SP2",2002-09-14,"Tenerife","Oviedo",1,1,1.727,3.2,4.333,2003
"14","SP2",2002-09-15,"Albacete","Badajoz",1,0,1.833,2.875,4.333,2003
"15","SP2",2002-09-15,"Leganes","Numancia",2,1,2.1,2.8,3.4,2003
"16","SP2",2002-09-15,"Levante","Zaragoza",3,2,2.75,3,2.3,2003
"17","SP2",2002-09-15,"Murcia","Getafe",2,0,1.8,3,4.2,2003
"18","SP2",2002-09-15,"Poli Ejido","Terrassa",1,2,1.8,3,4.2,2003
"19","SP2",2002-09-15,"Salamanca","Eibar",0,0,1.909,3,3.75,2003
"20","SP2",2002-09-15,"Sp Gijon","Elche",0,0,2.4,3,3.4,2003
"21","SP2",2002-09-15,"Xerez","Las Palmas",2,2,2.25,2.875,3,2003
"22","SP2",2002-09-28,"Leganes","Xerez",1,2,2.5,2.75,2.75,2003
"23","SP2",2002-09-28,"Levante","Eibar",3,1,2.5,2.75,2.75,2003
"24","SP2",2002-09-29,"Ferrol","Getafe",2,1,1.9,3,3.6,2003
"25","SP2",2002-09-29,"Murcia","Almeria",3,0,1.7,3.1,4.5,2003
"26","SP2",2002-09-29,"Poli Ejido","Numancia",3,2,2.25,2.8,3,2003
"27","SP2",2002-09-29,"Salamanca","Badajoz",0,1,1.9,3,3.6,2003
"28","SP2",2002-09-29,"Sp Gijon","Las Palmas",0,0,2.375,2.9,2.75,2003
"29","SP2",2002-09-29,"Tenerife","Zaragoza",2,0,2,2.9,3.4,2003
"30","SP2",2002-10-05,"Getafe","Compostela",2,0,2.1,3,3.2,2003
"31","SP2",2002-10-05,"Las Palmas","Oviedo",2,0,1.909,3,3.75,2003
"32","SP2",2002-10-05,"Xerez","Albacete",1,0,2,3,3.4,2003
"33","SP2",2002-10-06,"Almeria","Tenerife",1,1,3,3,2.2,2003
"34","SP2",2002-10-06,"Badajoz","Cordoba",2,0,2.1,3,3.2,2003
"35","SP2",2002-10-06,"Eibar","Murcia",1,1,2.1,3,3.2,2003
"36","SP2",2002-10-06,"Elche","Poli Ejido",3,0,1.909,3,3.75,2003
"37","SP2",2002-10-06,"Numancia","Salamanca",1,0,2.1,3,3.2,2003
"38","SP2",2002-10-06,"Sp Gijon","Leganes",1,1,2.1,2.75,3.5,2003
"39","SP2",2002-10-06,"Terrassa","Levante",1,1,2.1,3,3.2,2003
"40","SP2",2002-10-06,"Zaragoza","Ferrol",2,2,1.8,3,4.2,2003
"41","SP2",2002-10-12,"Leganes","Las Palmas",1,1,2.6,2.8,2.6,2003
"42","SP2",2002-10-12,"Poli Ejido","Xerez",2,0,2.9,2.9,2.3,2003
"43","SP2",2002-10-13,"Albacete","Sp Gijon",4,0,1.909,3,3.75,2003
"44","SP2",2002-10-13,"Compostela","Zaragoza",0,0,2.75,2.875,2.4,2003
"45","SP2",2002-10-13,"Cordoba","Numancia",1,1,2,2.875,3.6,2003
"46","SP2",2002-10-13,"Ferrol","Almeria",1,1,1.667,3.25,4.5,2003
"47","SP2",2002-10-13,"Levante","Badajoz",4,0,1.909,3,3.75,2003
"48","SP2",2002-10-13,"Murcia","Terrassa",0,0,2.1,2.9,3.25,2003
"49","SP2",2002-10-13,"Oviedo","Getafe",3,4,1.909,3,3.75,2003
"50","SP2",2002-10-13,"Salamanca","Elche",1,3,2.25,2.875,3,2003
"51","SP2",2002-10-13,"Tenerife","Eibar",1,0,1.8,2.875,4.5,2003
"52","SP2",2002-10-19,"Eibar","Ferrol",1,0,2.25,2.8,3,2003
"53","SP2",2002-10-19,"Elche","Cordoba",0,0,1.8,3,4,2003
"54","SP2",2002-10-19,"Las Palmas","Getafe",2,1,1.8,3,4,2003
"55","SP2",2002-10-20,"Almeria","Compostela",2,1,2.2,2.8,3.1,2003
"56","SP2",2002-10-20,"Badajoz","Murcia",1,0,2.2,2.8,3.1,2003
"57","SP2",2002-10-20,"Leganes","Albacete",1,1,2.2,2.8,3.1,2003
"58","SP2",2002-10-20,"Numancia","Levante",0,2,2.2,2.8,3.1,2003
"59","SP2",2002-10-20,"Sp Gijon","Poli Ejido",1,1,2.25,2.8,3,2003
"60","SP2",2002-10-20,"Terrassa","Tenerife",1,1,2.2,2.8,3.1,2003
"61","SP2",2002-10-20,"Xerez","Salamanca",0,1,1.667,3,5,2003
"62","SP2",2002-10-20,"Zaragoza","Oviedo",3,1,2,2.9,3.5,2003
"63","SP2",2002-10-26,"Levante","Elche",2,2,1.8,2.9,4.5,2003
"64","SP2",2002-10-26,"Poli Ejido","Leganes",1,0,2,2.875,3.6,2003
"65","SP2",2002-10-27,"Albacete","Las Palmas",2,1,2.25,2.8,3.1,2003
"66","SP2",2002-10-27,"Compostela","Eibar",1,0,2.25,2.8,3.1,2003
"67","SP2",2002-10-27,"Cordoba","Xerez",1,3,2.6,2.8,2.6,2003
"68","SP2",2002-10-27,"Ferrol","Terrassa",1,1,2.25,2.8,3.1,2003
"69","SP2",2002-10-27,"Getafe","Zaragoza",1,2,2.25,2.8,3.1,2003
"70","SP2",2002-10-27,"Murcia","Numancia",2,1,1.833,2.875,4.333,2003
"71","SP2",2002-10-27,"Oviedo","Almeria",1,1,1.833,2.875,4.333,2003
"72","SP2",2002-10-27,"Salamanca","Sp Gijon",0,0,1.909,2.875,4,2003
"73","SP2",2002-10-27,"Tenerife","Badajoz",3,3,1.727,3,4.75,2003
"74","SP2",2002-11-02,"Albacete","Poli Ejido",1,1,1.909,2.875,4,2003
"75","SP2",2002-11-02,"Badajoz","Ferrol",1,0,2,2.875,3.6,2003
"76","SP2",2002-11-02,"Eibar","Oviedo",2,1,2,2.875,3.6,2003
"77","SP2",2002-11-02,"Las Palmas","Zaragoza",0,1,2,2.875,3.6,2003
"78","SP2",2002-11-02,"Terrassa","Compostela",2,1,1.727,3.1,4.5,2003
"79","SP2",2002-11-02,"Xerez","Levante",2,1,2,2.875,3.6,2003
"80","SP2",2002-11-03,"Almeria","Getafe",1,1,2.2,2.8,3.2,2003
"81","SP2",2002-11-03,"Elche","Murcia",0,2,2.1,2.8,3.4,2003
"82","SP2",2002-11-03,"Leganes","Salamanca",0,2,2.1,2.8,3.4,2003
"83","SP2",2002-11-03,"Numancia","Tenerife",1,0,2.4,2.75,2.9,2003
"84","SP2",2002-11-03,"Sp Gijon","Cordoba",0,0,2.1,2.8,3.4,2003
"85","SP2",2002-11-09,"Cordoba","Leganes",1,0,2.1,2.8,3.4,2003
"86","SP2",2002-11-09,"Tenerife","Elche",0,0,2,2.87,3.6,2003
"87","SP2",2002-11-10,"Compostela","Badajoz",3,0,2.2,2.8,3.2,2003
"88","SP2",2002-11-10,"Ferrol","Numancia",1,0,2,2.87,3.6,2003
"89","SP2",2002-11-10,"Getafe","Eibar",4,2,2.1,2.8,3.4,2003
"90","SP2",2002-11-10,"Levante","Sp Gijon",2,1,1.61,3.25,5,2003
"91","SP2",2002-11-10,"Murcia","Xerez",1,1,2.25,2.8,3.1,2003
"92","SP2",2002-11-10,"Oviedo","Terrassa",2,2,2.6,2.7,2.7,2003
"93","SP2",2002-11-10,"Poli Ejido","Las Palmas",0,0,2.1,2.8,3.4,2003
"94","SP2",2002-11-10,"Salamanca","Albacete",0,1,2.4,2.75,2.9,2003
"95","SP2",2002-11-10,"Zaragoza","Almeria",1,0,1.61,3.25,5,2003
"96","SP2",2002-11-16,"Albacete","Cordoba",0,0,1.727,3.1,4.5,2003
