"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"1","Basel","Aarau",1.25,4.4,9,"2004-07-17",6,0,"2004/2005","SWZ"
"2","Grasshoppers","Zurich",1.85,3.2,3.45,"2004-07-17",1,1,"2004/2005","SWZ"
"3","Schaffhausen","Xamax",2,3.1,3.1,"2004-07-17",1,1,"2004/2005","SWZ"
"4","St. Gallen","Young Boys",2.29,3.1,2.54,"2004-07-17",3,3,"2004/2005","SWZ"
"5","Basel","Xamax",1.2,4.8,9.99,"2004-07-23",1,1,"2004/2005","SWZ"
"6","Servette","Grasshoppers",2.15,2.9,3.05,"2004-07-23",2,2,"2004/2005","SWZ"
"7","Aarau","Thun",2.25,3.1,2.6,"2004-07-27",0,1,"2004/2005","SWZ"
"8","Zurich","St. Gallen",1.8,3.2,3.65,"2004-07-27",3,1,"2004/2005","SWZ"
"9","Servette","Basel",3.65,3.2,1.8,"2004-07-30",1,2,"2004/2005","SWZ"
"10","Schaffhausen","St. Gallen",2.54,3.1,2.29,"2004-07-31",3,2,"2004/2005","SWZ"
"11","Xamax","Aarau",1.7,3.2,4.15,"2004-07-31",2,1,"2004/2005","SWZ"
"12","Zurich","Thun",1.85,3.2,3.45,"2004-07-31",1,0,"2004/2005","SWZ"
"13","Basel","Zurich",1.45,3.6,5.7,"2004-08-06",2,1,"2004/2005","SWZ"
"14","Aarau","Servette",2.54,3.1,2.29,"2004-08-07",4,0,"2004/2005","SWZ"
"15","St. Gallen","Xamax",1.85,3.2,3.45,"2004-08-07",4,2,"2004/2005","SWZ"
"16","Thun","Young Boys",2.29,3.1,2.54,"2004-08-07",3,1,"2004/2005","SWZ"
"17","Grasshoppers","Schaffhausen",1.4,3.8,6,"2004-08-08",1,0,"2004/2005","SWZ"
"18","Zurich","Aarau",1.5,3.45,5.4,"2004-08-14",1,3,"2004/2005","SWZ"
"19","Schaffhausen","Thun",2.54,3.1,2.29,"2004-08-14",0,1,"2004/2005","SWZ"
"20","Young Boys","Basel",2.6,3.1,2.25,"2004-08-15",1,1,"2004/2005","SWZ"
"21","St. Gallen","Grasshoppers",2.29,3.1,2.54,"2004-08-15",0,0,"2004/2005","SWZ"
"22","Xamax","Servette",2.15,3.1,2.8,"2004-08-15",3,0,"2004/2005","SWZ"
"23","Aarau","Young Boys",2.45,3.1,2.35,"2004-08-21",1,3,"2004/2005","SWZ"
"24","Grasshoppers","Xamax",1.7,3.2,4.15,"2004-08-21",2,1,"2004/2005","SWZ"
"25","Servette","Zurich",2.2,3.1,2.7,"2004-08-21",2,1,"2004/2005","SWZ"
"26","Thun","St. Gallen",1.85,3.2,3.45,"2004-08-22",1,1,"2004/2005","SWZ"
"27","Young Boys","Grasshoppers",2,3.1,3.1,"2004-08-25",1,1,"2004/2005","SWZ"
"28","Grasshoppers","Thun",1.85,3.2,3.45,"2004-08-28",0,0,"2004/2005","SWZ"
"29","Xamax","Zurich",2.04,3.1,3,"2004-08-28",1,1,"2004/2005","SWZ"
"30","Schaffhausen","Aarau",2.15,3.1,2.8,"2004-08-28",3,3,"2004/2005","SWZ"
"31","St. Gallen","Basel",3.2,3.15,1.95,"2004-08-29",0,1,"2004/2005","SWZ"
"32","Young Boys","Servette",1.6,3.3,4.3,"2004-08-29",1,1,"2004/2005","SWZ"
"33","Aarau","St. Gallen",1.9,3.2,3.3,"2004-09-11",4,1,"2004/2005","SWZ"
"34","Servette","Schaffhausen",1.65,3.3,4.3,"2004-09-11",1,1,"2004/2005","SWZ"
"35","Thun","Xamax",1.8,3.2,3.65,"2004-09-11",3,0,"2004/2005","SWZ"
"36","Zurich","Young Boys",2.2,3.1,2.7,"2004-09-11",2,3,"2004/2005","SWZ"
"37","Basel","Grasshoppers",1.6,3.3,4.65,"2004-09-12",8,1,"2004/2005","SWZ"
