Home_id;Away_id;Bookmaker;OddHome;OddDraw;OddAway;Date;Score_home;Score_away;Season
New England Revolution;Los Angeles Galaxy;bet365;+100;+210;+239;13 Nov 2005; 0;1 ;2005
New England Revolution;Los Angeles Galaxy;Pinnacle;+134;+211;+189;13 Nov 2005; 0;1 ;2005
New England Revolution;Los Angeles Galaxy;William Hill;+100;+215;+225;13 Nov 2005; 0;1 ;2005
New England Revolution;Chicago Fire;bet-at-home;-118;+220;+270;06 Nov 2005; 1;0 ;2005
New England Revolution;Chicago Fire;bet365;-111;+220;+260;06 Nov 2005; 1;0 ;2005
New England Revolution;Chicago Fire;bwin;-118;+229;+270;06 Nov 2005; 1;0 ;2005
New England Revolution;Chicago Fire;Pinnacle;-120;+229;+300;06 Nov 2005; 1;0 ;2005
New England Revolution;Chicago Fire;William Hill;-125;+220;+290;06 Nov 2005; 1;0 ;2005
Colorado Rapids;Los Angeles Galaxy;bet-at-home;+100;+220;+240;05 Nov 2005; 0;2 ;2005
Colorado Rapids;Los Angeles Galaxy;bet365;+100;+220;+239;05 Nov 2005; 0;2 ;2005
Colorado Rapids;Los Angeles Galaxy;bwin;+100;+225;+229;05 Nov 2005; 0;2 ;2005
Colorado Rapids;Los Angeles Galaxy;Pinnacle;+110;+225;+225;05 Nov 2005; 0;2 ;2005
Colorado Rapids;Los Angeles Galaxy;William Hill;-111;+210;+260;05 Nov 2005; 0;2 ;2005
DC United;Chicago Fire;bet-at-home;-118;+220;+270;30 Oct 2005; 0;4 ;2005
DC United;Chicago Fire;bet365;-111;+225;+250;30 Oct 2005; 0;4 ;2005
DC United;Chicago Fire;bwin;-125;+220;+309;30 Oct 2005; 0;4 ;2005
DC United;Chicago Fire;Pinnacle;-120;+245;+280;30 Oct 2005; 0;4 ;2005
DC United;Chicago Fire;William Hill;-118;+229;+250;30 Oct 2005; 0;4 ;2005
FC Dallas;DC United;bet-at-home;+114;+210;+190;10 Sep 2005; 1;2 ;2005
FC Dallas;DC United;bet365;+120;+210;+200;10 Sep 2005; 1;2 ;2005
FC Dallas;DC United;bwin;+114;+204;+215;10 Sep 2005; 1;2 ;2005
FC Dallas;DC United;Pinnacle;+120;+210;+210;10 Sep 2005; 1;2 ;2005
FC Dallas;DC United;William Hill;+125;+210;+179;10 Sep 2005; 1;2 ;2005
New England Revolution;Columbus Crew;bet-at-home;-182;+250;+400;10 Sep 2005; 3;1 ;2005
New England Revolution;Columbus Crew;bet365;-175;+260;+400;10 Sep 2005; 3;1 ;2005
New England Revolution;Columbus Crew;bwin;-200;+250;+525;10 Sep 2005; 3;1 ;2005
New England Revolution;Columbus Crew;Pinnacle;-179;+254;+475;10 Sep 2005; 3;1 ;2005
New England Revolution;Columbus Crew;William Hill;-167;+240;+380;10 Sep 2005; 3;1 ;2005
Los Angeles Galaxy;Chicago Fire;bet-at-home;+110;+210;+200;04 Sep 2005; 1;2 ;2005
