MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet365_H,bet365_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,bwin_H,bwin_A,bet-at-home_H,bet-at-home_A,1xBet_H,1xBet_A,Marathonbet_H,Marathonbet_A,nan_H,nan_A
1,2008-2009,AFC,NFC,2009-02-08,21.0,30.0,110.0,0.9431535625482292,120.0,0.9424330479855493,-135.0,0.9277075316107751,-135.0,0.9277075316107751,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2,2008-2009,Pittsburgh Steelers,Arizona Cardinals,2009-02-01,27.0,23.0,-286.0,0.9313230648995406,200.0,0.9392758183440566,225.0,0.9387516688918558,225.0,0.9387516688918558,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3,2008-2009,Pittsburgh Steelers,Baltimore Ravens,2009-01-18,23.0,14.0,-222.0,0.9303885000628641,220.0,0.9388469252763196,Na,Na,Na,Na,-213.0,0.9302122456109703,Na,Na,Na,Na,Na,Na,Na,Na
4,2008-2009,Arizona Cardinals,Philadelphia Eagles,2009-01-18,32.0,25.0,154.0,0.9406878016003908,165.0,0.9402780943697288,Na,Na,Na,Na,154.0,0.9406878016003908,Na,Na,Na,Na,Na,Na,Na,Na
5,2008-2009,Pittsburgh Steelers,Los Angeles Chargers,2009-01-11,35.0,24.0,-278.0,0.9312296921582421,-256.0,0.9309429433797592,Na,Na,Na,Na,-278.0,0.9312296921582421,Na,Na,Na,Na,Na,Na,Na,Na
6,2008-2009,New York Giants,Philadelphia Eagles,2009-01-11,11.0,23.0,-213.0,0.9302122456109703,179.0,0.9398298855402709,Na,Na,Na,Na,-208.0,0.9301077672941913,Na,Na,Na,Na,Na,Na,Na,Na
7,2008-2009,Atlanta Falcons,Tampa Bay Buccaneers,2008-12-14,13.0,10.0,-213.0,0.9302122456109703,-227.0,0.9304804066240366,Na,Na,Na,Na,-169.0,0.9290819131390873,Na,Na,Na,Na,Na,Na,Na,Na
8,2008-2009,Cincinnati Bengals,Washington Commanders,2008-12-14,20.0,13.0,229.0,0.9386784718806361,254.0,0.9382734291308041,Na,Na,Na,Na,275.0,0.9379903131182209,Na,Na,Na,Na,Na,Na,Na,Na
9,2008-2009,Houston Texans,Tennessee Titans,2008-12-14,13.0,12.0,135.0,0.9415539126795927,145.0,0.9410695742471443,Na,Na,Na,Na,145.0,0.9410695742471443,Na,Na,Na,Na,Na,Na,Na,Na
10,2008-2009,Indianapolis Colts,Detroit Lions,2008-12-14,31.0,21.0,-2000.0,0.934112383060806,-1429.0,0.9339258871969152,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11,2008-2009,Jacksonville Jaguars,Green Bay Packers,2008-12-14,20.0,16.0,120.0,0.9424330479855493,123.0,0.9422399264593229,Na,Na,Na,Na,104.0,0.943653026041194,Na,Na,Na,Na,Na,Na,Na,Na
12,2008-2009,Kansas City Chiefs,Los Angeles Chargers,2008-12-14,21.0,22.0,215.0,0.9389466328937024,209.0,0.9390726096333573,Na,Na,Na,Na,-244.0,0.9307648292962044,Na,Na,Na,Na,Na,Na,Na,Na
13,2008-2009,Los Angeles Rams,Seattle Seahawks,2008-12-14,20.0,23.0,114.0,0.9428500537589942,117.0,0.9426361585562358,Na,Na,Na,Na,125.0,0.9421163702140487,Na,Na,Na,Na,Na,Na,Na,Na
14,2008-2009,Miami Dolphins,San Francisco 49ers,2008-12-14,14.0,9.0,-303.0,0.9315051647811118,-250.0,0.93085601519157,Na,Na,Na,Na,-303.0,0.9315051647811118,Na,Na,Na,Na,Na,Na,Na,Na
15,2008-2009,New York Jets,Buffalo Bills,2008-12-14,31.0,27.0,-323.0,0.9316949348101996,280.0,0.9379291863464309,Na,Na,Na,Na,280.0,0.9379291863464309,Na,Na,Na,Na,Na,Na,Na,Na
16,2008-2009,Baltimore Ravens,Philadelphia Eagles,2008-11-23,36.0,7.0,-125.0,0.9271621421154131,-122.0,0.9269812324291469,Na,Na,Na,Na,-120.0,0.9268556422337221,Na,Na,Na,Na,Na,Na,Na,Na
17,2008-2009,Cleveland Browns,Houston Texans,2008-11-23,6.0,16.0,-161.0,0.9288104303680628,-139.0,0.9279038718291054,Na,Na,Na,Na,-169.0,0.9290819131390873,Na,Na,Na,Na,Na,Na,Na,Na
18,2008-2009,Dallas Cowboys,San Francisco 49ers,2008-11-23,35.0,22.0,-714.0,0.9332723351414941,-476.0,0.9326201532161679,Na,Na,Na,Na,-714.0,0.9332723351414941,Na,Na,Na,Na,Na,Na,Na,Na
19,2008-2009,Detroit Lions,Tampa Bay Buccaneers,2008-11-23,20.0,38.0,280.0,0.9379291863464309,309.0,0.9376137880810778,Na,Na,Na,Na,309.0,0.9376137880810778,Na,Na,Na,Na,Na,Na,Na,Na
