index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Sporting Kansas City - DC United;bet-at-home;+140;+200;+160;Sunday, 14 Nov 2004, 19:30;Final result 2:3 (1:3, 1:0);1;Sporting Kansas City;DC United;14 Nov 2004; 2;3 ;2004
1;Sporting Kansas City - DC United;bet365;+138;+200;+175;Sunday, 14 Nov 2004, 19:30;Final result 2:3 (1:3, 1:0);1;Sporting Kansas City;DC United;14 Nov 2004; 2;3 ;2004
2;Sporting Kansas City - DC United;William Hill;+165;+200;+140;Sunday, 14 Nov 2004, 19:30;Final result 2:3 (1:3, 1:0);1;Sporting Kansas City;DC United;14 Nov 2004; 2;3 ;2004
29;DC United - New England Revolution;bet-at-home;-118;+220;+229;Saturday, 06 Nov 2004, 21:55;Final result 4:3 penalties (2:2, 1:1, 0:0, 5:4);1;DC United;New England Revolution;06 Nov 2004; 4;3 ;2004
30;DC United - New England Revolution;bet365;-120;+220;+275;Saturday, 06 Nov 2004, 21:55;Final result 4:3 penalties (2:2, 1:1, 0:0, 5:4);1;DC United;New England Revolution;06 Nov 2004; 4;3 ;2004
31;DC United - New England Revolution;William Hill;-111;+210;+260;Saturday, 06 Nov 2004, 21:55;Final result 4:3 penalties (2:2, 1:1, 0:0, 5:4);1;DC United;New England Revolution;06 Nov 2004; 4;3 ;2004
58;Sporting Kansas City - Los Angeles Galaxy;bet-at-home;+100;+200;+210;Friday, 05 Nov 2004, 21:55;Final result 2:0 (1:0, 1:0);1;Sporting Kansas City;Los Angeles Galaxy;05 Nov 2004; 2;0 ;2004
59;Sporting Kansas City - Los Angeles Galaxy;bet365;+100;+200;+240;Friday, 05 Nov 2004, 21:55;Final result 2:0 (1:0, 1:0);1;Sporting Kansas City;Los Angeles Galaxy;05 Nov 2004; 2;0 ;2004
60;Sporting Kansas City - Los Angeles Galaxy;William Hill;+104;+210;+215;Friday, 05 Nov 2004, 21:55;Final result 2:0 (1:0, 1:0);1;Sporting Kansas City;Los Angeles Galaxy;05 Nov 2004; 2;0 ;2004
87;Columbus Crew - New England Revolution;bet-at-home;-143;+220;+290;Sunday, 31 Oct 2004, 21:00;Final result 1:1 (0:0, 1:1);1;Columbus Crew;New England Revolution;31 Oct 2004; 1;1 ;2004
88;Columbus Crew - New England Revolution;bet365;-161;+225;+400;Sunday, 31 Oct 2004, 21:00;Final result 1:1 (0:0, 1:1);1;Columbus Crew;New England Revolution;31 Oct 2004; 1;1 ;2004
89;Columbus Crew - New England Revolution;William Hill;-133;+229;+295;Sunday, 31 Oct 2004, 21:00;Final result 1:1 (0:0, 1:1);1;Columbus Crew;New England Revolution;31 Oct 2004; 1;1 ;2004
116;New England Revolution - Chicago Fire;bet-at-home;+100;+200;+220;Saturday, 16 Oct 2004, 21:55;Final result 2:1 (0:0, 2:1);1;New England Revolution;Chicago Fire;16 Oct 2004; 2;1 ;2004
