index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Seattle Sounders - Sporting Kansas City;10x10bet;-125;+275;+350;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
1;Seattle Sounders - Sporting Kansas City;1xBet;-114;+274;+305;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
2;Seattle Sounders - Sporting Kansas City;bet-at-home;-130;+250;+330;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
3;Seattle Sounders - Sporting Kansas City;bet365;-125;+280;+333;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
4;Seattle Sounders - Sporting Kansas City;BetFinal;-127;+270;+280;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
5;Seattle Sounders - Sporting Kansas City;bwin;-133;+260;+350;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
6;Seattle Sounders - Sporting Kansas City;Coolbet;-118;+275;+315;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
7;Seattle Sounders - Sporting Kansas City;Curebet;-125;+275;+350;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
8;Seattle Sounders - Sporting Kansas City;Ditobet;-133;+258;+330;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
9;Seattle Sounders - Sporting Kansas City;GGBET;-123;+285;+321;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
10;Seattle Sounders - Sporting Kansas City;Lasbet;-122;+279;+350;Today, 25 Jun 2022, 19:00;Final result 3:0 (1:0, 2:0);1;Seattle Sounders;Sporting Kansas City;25 Jun 2022; 3;0 ;CurrentSeason
