Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Atlanta Falcons;New England Patriots;1xBet;+127;-145;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;bet-at-home;+123;-152;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;bet365;+125;-147;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;bwin;+125;-149;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;Marathonbet;+147;-156;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;Pinnacle;+129;-143;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;Unibet;+125;-149;05 Feb 2017; 28;34 ;2016-2017
Atlanta Falcons;New England Patriots;William Hill;-149;-149;05 Feb 2017; 28;34 ;2016-2017
NFC;AFC;1xBet;-192;+179;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;bet-at-home;-217;+167;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;bet365;-192;+167;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;bwin;-208;+170;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;Marathonbet;-208;+173;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;Pinnacle;-185;+166;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;Unibet;-222;+175;30 Jan 2017; 13;20 ;2016-2017
NFC;AFC;William Hill;+175;+175;30 Jan 2017; 13;20 ;2016-2017
New England Patriots;Pittsburgh Steelers;1xBet;-233;+209;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;bet-at-home;-244;+194;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;bet365;-238;+195;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;bwin;-250;+200;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;Marathonbet;-227;+213;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;Pinnacle;-233;+204;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;Unibet;-244;+200;22 Jan 2017; 36;17 ;2016-2017
New England Patriots;Pittsburgh Steelers;William Hill;+200;+200;22 Jan 2017; 36;17 ;2016-2017
Atlanta Falcons;Green Bay Packers;1xBet;-169;+161;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;bet-at-home;-196;+158;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;bet365;-222;+179;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;bwin;-200;+165;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;Marathonbet;-175;+164;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;Pinnacle;-227;+200;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;Unibet;-200;+167;22 Jan 2017; 44;21 ;2016-2017
Atlanta Falcons;Green Bay Packers;William Hill;+167;+167;22 Jan 2017; 44;21 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;1xBet;-114;+104;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;bet-at-home;-135;+110;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;bet365;-132;+110;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;bwin;-115;-105;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;Marathonbet;-123;+114;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;Pinnacle;-127;+114;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;Unibet;-127;+106;16 Jan 2017; 16;18 ;2016-2017
Kansas City Chiefs;Pittsburgh Steelers;William Hill;+106;+106;16 Jan 2017; 16;18 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;1xBet;-244;+218;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;bet-at-home;-263;+197;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;bet365;-250;+204;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;bwin;-263;+210;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;Marathonbet;-233;+213;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;Pinnacle;-233;+204;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;Unibet;-256;+210;18 Dec 2016; 27;26 ;2016-2017
Baltimore Ravens;Philadelphia Eagles;William Hill;+210;+210;18 Dec 2016; 27;26 ;2016-2017
Buffalo Bills;Cleveland Browns;1xBet;-556;+484;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;bet-at-home;-556;+366;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;bet365;-455;+350;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;bwin;-556;+409;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;Marathonbet;-588;+500;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;Pinnacle;-476;+408;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;Unibet;-526;+409;18 Dec 2016; 33;13 ;2016-2017
Buffalo Bills;Cleveland Browns;William Hill;+409;+409;18 Dec 2016; 33;13 ;2016-2017
Chicago Bears;Green Bay Packers;1xBet;+276;-303;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;bet-at-home;+218;-294;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;bet365;+220;-270;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;bwin;+229;-286;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;Marathonbet;+280;-312;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;Pinnacle;+235;-263;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;Unibet;+260;-323;18 Dec 2016; 27;30 ;2016-2017
Chicago Bears;Green Bay Packers;William Hill;-323;-323;18 Dec 2016; 27;30 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;1xBet;+146;-156;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;bet-at-home;+133;-169;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;bet365;+150;-172;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;bwin;+150;-182;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;Marathonbet;+148;-161;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;Pinnacle;+149;-164;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;Unibet;+140;-169;18 Dec 2016; 20;24 ;2016-2017
Cincinnati Bengals;Pittsburgh Steelers;William Hill;-169;-169;18 Dec 2016; 20;24 ;2016-2017
Houston Texans;Jacksonville Jaguars;1xBet;-256;+236;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;bet-at-home;-270;+202;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;bet365;-250;+210;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;bwin;-278;+220;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;Marathonbet;-263;+238;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;Pinnacle;-256;+227;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;Unibet;-263;+215;18 Dec 2016; 21;20 ;2016-2017
Houston Texans;Jacksonville Jaguars;William Hill;+215;+215;18 Dec 2016; 21;20 ;2016-2017
Kansas City Chiefs;Tennessee Titans;1xBet;-222;+204;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;bet-at-home;-244;+186;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;bet365;-238;+195;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;bwin;-263;+210;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;Marathonbet;-227;+206;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;Pinnacle;-227;+200;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;Unibet;-227;+190;18 Dec 2016; 17;19 ;2016-2017
Kansas City Chiefs;Tennessee Titans;William Hill;+190;+190;18 Dec 2016; 17;19 ;2016-2017
Minnesota Vikings;Indianapolis Colts;1xBet;-189;+174;18 Dec 2016; 6;34 ;2016-2017
Minnesota Vikings;Indianapolis Colts;bet-at-home;-204;+156;18 Dec 2016; 6;34 ;2016-2017
Minnesota Vikings;Indianapolis Colts;bet365;-213;+175;18 Dec 2016; 6;34 ;2016-2017
