MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Marathonbet_H,Marathonbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A
1,2016-2017,Atlanta Falcons,New England Patriots,2017-02-05,28,34,129,0.9418808411214952,123,0.9422399264593229,125,0.9421163702140487,125,0.9421163702140487,131,0.9417685118619696,124,0.942177646075526,123,0.9422399264593229,125,0.9421163702140487
2,2016-2017,NFC,AFC,2017-01-30,13,20,-182,0.9294724477810121,-189,0.9296606000983767,-175,0.929269328802039,-196,0.9298353811850656,-189,0.9296606000983767,-179,0.92938733125649,-189,0.9296606000983767,-179,0.92938733125649
3,2016-2017,New England Patriots,Pittsburgh Steelers,2017-01-22,36,17,-278,0.9312296921582421,-244,0.9307648292962044,-244,0.9307648292962044,-263,0.9310393656188048,-227,0.9304804066240366,-227,0.9304804066240366,-238,0.9306690650295233,-250,0.93085601519157
4,2016-2017,Atlanta Falcons,Green Bay Packers,2017-01-22,44,21,-238,0.9306690650295233,-250,0.93085601519157,-250,0.93085601519157,-222,0.9303885000628641,-227,0.9304804066240366,-250,0.93085601519157,-222,0.9303885000628641,-208,0.9301077672941913
5,2016-2017,Kansas City Chiefs,Pittsburgh Steelers,2017-01-16,16,18,-133,0.9276049658250801,-139,0.9279038718291054,-141,0.9279978939054889,-143,0.9280893042575284,-135,0.9277075316107751,-139,0.9279038718291054,-130,0.9274452450595705,-135,0.9277075316107751
6,2016-2017,Baltimore Ravens,Philadelphia Eagles,2016-12-18,27,26,-238,0.9306690650295233,-238,0.9306690650295233,-244,0.9307648292962044,-250,0.93085601519157,-244,0.9307648292962044,-227,0.9304804066240366,-238,0.9306690650295233,-250,0.93085601519157
7,2016-2017,Buffalo Bills,Cleveland Browns,2016-12-18,33,13,-455,0.9325299229381865,-625,0.9330865008509747,-500,0.9327140112298766,-476,0.9326201532161679,-476,0.9326201532161679,-455,0.9325299229381865,-476,0.9326201532161679,-556,0.9329015587509858
8,2016-2017,Chicago Bears,Green Bay Packers,2016-12-18,27,30,200,0.9392758183440566,172,0.9400448160900694,190,0.9395243040102853,179,0.9398298855402709,202,0.9392290882038407,193,0.9394470404984423,179,0.9398298855402709,190,0.9395243040102853
9,2016-2017,Cincinnati Bengals,Pittsburgh Steelers,2016-12-18,20,24,148,0.9409371225125563,127,0.9419967363892596,140,0.9413030323404826,140,0.9413030323404826,150,0.940851784482218,140,0.9413030323404826,140,0.9413030323404826,145,0.9410695742471443
10,2016-2017,Houston Texans,Jacksonville Jaguars,2016-12-18,21,20,-200,0.9299297903008322,-200,0.9299297903008322,-185,0.9295548186111948,-189,0.9296606000983767,-204,0.9300205151584227,-185,0.9295548186111948,-192,0.9297370587380758,-189,0.9296606000983767
11,2016-2017,Kansas City Chiefs,Tennessee Titans,2016-12-18,17,19,-244,0.9307648292962044,-270,0.9311308066351691,-270,0.9311308066351691,-278,0.9312296921582421,-250,0.93085601519157,-250,0.93085601519157,-256,0.9309429433797592,-270,0.9311308066351691
12,2016-2017,Minnesota Vikings,Indianapolis Colts,2016-12-18,6,34,-208,0.9301077672941913,-250,0.93085601519157,-244,0.9307648292962044,-250,0.93085601519157,-213,0.9302122456109703,-238,0.9306690650295233,-227,0.9304804066240366,-250,0.93085601519157
13,2016-2017,New York Giants,Detroit Lions,2016-12-18,17,6,-175,0.929269328802039,-208,0.9301077672941913,-222,0.9303885000628641,-208,0.9301077672941913,-185,0.9295548186111948,-200,0.9299297903008322,-200,0.9299297903008322,-208,0.9301077672941913
14,2016-2017,New York Jets,Miami Dolphins,2016-12-18,13,34,129,0.9418808411214952,112,0.9429990738401953,125,0.9421163702140487,125,0.9421163702140487,135,0.9415539126795927,129,0.9418808411214952,118,0.9425672977074846,120,0.9424330479855493
15,2016-2017,Baltimore Ravens,Cincinnati Bengals,2016-11-27,19,14,Na,Na,-185,0.9295548186111948,-182,0.9294724477810121,-189,0.9296606000983767,-169,0.9290819131390873,-185,0.9295548186111948,-182,0.9294724477810121,-179,0.92938733125649
16,2016-2017,Buffalo Bills,Jacksonville Jaguars,2016-11-27,28,21,Na,Na,-417,0.9323436032732639,-400,0.9322488172093131,-357,0.9319688821594527,-385,0.932158248995206,-357,0.9319688821594527,-370,0.9320603572058341,-455,0.9325299229381865
