index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Athletico-PR - Flamengo RJ;1xBet;+112;+229;+296;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
1;Athletico-PR - Flamengo RJ;bet-at-home;+114;+227;+215;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
2;Athletico-PR - Flamengo RJ;bet365;+114;+220;+200;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
3;Athletico-PR - Flamengo RJ;bwin;+120;+220;+200;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
4;Athletico-PR - Flamengo RJ;Marathonbet;+110;+229;+298;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
5;Athletico-PR - Flamengo RJ;Pinnacle;+125;+242;+246;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
6;Athletico-PR - Flamengo RJ;Unibet;+120;+220;+210;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
7;Athletico-PR - Flamengo RJ;William Hill;+210;+210;+210;Sunday, 11 Dec 2016, 18:00;Final result 0:0 (0:0, 0:0);1;Athletico-PR;Flamengo RJ;11 Dec 2016; 0;0 ;2016
58;Cruzeiro - Corinthians;1xBet;+110;+248;+286;Sunday, 11 Dec 2016, 18:00;Final result 3:2 (1:1, 2:1);1;Cruzeiro;Corinthians;11 Dec 2016; 3;2 ;2016
59;Cruzeiro - Corinthians;bet-at-home;+135;+231;+175;Sunday, 11 Dec 2016, 18:00;Final result 3:2 (1:1, 2:1);1;Cruzeiro;Corinthians;11 Dec 2016; 3;2 ;2016
