MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_D,1xBet_A,bet-at-home_H,bet-at-home_D,bet-at-home_A,bet365_H,bet365_D,bet365_A,bwin_H,bwin_D,bwin_A,Marathonbet_H,Marathonbet_D,Marathonbet_A,Pinnacle_H,Pinnacle_D,Pinnacle_A,Unibet_H,Unibet_D,Unibet_A,William Hill_H,William Hill_D,William Hill_A
1,2016,Athletico-PR,Flamengo RJ,2016-12-11,0,0,112,229,296,114,227,215,114,220,200,120,220,200,110,229,298,125,242,246,120,220,210,210,210,210
2,2016,Cruzeiro,Corinthians,2016-12-11,3,2,110,248,286,135,231,175,129,220,175,135,210,185,108,248,278,134,249,221,129,220,200,200,200,200
3,2016,Fluminense,Internacional,2016-12-11,1,1,142,250,204,214,224,116,200,220,114,210,220,114,140,250,204,323,258,-104,215,240,110,110,110,110
4,2016,Gremio,Botafogo RJ,2016-12-11,0,1,-106,248,344,161,218,154,150,220,150,150,220,160,100,250,305,233,254,125,210,229,120,120,120,120
5,2016,Ponte Preta,Coritiba,2016-12-11,2,0,-106,250,344,-122,243,303,-125,225,300,-118,220,300,104,246,298,-116,266,365,-125,250,320,320,320,320
6,2016,Santos,America MG,2016-12-11,1,0,-370,550,1050,-526,527,1053,-588,500,1000,-556,500,1100,-385,550,1100,-476,635,1564,-667,600,1300,1300,1300,1300
7,2016,Sport Recife,Figueirense,2016-12-11,2,0,-200,344,640,-294,368,656,-303,350,600,-286,350,625,-200,330,660,-250,417,752,-286,375,650,650,650,650
8,2016,Vitoria,Palmeiras,2016-12-11,1,2,137,234,225,120,221,208,120,210,200,120,210,210,140,235,218,104,257,292,120,220,215,215,215,215
9,2016,America MG,Sao Paulo,2016-10-31,1,0,309,250,102,208,206,127,229,210,129,190,210,129,315,250,100,231,231,137,229,220,114,114,114,114
10,2016,Figueirense,Gremio,2016-10-29,0,0,177,240,172,135,199,204,150,200,200,145,190,185,177,240,170,163,225,195,135,220,190,190,190,190
11,2016,Santos,Palmeiras,2016-10-29,1,0,131,240,236,129,214,197,129,210,229,-139,240,350,129,240,236,142,236,218,129,220,200,200,200,200
12,2016,Botafogo RJ,Coritiba,2016-10-29,0,0,-161,290,565,-147,244,390,-137,229,450,-133,229,350,-167,290,590,-127,268,416,-143,240,400,400,400,400
13,2016,Internacional,Santa Cruz,2016-10-29,1,1,-244,400,780,-333,362,843,-286,350,900,-227,290,575,-250,400,800,-217,348,769,-333,400,850,850,850,850
14,2016,Athletico-PR,Cruzeiro,2016-10-29,1,0,112,250,278,114,208,236,110,210,275,114,220,210,110,250,280,119,234,271,114,220,229,229,229,229
15,2016,Atletico-MG,Flamengo RJ,2016-10-29,2,2,112,244,284,110,229,223,104,200,300,114,225,210,110,245,285,116,257,254,114,229,220,220,220,220
16,2016,Corinthians,Chapecoense-SC,2016-10-29,1,1,-161,290,565,-200,294,490,-200,280,650,-200,275,500,-167,290,590,-185,332,592,-200,300,525,525,525,525
17,2016,Coritiba,America MG,2016-10-04,3,0,-149,290,495,-159,250,426,-149,280,400,-161,250,400,-154,290,509,-147,275,505,-154,250,450,450,450,450
18,2016,Santa Cruz,Palmeiras,2016-10-03,2,3,256,270,112,238,227,104,240,260,104,229,240,100,258,270,110,303,254,102,229,220,114,114,114,114
19,2016,Internacional,Figueirense,2016-10-02,1,0,-109,260,344,-217,290,564,-167,260,500,-200,260,525,-111,260,350,-164,299,557,-200,285,550,550,550,550
20,2016,Cruzeiro,Gremio,2016-10-01,1,0,122,240,260,-128,236,333,104,229,260,-115,229,280,120,240,262,100,246,323,-125,240,350,350,350,350
21,2016,Botafogo RJ,Corinthians,2016-10-01,2,0,156,240,194,133,204,202,145,220,190,140,200,185,154,240,195,150,229,210,129,220,200,200,200,200
22,2016,Ponte Preta,Atletico-MG,2016-10-01,1,2,198,244,152,142,215,177,145,220,188,145,210,170,198,245,150,154,244,193,145,220,179,179,179,179
23,2016,Chapecoense-SC,Vitoria,2016-10-01,1,4,102,250,309,-106,223,278,100,229,280,-105,220,260,100,250,315,106,241,305,100,220,270,270,270,270
24,2016,Santos,Athletico-PR,2016-10-01,2,0,-139,274,480,-182,269,475,-161,260,500,-175,260,450,-143,275,490,-159,295,525,-182,285,500,500,500,500
25,2016,Sao Paulo,Cruzeiro,2016-09-16,1,0,102,250,309,104,218,247,100,229,280,-111,225,280,100,250,315,104,248,301,100,220,270,270,270,270
26,2016,Coritiba,Corinthians,2016-09-15,1,1,173,244,174,138,214,184,125,220,200,150,220,160,172,245,172,169,220,194,154,220,170,170,170,170
27,2016,Ponte Preta,Gremio,2016-09-15,3,0,147,229,217,139,209,187,125,220,200,129,210,190,145,229,218,147,229,216,140,220,179,179,179,179
28,2016,Botafogo RJ,Santos,2016-09-14,0,1,172,240,177,135,220,183,125,229,190,140,210,179,170,240,177,150,236,204,140,220,179,179,179,179
29,2016,Fluminense,Atletico-MG,2016-09-12,4,2,142,240,218,123,220,204,125,225,190,125,225,185,140,240,218,154,247,191,120,225,215,215,215,215
30,2016,America MG,Cruzeiro,2016-09-09,0,2,187,234,167,266,220,-102,220,225,125,260,229,-110,186,235,165,257,242,121,275,225,100,100,100,100
31,2016,Internacional,Santos,2016-09-09,2,1,142,240,218,125,213,204,129,240,200,120,225,195,140,240,218,141,237,220,114,220,229,229,229,229
32,2016,Corinthians,Sport Recife,2016-09-08,3,0,-161,290,565,-185,281,467,-175,280,500,-182,260,450,-167,290,590,-172,318,547,-182,280,475,475,475,475
33,2016,Coritiba,Gremio,2016-09-08,4,0,231,244,131,168,206,156,220,225,125,165,210,150,231,245,129,202,237,150,129,220,200,200,200,200
34,2016,Flamengo RJ,Ponte Preta,2016-09-08,2,1,-130,270,440,-135,241,349,-125,250,350,-139,240,350,-133,270,450,-127,276,397,-133,240,350,350,350,350
35,2016,Palmeiras,Sao Paulo,2016-09-08,2,1,-115,270,358,-109,227,279,-110,240,300,-115,229,280,-118,270,365,102,254,305,-111,229,300,300,300,300
