MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet365_H,bet365_D,bet365_A,Pinnacle_H,Pinnacle_D,Pinnacle_A,William Hill_H,William Hill_D,William Hill_A,bet-at-home_H,bet-at-home_D,bet-at-home_A,bwin_H,bwin_D,bwin_A,10x10bet_H,10x10bet_D,10x10bet_A,1xBet_H,1xBet_D,1xBet_A,BetFinal_H,BetFinal_D,BetFinal_A,Coolbet_H,Coolbet_D,Coolbet_A,Curebet_H,Curebet_D,Curebet_A,Ditobet_H,Ditobet_D,Ditobet_A,GGBET_H,GGBET_D,GGBET_A,Lasbet_H,Lasbet_D,Lasbet_A,Marathonbet_H,Marathonbet_D,Marathonbet_A,N1 Bet_H,N1 Bet_D,N1 Bet_A,Parimatch_H,Parimatch_D,Parimatch_A,Unibet_H,Unibet_D,Unibet_A,VOBET_H,VOBET_D,VOBET_A
1,2005,New England Revolution,Los Angeles Galaxy,2005-11-13,0,1,100,210,239,134,211,189,100,215,225,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
2,2005,New England Revolution,Chicago Fire,2005-11-06,1,0,-111,220,260,-120,229,300,-125,220,290,-118,220,270,-118,229,270,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
3,2005,Colorado Rapids,Los Angeles Galaxy,2005-11-05,0,2,100,220,239,110,225,225,-111,210,260,100,220,240,100,225,229,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
4,2005,DC United,Chicago Fire,2005-10-30,0,4,-111,225,250,-120,245,280,-118,229,250,-118,220,270,-125,220,309,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
5,2005,FC Dallas,DC United,2005-09-10,1,2,120,210,200,120,210,210,125,210,179,114,210,190,114,204,215,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
6,2005,New England Revolution,Columbus Crew,2005-09-10,3,1,-175,260,400,-179,254,475,-167,240,380,-182,250,400,-200,250,525,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
7,2005,Los Angeles Galaxy,Chicago Fire,2005-09-04,1,2,110,200,220,Na,Na,Na,104,210,220,110,210,200,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
8,2005,Chivas USA,Columbus Crew,2005-09-03,0,3,170,200,137,140,235,160,150,210,150,150,200,150,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
9,2005,Colorado Rapids,DC United,2005-09-03,1,0,129,200,175,135,210,185,129,210,170,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
10,2005,FC Dallas,Houston Dynamo,2005-09-03,0,2,150,200,160,154,225,154,150,200,154,140,210,154,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
11,2005,New York Red Bulls,Sporting Kansas City,2005-09-03,2,2,139,189,175,135,210,185,140,204,160,140,210,154,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
12,2005,Real Salt Lake,New England Revolution,2005-09-03,0,1,275,200,-111,254,215,100,250,215,-111,220,220,100,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
